Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6726,Yakuza Zero: The Place of Oath,PS3,2015,Sega,0,0,0.25,0,0.25
6727,Prince of Persia: The Forgotten Sands,Wii,2010,Ubisoft,0.11,0.11,0,0.02,0.25
6728,Dynasty Warriors 6,PS2,2008,Tecmo Koei,0.12,0.09,0,0.03,0.25
6730,Porky's,2600,1982,20th Century Fox Video Games,0.23,0.01,0,0,0.25
6744,Harry Potter and the Order of the Phoenix,PS3,2007,Electronic Arts,0.18,0.04,0,0.03,0.25
6751,Pro Evolution Soccer 2014,X360,2013,Konami Digital Entertainment,0.06,0.16,0,0.03,0.25
6759,Butt Ugly Martians: B.K.M. Battles,GBA,2002,Vivendi Games,0.18,0.07,0,0,0.25
6767,The Adventures of Tintin: The Game,X360,2011,Ubisoft,0.07,0.14,0,0.03,0.25
6775,Dynasty Warriors 7,X360,2011,Tecmo Koei,0.16,0.07,0,0.02,0.24
6781,LEGO Ninjago: Shadow of Ronin,PSV,2015,Warner Bros. Interactive Entertainment,0.03,0.16,0,0.05,0.24
