Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7111,Ratchet & Clank: Full Frontal Assault,PS3,2012,Sony Computer Entertainment,0.19,0.01,0,0.02,0.23
7116,The Polar Express,PS2,2004,THQ,0.11,0.09,0,0.03,0.23
7124,The Magic School Bus: Oceans,DS,2011,Scholastic Inc.,0.21,0,0,0.01,0.23
7178,Petz Rescue: Endangered Paradise,DS,2008,Ubisoft,0.21,0,0,0.02,0.22
7209,CSI: Fatal Conspiracy,Wii,2010,Ubisoft,0.12,0.08,0,0.02,0.22
7218,The Walking Dead: Season Two,PS3,2014,Telltale Games,0.09,0.09,0,0.04,0.22
7220,Cursed Mountain,Wii,2009,Deep Silver,0.09,0.1,0,0.02,0.22
7224,Teenage Mutant Ninja Turtles: Danger of the Ooze,X360,2014,Activision,0.11,0.09,0,0.02,0.22
7233,Where's Waldo? The Fantastic Journey,DS,2009,Ubisoft,0.2,0,0,0.02,0.22
7238,Dragon Ball: Origins (JP & incomplete US sales),DS,2008,Atari,0.04,0,0.17,0,0.22
