Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
916,Mortal Kombat: Deception,PS2,2004,Midway Games,0.92,0.72,0,0.24,1.88
919,WCW Nitro,PS,1998,THQ,1.42,0.36,0.03,0.07,1.88
962,Virtua Fighter 4,PS2,2002,Sega,0.78,0.44,0.56,0.04,1.81
987,Dead or Alive 3,XB,2001,Microsoft Game Studios,1.19,0.29,0.24,0.06,1.77
988,UFC 2009 Undisputed,PS3,2009,THQ,1.07,0.45,0.01,0.24,1.77
990,WWF Attitude,PS,1998,Acclaim Entertainment,1.27,0.42,0,0.07,1.76
995,Def Jam: Fight for NY,PS2,2004,Electronic Arts,0.86,0.67,0,0.22,1.76
1066,WCW vs. nWo: World Tour,N64,1997,THQ,1.37,0.28,0.03,0.02,1.69
1067,WCW/NWO Thunder,PS,1998,THQ,1.1,0.48,0.04,0.07,1.69
1088,Fight Night Round 3,PS3,2006,Electronic Arts,0.81,0.59,0.01,0.26,1.67
