Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
10632,Jeopardy!,N64,1998,GameTek,0.08,0.02,0,0,0.1
10646,Fifi and the Flowertots,DS,2009,Avanquest,0,0.09,0,0.01,0.1
10670,Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,DS,2007,Benesse,0,0,0.1,0,0.1
10678,Alvin and the Chipmunks: Chipwrecked,Wii,2011,505 Games,0.08,0.01,0,0.01,0.1
10681,NatGeo Challenge! Wild Life,PS3,2010,Black Bean Games,0.05,0.03,0,0.01,0.1
10682,Idol Janshi Suchie-Pai Remix,SAT,1995,Jaleco,0,0,0.1,0,0.1
10685,Exhibition Volume 03,XB,2003,Microsoft Game Studios,0.07,0.02,0,0,0.1
10706,Universal Studios Theme Parks Adventure,GC,2001,Kemco,0.08,0.02,0,0,0.1
10707,Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS,DS,2009,Nintendo,0,0,0.1,0,0.1
10715,Rio,X360,2011,THQ,0.05,0.03,0,0.01,0.1
