Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
538,Jak II,PS2,2003,Sony Computer Entertainment,1.68,0.74,0,0.36,2.78
540,Ratchet & Clank: Going Commando,PS2,2003,Sony Computer Entertainment,1.44,0.83,0.26,0.25,2.78
543,Sonic and the Secret Rings,Wii,2007,Sega,1.24,1.2,0.04,0.3,2.77
574,Super Mario Bros.: The Lost Levels,NES,1986,Nintendo,0,0,2.65,0,2.65
588,Super Mario All-Stars: Limited Edition,Wii,2010,Nintendo,1.02,0.52,0.92,0.14,2.6
591,Ratchet & Clank Future: Tools of Destruction,PS3,2007,Sony Computer Entertainment,0.93,1.12,0.08,0.45,2.59
593,LittleBigPlanet,PSP,2009,Sony Computer Entertainment,0.64,1.24,0.01,0.69,2.58
598,Ratchet & Clank: Up Your Arsenal,PS2,2004,Sony Computer Entertainment,1.31,0.74,0.31,0.22,2.57
602,Sonic Adventure 2 Battle,GC,2001,Sega,1.7,0.59,0.21,0.07,2.56
638,Sonic Adventure,DC,1998,Sega,1.26,0.61,0.46,0.08,2.42
