Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
10701,Scribblenauts Unmasked: A DC Comics Adventure,3DS,2013,Warner Bros. Interactive Entertainment,0.09,0,0,0.01,0.1
10703,Nancy Drew: The Model Mysteries,DS,2010,THQ,0.09,0,0,0.01,0.1
10732,Harvest Moon: Frantic Farming,DS,2009,Rising Star Games,0.08,0.01,0,0.01,0.1
10775,Tokimeki Memorial: Taisen Pazurudama,PS,1996,Konami Digital Entertainment,0,0,0.09,0.01,0.1
10838,Angry Birds: Rio,PC,2011,Focus Home Interactive,0,0.07,0,0.02,0.09
10908,echochrome,PSP,2008,Sony Computer Entertainment,0,0.01,0.08,0,0.09
10916,Snood 2: On Vacation,DS,2005,Zoo Digital Publishing,0.09,0,0,0.01,0.09
10922,Puyo Pop Fever (JP sales),DS,2004,Ignition Entertainment,0,0,0.09,0,0.09
10925,Brain Age: Concentration Training,3DS,2012,Nintendo,0.09,0,0,0.01,0.09
10926,Henry Hatsworth in the Puzzling Adventure,DS,2009,Electronic Arts,0.08,0.01,0,0.01,0.09
