Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
8976,MotoGP 2: Ultimate Racing Technology,PS2,2001,Sony Computer Entertainment,0.07,0.06,0,0.02,0.15
8985,Cars: Mater-National Championship,X360,2007,THQ,0.13,0,0,0.01,0.15
9005,L.A. Rush,XB,2005,Midway Games,0.11,0.03,0,0.01,0.14
9023,Adrenalin Misfits,X360,2010,Konami Digital Entertainment,0.12,0.02,0,0.01,0.14
9033,Thunder Truck Rally,PS,1997,Psygnosis,0.08,0.05,0,0.01,0.14
9041,Asphalt: Urban GT 2,DS,2006,Ubisoft,0.09,0.04,0,0.01,0.14
9049,Championship Motocross 2001 featuring Ricky Carmichael,PS,2001,THQ,0.08,0.05,0,0.01,0.14
9058,Ford Racing Off Road,PSP,2008,Xplosiv,0.05,0.08,0,0.02,0.14
9068,SBK 2011: FIM Superbike World Championship,PS3,2011,Black Bean Games,0.01,0.1,0,0.03,0.14
9093,OutRun 2,XB,2004,Sega,0.11,0.03,0,0.01,0.14
