Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
13280,Monster Hunter Frontier Online,PS3,N/A,N/A,0,0,0.05,0,0.05
13286,Summoner: A Goddess Reborn,GC,2003,THQ,0.04,0.01,0,0,0.05
13290,Wasteland 2,XOne,2015,Deep Silver,0.04,0.01,0,0,0.05
13293,Kiniro no Corda 2 Encore,PS2,2007,Tecmo Koei,0,0,0.05,0,0.05
13311,The Dark Spire,DS,2008,Success,0.04,0,0,0,0.05
13313,Beyond Oasis,GEN,1993,Sega,0,0,0.05,0,0.05
13332,Shin Megami Tensei NINE,XB,2002,Atlus,0,0,0.05,0,0.05
13334,Hoshigami: Ruining Blue Earth,PS,2001,Max Five,0.03,0.02,0,0,0.05
13344,Chocobo to Mahou no Ehon: Majo to Shoujo to 5-Jin no Yuusha,DS,2008,Square Enix,0,0,0.05,0,0.05
13350,Ys: The Ark of Napishtim,PSP,2006,Konami Digital Entertainment,0.04,0,0,0,0.05
