Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7750,Conflict: Denied Ops,X360,2008,Eidos Interactive,0.08,0.09,0,0.02,0.19
7753,Sniper Elite,PS2,2005,Ubisoft,0.1,0.07,0,0.02,0.19
7763,Aliens vs Predator,PC,2010,Sega,0,0.17,0,0.02,0.19
7773,Quantum Theory,PS3,2010,Tecmo Koei,0.05,0.09,0.02,0.03,0.19
7782,Space Invaders Extreme 2,DS,2009,Square Enix,0.17,0.01,0,0.01,0.19
7799,Descent,PS,1996,Interplay,0.11,0.07,0,0.01,0.19
7802,50 Cent: Blood on the Sand,PS3,2009,THQ,0.1,0.06,0.01,0.03,0.19
7806,Conflict: Denied Ops,PS3,2008,Eidos Interactive,0.05,0.1,0,0.03,0.19
7812,Mace Griffin: Bounty Hunter,PS2,2003,Electronic Arts,0.09,0.07,0,0.02,0.19
7823,Silent Scope 2: Dark Silhouette,PS2,2001,Konami Digital Entertainment,0.09,0.07,0,0.02,0.19
