Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
12228,Dream C Club,X360,2009,D3Publisher,0,0,0.07,0,0.07
12240,Port Royale 3,X360,N/A,Kalypso Media,0.06,0,0,0,0.07
12252,Wings of War,XB,2004,Take-Two Interactive,0.05,0.01,0,0,0.06
12260,Desert Strike Advance,GBA,2002,Electronic Arts,0.05,0.02,0,0,0.06
12264,IL-2 Sturmovik: Birds of Prey,DS,2009,505 Games,0.06,0,0,0,0.06
12277,My Pet Shop,DS,2008,Square Enix,0.06,0,0,0,0.06
12278,Guitar Freaks 3rdMIX & DrumMania 2ndMIX,PS2,2000,Konami Digital Entertainment,0,0,0.06,0,0.06
12285,Western Riding Academy,DS,2010,Destineer,0.06,0,0,0,0.06
12286,My Pet Chimp,DS,2010,505 Games,0.06,0,0,0,0.06
12290,Paws & Claws: Marine Rescue,DS,2011,THQ,0.06,0,0,0,0.06
