Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7336,Backyard NFL Football '09,Wii,2008,Atari,0.2,0,0,0.02,0.21
7340,College Hoops 2K7,X360,2006,Take-Two Interactive,0.2,0,0,0.02,0.21
7342,Big League Sports,X360,2011,Activision,0.18,0.02,0,0.01,0.21
7350,NCAA March Madness 08,X360,2007,Electronic Arts,0.2,0,0,0.02,0.21
7357,Tony Hawk's American Sk8land,DS,2005,Activision,0.19,0.01,0,0.02,0.21
7359,The BIGS 2,X360,2009,Take-Two Interactive,0.19,0.01,0,0.02,0.21
7364,NHL 2K6,XB,2005,Take-Two Interactive,0.16,0.05,0,0.01,0.21
7369,MVP Baseball,PSP,2005,Electronic Arts,0.2,0,0,0.02,0.21
7373,RealSports Baseball,2600,1981,Atari,0.2,0.01,0,0,0.21
7392,Champion Jockey: G1 Jockey & Gallop Racer,PS3,2011,Tecmo Koei,0.06,0.05,0.08,0.02,0.21
