Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
16073,East India Company,PC,2009,Paradox Interactive,0.01,0,0,0,0.01
16076,Empire Deluxe,PC,1992,New World Computing,0.01,0,0,0,0.01
16125,Theatre Of War,PC,2007,Kalypso Media,0,0.01,0,0,0.01
16175,Military History: Commander - Europe at War,DS,2009,Slitherine Software,0,0.01,0,0,0.01
16176,Tactics Layer: Ritina Guard Senki,DS,2009,D3Publisher,0,0,0.01,0,0.01
16189,BattleForge,PC,2009,Electronic Arts,0,0.01,0,0,0.01
16194,Homeworld Remastered Collection,PC,N/A,N/A,0,0.01,0,0,0.01
16200,Simple 2000 Series Vol. 120: The Saigo no Nippon Tsuwamono,PS2,2007,D3Publisher,0,0,0.01,0,0.01
16242,Builder's Block,PS,1999,EON Digital Entertainment,0.01,0,0,0,0.01
16267,Sengoku Hime 2 Arashi: Hyakubana Senran Tatsukaze no Gotoku,PSP,2010,System Soft,0,0,0.01,0,0.01
