Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2945,X-Men Origins: Wolverine - Uncaged Edition,X360,2009,Activision,0.42,0.21,0,0.06,0.69
2946,Metal Gear Solid: Portable Ops Plus,PSP,2007,Konami Digital Entertainment,0.26,0.01,0.26,0.17,0.69
2947,Disney Tangled,Wii,2010,Disney Interactive Studios,0.47,0.17,0,0.05,0.69
2948,Shrek the Third,X360,2007,Activision,0.54,0.1,0,0.06,0.69
2953,Mortal Kombat: Shaolin Monks,PS2,2005,Midway Games,0.58,0.02,0,0.09,0.69
2955,Skylanders: Trap Team,PS3,2014,Activision,0.24,0.33,0,0.12,0.69
2962,One Piece: Pirate Warriors 2,PS3,2013,Namco Bandai Games,0,0.2,0.42,0.07,0.69
2963,Assassin's Creed IV: Black Flag,PC,2013,Ubisoft,0.22,0.38,0,0.1,0.69
2964,Harry Potter and the Chamber of Secrets,GC,2002,Electronic Arts,0.53,0.14,0,0.02,0.69
2966,The Lord of the Rings: The Return of the King,GC,2003,Electronic Arts,0.53,0.14,0,0.02,0.69
2973,Shark Tale,GBA,2004,Activision,0.49,0.18,0,0.01,0.68
2975,Kirby's Dream Collection: Special Edition,Wii,2012,Nintendo,0.34,0,0.33,0.02,0.68
2976,Bakugan: Battle Brawlers,Wii,2009,Activision,0.6,0.03,0,0.05,0.68
2977,Star Wars: Masters of Teras Kasi,PS,1997,LucasArts,0.38,0.26,0,0.04,0.68
2980,Iron Man,PS3,2008,Sega,0.32,0.25,0,0.11,0.68
2981,Disney Infinity 3.0,PS4,2015,Disney Interactive Studios,0.21,0.36,0,0.11,0.68
2987,Prince of Persia: The Two Thrones,PS2,2005,Ubisoft,0.57,0.02,0,0.09,0.68
2989,Metro: Last Light,PS4,2014,Deep Silver,0.22,0.3,0.04,0.12,0.68
2991,Mercenaries: Playground of Destruction,XB,2005,LucasArts,0.54,0.11,0,0.03,0.68
3006,Turok,PS3,2008,Touchstone,0.35,0.22,0.01,0.1,0.68
3013,Lollipop Chainsaw,PS3,2012,Warner Bros. Interactive Entertainment,0.26,0.21,0.11,0.09,0.67
3023,Spice World,PS,1998,Sony Computer Entertainment,0.37,0.25,0,0.04,0.67
3030,The LEGO Movie Videogame,PS4,2014,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67
3031,Ratatouille,PSP,2007,THQ,0.22,0.28,0,0.16,0.67
3035,Castlevania: Lords of Shadow,X360,2010,Konami Digital Entertainment,0.42,0.18,0.01,0.05,0.67
3040,007: Quantum of Solace,Wii,2008,Activision,0.3,0.29,0.01,0.07,0.67
3046,Adventures of Tron,2600,1981,Mattel Interactive,0.63,0.03,0,0.01,0.67
3051,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,N/A,Disney Interactive Studios,0.48,0.18,0,0.01,0.67
3056,The LEGO Movie Videogame,WiiU,2014,Warner Bros. Interactive Entertainment,0.35,0.23,0.03,0.06,0.66
3063,Finding Nemo,XB,2003,THQ,0.48,0.16,0,0.02,0.66
3076,Fist of the North Star: Ken's Rage,PS3,2010,Ubisoft Annecy,0.06,0.03,0.55,0.02,0.66
3078,Toy Story 3: The Video Game,PSP,2010,Disney Interactive Studios,0.27,0.25,0,0.14,0.66
3081,Keystone Kapers,2600,1982,Activision,0.62,0.04,0,0.01,0.66
3082,LEGO Marvel Super Heroes,PSV,2013,Warner Bros. Interactive Entertainment,0.15,0.35,0,0.16,0.66
3084,Shrek: Hassle at the Castle,GBA,2002,TDK Mediactive,0.47,0.17,0,0.01,0.66
3086,Gods Eater Burst,PSP,2010,Namco Bandai Games,0.03,0,0.62,0,0.66
3091,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PSP,2007,Activision,0.23,0.27,0,0.16,0.66
3096,Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014,Disney Interactive Studios,0.38,0.22,0,0.06,0.65
3098,Kung Fu Panda,PS2,2008,Activision,0.24,0,0,0.41,0.65
3100,The Evil Within,XOne,2014,Bethesda Softworks,0.35,0.25,0,0.05,0.65
3107,Up,DS,2009,THQ,0.31,0.28,0,0.07,0.65
3109,Real Heroes: Firefighter,Wii,2009,Rondomedia,0.56,0.04,0,0.05,0.65
3120,Kung-Fu Master,2600,1987,Activision,0.6,0.04,0,0.01,0.65
3122,Harry Potter and the Goblet of Fire,PS2,2005,Electronic Arts,0.54,0.02,0,0.09,0.65
3133,Sengoku Basara: Samurai Heroes,PS3,2010,Capcom,0.17,0.04,0.4,0.03,0.65
3136,Harry Potter and the Half-Blood Prince,PS2,2009,Electronic Arts,0.13,0.07,0,0.44,0.64
3140,Crash of the Titans,PSP,2007,Vivendi Games,0.25,0.25,0,0.15,0.64
3151,LEGO Marvel's Avengers,PS4,2016,Warner Bros. Interactive Entertainment,0.25,0.29,0,0.1,0.64
3156,Dragon Age II,PC,2011,Electronic Arts,0.23,0.33,0,0.09,0.64
3157,LEGO Star Wars II: The Original Trilogy,X360,2006,LucasArts,0.55,0.04,0,0.05,0.64
