Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
8281,Goosebumps HorrorLand,Wii,2008,Scholastic Inc.,0.16,0,0,0.01,0.17
8284,Sound Novel Evolution 1: Otogirisou Sosei-Hen,PS,1999,ChunSoft,0,0,0.16,0.01,0.17
8340,Bomberman 64: The Second Attack!,N64,1999,Hudson Soft,0.05,0.01,0.11,0,0.17
8350,Fate/Stay Night [Réalta Nua],PS2,2007,Kadokawa Shoten,0,0,0.17,0,0.17
8357,CSI: Fatal Conspiracy,X360,2010,Ubisoft,0.11,0.04,0,0.01,0.17
8360,Gyakuten Saiban 3,GBA,2004,Capcom,0,0,0.16,0,0.17
8399,Clock Tower II: The Struggle Within,PS,1998,Human Entertainment,0.02,0.01,0.12,0.01,0.17
8425,"Go, Diego, Go! Safari Rescue",DS,2007,Take-Two Interactive,0.15,0.01,0,0.01,0.17
8438,Leisure Suit Larry: Magna Cum Laude,XB,2004,Vivendi Games,0.12,0.04,0,0.01,0.17
8452,Cubivore: Survival of the Fittest,GC,2002,Nintendo,0.01,0,0.15,0,0.17
8477,Leisure Suit Larry: Box Office Bust,X360,2009,Codemasters,0.14,0.01,0,0.01,0.16
8500,Kya: Dark Lineage,PS2,2003,Atari,0.08,0.06,0,0.02,0.16
8509,Doctor Lautrec and the Forgotten Knights,3DS,2011,Konami Digital Entertainment,0.07,0.05,0.03,0.01,0.16
8512,Kamaitachi no Yoru × 3,PS2,2006,Sega,0,0,0.16,0,0.16
8531,Otogirisou,SNES,1992,ChunSoft,0,0,0.16,0,0.16
8544,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,PS2,2005,Activision,0.08,0.06,0,0.02,0.16
8548,Shadow Man: 2econd Coming,PS2,2002,Acclaim Entertainment,0.08,0.06,0,0.02,0.16
8555,Alone in the Dark: The New Nightmare,PS,N/A,Infogrames,0.09,0.06,0,0.01,0.16
8573,Doctor Who: Evacuation Earth,DS,2010,Asylum Entertainment,0,0.14,0,0.02,0.16
8603,Sherlock Holmes vs. Jack the Ripper,X360,2009,Focus Home Interactive,0.11,0.04,0,0.01,0.16
8611,Time Hollow,DS,2008,Konami Digital Entertainment,0.03,0.01,0.11,0,0.16
8616,Ghost in the Shell: Stand Alone Complex,PS2,2004,Namco Bandai Games,0.08,0.06,0,0.02,0.16
8636,Eve: The Lost One,SAT,1998,Imagineer,0,0,0.16,0,0.16
8639,LEGO Legends of Chima: Laval's Journey,PSV,2013,Warner Bros. Interactive Entertainment,0.02,0.09,0,0.04,0.16
8649,Dragon's Lair Trilogy,Wii,2010,Destineer,0.15,0,0,0.01,0.16
8659,Yakuza Kiwami,PS4,2016,Sega,0,0,0.16,0,0.16
8668,The Godfather: Blackhand Edition,Wii,2007,Electronic Arts,0.14,0,0,0.01,0.16
8672,Monster House,DS,2006,THQ,0.14,0.01,0,0.01,0.16
8694,The Walking Dead: Season One,XOne,2014,Telltale Games,0.08,0.06,0,0.01,0.16
8731,James Noir's Hollywood Crimes,3DS,2011,Ubisoft,0.07,0.07,0,0.02,0.15
8748,Deponia,PC,2012,Daedalic,0,0.13,0,0.03,0.15
8785,Amagami,PSP,2011,Kadokawa Shoten,0,0,0.15,0,0.15
8800,The Fairly Odd Parents: Clash with the Anti-World,GBA,2005,THQ,0.11,0.04,0,0,0.15
8819,Kowloon's Gate,PS,1997,Sony Computer Entertainment,0,0,0.14,0.01,0.15
8832,Suzumiya Haruhi no Yakusoku,PSP,2007,Namco Bandai Games,0,0,0.15,0,0.15
8834,Indigo Prophecy,PS2,2005,Atari,0.07,0.06,0,0.02,0.15
8865,Space Station Silicon Valley,N64,1997,Take-Two Interactive,0.12,0.03,0,0,0.15
8875,Sam & Max: Season One,Wii,2008,JoWood Productions,0.13,0.01,0,0.01,0.15
8900,Geist,GC,2005,Nintendo,0.11,0.03,0,0,0.15
8909,Nancy Drew: The White Wolf of Icicle Creek,Wii,2008,Sega,0.14,0,0,0.01,0.15
8918,Shenmue II,DC,2001,Sega,0,0,0.15,0,0.15
8924,Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable,PSP,2011,Banpresto,0,0,0.15,0,0.15
8927,The Walking Dead: Season Two,PSV,2014,Telltale Games,0.1,0,0.01,0.03,0.15
8943,Galerians,PS,1999,Crave Entertainment,0.08,0.06,0,0.01,0.15
8947,Code:Realize - Sousei no Himegimi,PSV,2014,Idea Factory,0.09,0,0.03,0.03,0.15
8957,Blazing Dragons,PS,1996,Crystal Dynamics,0.08,0.06,0,0.01,0.15
9000,CSI: 3 Dimensions of Murder,PS2,2007,Ubisoft,0.07,0.06,0,0.02,0.14
9015,Sakura Wars GB,GB,2000,Media Factory,0,0,0.14,0,0.14
9024,Okaeri! Chibi-Robo! Happy Richie Oosouji,DS,2009,Nintendo,0,0,0.14,0,0.14
9043,Second Sight,PS2,2004,Codemasters,0.07,0.05,0,0.02,0.14
