Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
14981,Blade Arcus from Shining EX,PS4,2015,Sega,0,0,0.02,0,0.02
15030,Kensei: Sacred Fist,PS,1997,Konami Digital Entertainment,0.01,0.01,0,0,0.02
15047,Street Fighter X Tekken,PC,2012,Capcom,0,0.02,0,0,0.02
15088,Wrestle Kingdom 2: Pro Wrestling Sekai Taisen,PS2,2007,Yuke's,0,0,0.02,0,0.02
15106,Blade Arcus from Shining EX,PS3,2015,Sega,0,0,0.02,0,0.02
15120,Samurai Shodown V,XB,2006,Ignition Entertainment,0.02,0,0,0,0.02
15139,Shonen Jump's One Piece: Grand Adventure,PS2,2005,Namco Bandai Games,0.01,0.01,0,0,0.02
15163,Jojo's Bizarre Adventure,PS,1999,Virgin Interactive,0.01,0.01,0,0,0.02
15221,Iron Phoenix,XB,2005,Sega,0.02,0,0,0,0.02
15258,Sugoi Hebereke,SNES,1994,Sunsoft,0,0,0.02,0,0.02
15314,The King of Fighters NeoWave,XB,2006,SNK Playmore,0.02,0,0,0,0.02
15333,Katekyoo Hitman Reborn! Dream Hyper Battle! Wii,Wii,2008,Marvelous Interactive,0,0,0.02,0,0.02
15359,Daikaijuu Battle: Ultra Coliseum,Wii,2008,Namco Bandai Games,0,0,0.02,0,0.02
15409,Fist of the North Star: Ken's Rage 2,WiiU,2013,Tecmo Koei,0,0,0.02,0,0.02
15459,Digimon Rumble Arena 2,XB,2004,Atari,0.01,0,0,0,0.02
15480,Heroes VS,PSP,2013,Namco Bandai Games,0,0,0.02,0,0.02
15506,Katekyoo Hitman Reborn! Dream Hyper Battle!,PS2,2007,Marvelous Interactive,0,0,0.02,0,0.02
15602,The King of Fighters Collection: The Orochi Saga (JP sales),PS2,2006,Ignition Entertainment,0,0,0.02,0,0.02
15632,Mai-Otome Hime: Otome Butou Shi,PS2,2006,Sunrise Interactive,0,0,0.02,0,0.02
15634,TMNT: Mutant Melee,XB,2005,Konami Digital Entertainment,0.01,0,0,0,0.02
15726,Digimon Rumble Arena,PS,2001,Namco Bandai Games,0.01,0.01,0,0,0.02
15889,Koihime Enbu,PS4,2016,Yeti,0,0,0.02,0,0.02
15931,Nurarihyon no Mago: Hyakki Ryouran Taisen,PS3,2011,Konami Digital Entertainment,0,0,0.02,0,0.02
15993,Shinseiki Evangelion: Battle Orchestra Portable,PSP,2009,Broccoli,0,0,0.01,0,0.01
15996,Blazblue: Continuum Shift Extend,PSP,2012,Arc System Works,0,0,0.01,0,0.01
16001,One Piece: Daikaizoku Coliseum,3DS,2016,Namco Bandai Games,0,0,0.01,0,0.01
16002,Mortal Kombat,PC,1994,Acclaim Entertainment,0.01,0,0,0,0.01
16057,Samurai Shodown Anthology (JP sales),PS2,2008,Ignition Entertainment,0,0,0.01,0,0.01
16071,Mortal Kombat: Tournament Edition,GBA,2003,Midway Games,0.01,0,0,0,0.01
16143,BlazBlue: Calamity Trigger,PC,2010,PQube,0,0.01,0,0,0.01
16160,King of Fighters 2002: Unlimited Match Tougeki Ver.,PS2,2010,SNK Playmore,0,0,0.01,0,0.01
16183,Rozen Maiden: Gebetgarten,PS2,2007,Taito,0,0,0.01,0,0.01
16187,Fatal Fury: Battle Archives Volume 2 (JP sales),PS2,2007,SNK Playmore,0,0,0.01,0,0.01
16196,K-1 Grand Prix,PS,1999,Jaleco,0.01,0.01,0,0,0.01
16199,Rave Master: Special Attack Force!,GBA,2002,Konami Digital Entertainment,0.01,0,0,0,0.01
16250,Ultraman Fighting Evolution 0,PSP,2006,Banpresto,0,0,0.01,0,0.01
16283,Fatal Fury: Battle Archives Volume 1 (JP sales),PS2,2006,Ignition Entertainment,0,0,0.01,0,0.01
16301,Nitroplus Blasterz: Heroines Infinite Duel,PS3,2015,Nitroplus,0,0,0.01,0,0.01
16333,Ultraman Fighting Evolution 3,PS2,2004,Banpresto,0,0,0.01,0,0.01
16410,Saint Seiya Omega: Ultimate Cosmo,PSP,2012,Namco Bandai Games,0,0,0.01,0,0.01
16413,"Sakigake!! Otokojuku - Nihon yo, Kore ga Otoko Dearu!",PS3,2014,Namco Bandai Games,0,0,0.01,0,0.01
16418,World Heroes Anthology,PS2,2007,Ignition Entertainment,0,0,0.01,0,0.01
16458,Shijyou Saikyou no Deshi Kenichi: Gekitou! Ragnarok Hachikengou,PS2,2007,Capcom,0,0,0.01,0,0.01
16485,Dragon Ball Z for Kinect,X360,2012,Namco Bandai Games,0.01,0,0,0,0.01
16509,Samurai Shodown: Warrios Rage,PS,1999,SNK,0.01,0,0,0,0.01
16544,Battle Fantasia,PS3,2008,505 Games,0,0,0.01,0,0.01
16555,Mahou Sensei Negima!? Neo-Pactio Fight!!,Wii,2007,Marvelous Interactive,0,0,0.01,0,0.01
16566,Mortal Kombat: Deadly Alliance,GBA,2002,Midway Games,0.01,0,0,0,0.01
