Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6823,AC/DC LIVE: Rock Band Track Pack,PS3,2008,MTV Games,0.21,0.01,0,0.02,0.24
6826,Midway Arcade Treasures: Extended Play,PSP,2005,Midway Games,0.21,0.01,0,0.02,0.24
6831,Boogie SuperStar,Wii,2008,Electronic Arts,0.2,0.02,0,0.02,0.24
6833,Rock Band Track Pack Volume 1,Wii,2008,MTV Games,0.17,0.05,0,0.02,0.24
6835,Super Monkey Ball Deluxe,PS2,2005,Sega,0.12,0.09,0,0.03,0.24
6842,Dancing With The Stars,Wii,2007,Activision,0.22,0,0,0.02,0.24
6848,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken SE,PS2,2006,Sega,0,0,0.24,0,0.24
6851,All Grown Up!: Game Boy Advance Video Volume 1,GBA,2004,N/A,0.17,0.06,0,0,0.24
6859,The Price is Right 2010 Edition,Wii,2009,Ubisoft,0.22,0,0,0.02,0.24
6870,South Park: Chef's Luv Shack,N64,1999,Acclaim Entertainment,0.19,0.05,0,0,0.24
6871,Midway's Greatest Arcade Hits Volume 1,N64,2000,Midway Games,0.19,0.05,0,0,0.24
6875,Rock Band Track Pack Volume 2,Wii,2008,MTV Games,0.21,0.02,0,0.02,0.24
6891,Pictionary: Ultimate Edition,PS3,2011,THQ,0.15,0.06,0,0.03,0.24
6898,Checkers,2600,1980,Atari,0.22,0.01,0,0,0.24
6909,Viva Pinata: Party Animals,X360,2007,Microsoft Game Studios,0.19,0.03,0,0.02,0.24
6914,My Street,PS2,2003,Sony Computer Entertainment,0.12,0.09,0,0.03,0.24
6918,Shrek's Carnival Craze Party Games,DS,2008,Activision,0.22,0,0,0.02,0.24
6921,Danganronpa: Trigger Happy Havoc,PSP,N/A,Unknown,0,0,0.24,0,0.24
6922,Guitar Hero Live,X360,2015,Activision,0.12,0.1,0,0.02,0.24
6923,Game & Wario,WiiU,2013,Nintendo,0.06,0.06,0.11,0.01,0.24
6928,DanceDanceRevolution II,Wii,N/A,Konami Digital Entertainment,0.22,0,0,0.02,0.24
6929,Pictionary: Ultimate Edition,X360,2011,THQ,0.16,0.05,0,0.02,0.24
6940,Sesame Street: Elmo's Number Journey,PS,1998,NewKidCo,0.13,0.09,0,0.02,0.24
6955,New Carnival Games,DS,2010,Take-Two Interactive,0.16,0.05,0,0.02,0.23
6960,Karaoke Revolution Volume 2,PS2,2004,Konami Digital Entertainment,0.11,0.09,0,0.03,0.23
6961,Wizards of Waverly Place: Spellbound,DS,2010,Disney Interactive Studios,0.16,0.06,0,0.02,0.23
6967,Big Family Games,Wii,2009,THQ,0,0.22,0,0.02,0.23
6977,Zumba Fitness: World Party,XOne,2013,Majesco Entertainment,0.17,0.05,0,0.02,0.23
6993,SingStar Pop Edition,PS3,2009,Sony Computer Entertainment,0,0.19,0,0.05,0.23
6997,Hatsune Miku: Project Diva f,PSV,2012,Sega,0,0,0.23,0,0.23
6999,Carnival Island,PS3,2011,Sony Computer Entertainment,0.13,0.06,0,0.04,0.23
7002,Rock Band Track Pack: Classic Rock,Wii,2009,MTV Games,0.22,0,0,0.02,0.23
7008,Pinball Hall of Fame: The Gottlieb Collection,PSP,2005,Play It,0.2,0.01,0,0.02,0.23
7013,Rock Band Country Track Pack,X360,2009,MTV Games,0.22,0,0,0.02,0.23
7028,Ultimate Band,DS,2008,Disney Interactive Studios,0.19,0.02,0,0.02,0.23
7035,Yu-Gi-Oh! GX: Duel Academy,GBA,2005,Konami Digital Entertainment,0.17,0.06,0,0,0.23
7045,Karaoke Revolution Glee 2: Road to Regionals,Wii,2011,Konami Digital Entertainment,0.15,0.06,0,0.02,0.23
7070,World Series of Poker 2008: Battle for the Bracelets,PS2,2007,Activision,0.11,0.09,0,0.03,0.23
7075,Wipeout 2,3DS,2011,Activision,0.22,0,0,0.01,0.23
7107,Bicycle Casino 2005,XB,2004,Zoo Digital Publishing,0.17,0.05,0,0.01,0.23
7115,101-in-1 Party Megamix Wii,Wii,2009,Nordcurrent,0.19,0.01,0,0.02,0.23
7118,Buzz! Junior: RoboJam,PS2,2007,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23
7121,AC/DC LIVE: Rock Band Track Pack,X360,2008,MTV Games,0.21,0,0,0.02,0.23
7141,Yu-Gi-Oh! GX: Spirit Caller (American Sales),DS,2006,Konami Digital Entertainment,0.18,0.03,0,0.02,0.22
7146,EX Monopoly,GBA,2001,Takara,0.16,0.06,0,0,0.22
7148,64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997,Namco Bandai Games,0,0,0.22,0,0.22
7149,Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,GC,2003,Acclaim Entertainment,0.17,0.04,0,0.01,0.22
7158,Kidz Bop Dance Party! The Video Game,Wii,2010,D3Publisher,0.21,0,0,0.01,0.22
7162,Momotarou Dentetsu 15,PS2,2005,Hudson Soft,0,0,0.22,0,0.22
7193,Petz: Horse Club,Wii,2008,Ubisoft,0.2,0,0,0.02,0.22
