Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
12805,Mega Man 8 Anniversary Collector's Edition,SAT,1997,Capcom,0,0,0.06,0,0.06
12820,Death Jr. II: Root of Evil,PSP,2006,Konami Digital Entertainment,0.05,0,0,0,0.06
12898,Shaman King: Soul Fight,GC,2003,Namco Bandai Games,0,0,0.05,0,0.05
12904,Zapper: One Wicked Cricket!,XB,2002,Infogrames,0.04,0.01,0,0,0.05
12908,Sitting Ducks,PS2,2003,LSP Games,0.03,0.02,0,0.01,0.05
12931,Drill Dozer,GBA,N/A,Unknown,0.04,0.01,0,0,0.05
12939,Judge Dredd,PS,1997,Gremlin Interactive Ltd,0.03,0.02,0,0,0.05
12947,Dynamite Headdy,GEN,1993,Sega,0,0,0.05,0,0.05
12952,Dragon's Lair 3D: Return to the Lair,XB,2002,Ubisoft,0.04,0.01,0,0,0.05
12974,Disney's PK: Out of the Shadows,GC,2002,Ubisoft,0.04,0.01,0,0,0.05
12988,Piglet's Big Game,GC,2003,Gotham Games,0.04,0.01,0,0,0.05
12999,Piglet's Big Game,GBA,2003,THQ,0.04,0.01,0,0,0.05
13019,SpongeBob: HeroPants,PSV,2015,Activision,0.03,0.01,0,0.01,0.05
13073,Over the Hedge: Hammy Goes Nuts!,PSP,2006,Activision,0.05,0,0,0,0.05
13102,Mirror's Edge Catalyst,PC,2016,Electronic Arts,0.01,0.03,0,0.01,0.05
13108,PAC-MAN and the Ghostly Adventures,WiiU,2013,Namco Bandai Games,0.04,0.01,0,0,0.05
13112,Blues Brothers 2000,N64,2000,Virgin Interactive,0.04,0.01,0,0,0.05
13118,Chameleon Twist 2,N64,1998,Infogrames,0.04,0.01,0,0,0.05
13138,George of the Jungle and the Search for the Secret,DS,2008,Ignition Entertainment,0.05,0,0,0,0.05
13152,Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,GC,2005,Global Star,0.04,0.01,0,0,0.05
13155,Assassin's Creed: Altair's Chronicles,DS,2008,Ubisoft,0.03,0.01,0,0,0.05
13168,Stretch Panic,PS2,2001,Midas Interactive Entertainment,0.02,0.02,0,0.01,0.05
13182,Woody Woodpecker: Escape from Buzz Buzzard Park,PS2,2001,DreamCatcher Interactive,0.02,0.02,0,0.01,0.05
13224,Johnny Bazookatone,PS,1995,U.S. Gold,0.03,0.02,0,0,0.05
13233,Nicktoons: Attack of the Toybots,DS,2007,THQ,0.04,0,0,0,0.05
13248,Putty Squad,PSV,2013,System 3,0.02,0.02,0,0.01,0.05
13253,Silhouette Mirage,PS,1998,ESP,0.03,0.02,0,0,0.05
13263,Ultimate Ghosts 'n Goblins (JP sales),PSP,2006,Capcom,0,0,0.05,0,0.05
13321,Frogger: Ancient Shadow,GC,2005,Konami Digital Entertainment,0.04,0.01,0,0,0.05
13383,Crazy Chicken: Atlantis Quest,DS,2007,Phenomedia,0.04,0,0,0,0.05
13394,The Berenstain Bears and the Spooky Old Tree,GBA,2005,Namco Bandai Games,0.03,0.01,0,0,0.05
13433,Futurama,XB,2003,SCi,0.03,0.01,0,0,0.05
13437,Mighty No. 9,PS4,2016,Deep Silver,0.04,0,0,0.01,0.05
13439,Ape Escape,PS3,2010,Sony Computer Entertainment,0,0.03,0,0.01,0.05
13469,The Tale of Despereaux,Wii,2008,Brash Entertainment,0.04,0,0,0,0.04
13478,Disney's Donald Duck: Goin' Quackers,GC,2002,Ubisoft,0.03,0.01,0,0,0.04
13527,Sonic the Hedgehog 2 (8-bit),GG,1992,Sega,0,0,0.04,0,0.04
13532,Justice League: Chronicles,GBA,2003,Midway Games,0.03,0.01,0,0,0.04
13538,Gem Smashers,3DS,2011,Crave Entertainment,0.04,0,0,0,0.04
13547,Go Go Ackman 3,SNES,1995,Banpresto,0,0,0.04,0,0.04
13567,Mechanic Escape,PS3,2012,D3Publisher,0,0,0.04,0,0.04
13576,The Kore Gang,Wii,2010,Flashpoint Games,0.04,0,0,0,0.04
13587,Max & the Magic Marker,Wii,2011,Unknown,0,0.04,0,0,0.04
13610,Scaler,XB,2004,Global Star,0.03,0.01,0,0,0.04
13636,Myth Makers: Trixie in Toyland,Wii,2008,Popcorn Arcade,0.04,0,0,0,0.04
13744,Looney Tunes Duck Dodgers Starring: Daffy Duck,N64,2000,Infogrames,0.03,0.01,0,0,0.04
13745,Superman: Countdown to Apokolips,GBA,2003,Atari,0.03,0.01,0,0,0.04
13749,Dragon's Lair 3D: Return to the Lair,GC,2002,THQ,0.03,0.01,0,0,0.04
13785,Mission: Impossible - Operation Surma,GBA,2003,Atari,0.03,0.01,0,0,0.04
13898,E.T. The Extra-Terrestrial: Interplanetary Mission,PS,2001,Ubisoft,0.02,0.01,0,0,0.04
