Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
15038,Shanghai: True Valor,PS,1998,Activision,0.01,0.01,0,0,0.02
15053,Luxor: The Wrath of Set,PSP,2006,Mumbo Jumbo,0.02,0,0,0,0.02
15072,Escape the Emerald Star,PC,2011,PopCap Games,0.02,0,0,0,0.02
15075,Titanic Mystery,Wii,2010,O-Games,0.02,0,0,0,0.02
15080,Line Rider 2: Unbound,Wii,2008,Deep Silver,0.02,0,0,0,0.02
15082,Treasure Chase,DS,2011,Storm City Games,0.02,0,0,0,0.02
15093,Bejeweled 2 Deluxe,PC,2006,Focus Home Interactive,0,0.02,0,0,0.02
15104,Crazy Machines,Wii,2010,DTP Entertainment,0.01,0.01,0,0,0.02
15149,The Professor's Brain Trainer: Logic,DS,2005,505 Games,0.02,0,0,0,0.02
15164,Lode Runner,DS,2006,Hudson Entertainment,0,0,0.02,0,0.02
15171,Super Nazo Puyo Tsuu: Ruruu no Tetsuwan Hanjyouki,SNES,1996,Compile,0,0,0.02,0,0.02
15181,Puzzle Challenge: Crosswords and More!,PS2,2006,Crave Entertainment,0.01,0.01,0,0,0.02
15223,Geon Cube,Wii,2009,P2 Games,0.02,0,0,0,0.02
15239,Puyo Puyo! 15th Anniversary,PSP,2007,Sega,0,0,0.02,0,0.02
15240,Mind over Matter,DS,2010,505 Games,0.02,0,0,0,0.02
15248,Jewel Master: Cradle Of Rome 2,DS,2011,Rising Star Games,0,0.02,0,0,0.02
15262,Jelly Belly: Ballistic Beans,Wii,2009,Zoo Digital Publishing,0.02,0,0,0,0.02
15288,Guess the Logos,XB,2004,Sega,0.02,0,0,0,0.02
15316,Puzzle Quest: Challenge of the Warlords,PSP,2007,D3Publisher,0.01,0,0,0,0.02
15338,Mystery Tales 2: The Spirit Mask,DS,2011,Unknown,0,0.02,0,0,0.02
15376,Rat Attack!,N64,2000,Mindscape,0.02,0,0,0,0.02
15415,Puzzle City,DS,2009,Destineer,0.02,0,0,0,0.02
15421,Super Fruit Fall,Wii,2006,System 3 Arcade Software,0.01,0,0,0,0.02
15438,Dark Tales: Edgar Allan Poe's The Premature Burial,PC,2012,Focus Multimedia,0,0.02,0,0,0.02
15442,Nervous Brickdown,DS,2007,Eidos Interactive,0,0.01,0,0,0.02
15447,Spanish for Everyone!,DS,2007,Activision,0.02,0,0,0,0.02
15470,Atlantic Quest,PC,2011,Avanquest,0,0.02,0,0,0.02
15501,Azada,3DS,2012,Licensed 4U,0,0.02,0,0,0.02
15518,Puzzle Star Sweep,PS,1997,Midas Interactive Entertainment,0.01,0.01,0,0,0.02
15542,The Talos Principle,PS4,2015,Devolver Digital,0,0.02,0,0,0.02
15586,Bomberman 2,DS,2008,Hudson Soft,0,0.01,0,0,0.02
15592,Peggle Nights,PC,2008,PopCap Games,0,0.01,0,0,0.02
15594,Puzzle Guzzle,PSP,2007,DHM Interactive,0.02,0,0,0,0.02
15607,Aqua Panic!,DS,2009,Neko Entertainment,0.01,0.01,0,0,0.02
15625,Tiny Toon Adventures: Wacky Stackers,GBA,2001,Conspiracy Entertainment,0.01,0,0,0,0.02
15627,Rock Blast,Wii,2010,UFO Interactive,0.02,0,0,0,0.02
15635,Ultimate Puzzle Games,GBA,2005,Telegames,0.01,0,0,0,0.02
15657,Bejeweled Blitz,PC,2010,Mastertronic,0,0.01,0,0,0.02
15673,NEVES,DS,2007,Ignition Entertainment,0.01,0,0,0,0.02
15697,Mechanic Master 2,DS,2010,Crave Entertainment,0.02,0,0,0,0.02
15761,Hands On! Tangrams,DS,2009,Storm City Games,0.02,0,0,0,0.02
15762,Puzzle Chronicles,DS,2010,Konami Digital Entertainment,0.01,0,0,0,0.02
15775,Cube,PSP,2007,D3Publisher,0.02,0,0,0,0.02
15817,Konductra,DS,2006,O3 Entertainment,0.02,0,0,0,0.02
15828,Puyo Puyo Tetris,WiiU,2014,Sega,0,0,0.02,0,0.02
15839,The Dark Hills of Cherai,PC,2009,Unknown,0,0.01,0,0,0.02
15967,Curse of the Amsterdam Diamond,DS,2012,Easy Interactive,0,0.01,0,0,0.02
15987,Chameleon: To Dye For!,DS,2006,505 Games,0.01,0,0,0,0.01
15995,Bomberman (jp sales),PSP,2006,Konami Digital Entertainment,0,0,0.01,0,0.01
16044,Puyo Pop Fever,GC,2004,Sega,0.01,0,0,0,0.01
