Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7537,Drift King Shutokou Battle '94,SNES,1994,BPS,0,0,0.2,0,0.2
7552,Saturday Night Speedway,PS2,2004,Play It,0.1,0.08,0,0.03,0.2
7565,Le Mans 24 Hours,PS2,2001,Infogrames,0.09,0.07,0.02,0.02,0.2
7584,Cars,XB,2006,THQ,0.15,0.04,0,0.01,0.2
7587,Spy Hunter,GC,2002,Midway Games,0.16,0.04,0,0.01,0.2
7592,Ridge Racer 6,X360,2005,Namco Bandai Games,0.1,0.02,0.07,0.01,0.2
7600,Monster Jam,X360,2007,Activision,0.18,0,0,0.02,0.2
7605,Speed Punks,PS,1998,Sony Computer Entertainment,0.11,0.08,0,0.01,0.2
7618,Roadsters 99,N64,1999,Titus,0.06,0.13,0,0.01,0.2
7622,South Park Rally,N64,2000,Acclaim Entertainment,0.16,0.04,0,0,0.2
7624,San Francisco Rush 2049,N64,2000,Midway Games,0.16,0.04,0,0,0.2
7628,IHRA Drag Racing 2004,XB,2003,Bethesda Softworks,0.15,0.04,0,0.01,0.2
7637,Ford Racing Off Road,PS2,2008,Xplosiv,0.1,0.08,0,0.03,0.2
7640,Hot Wheels: Track Attack,Wii,2010,THQ,0.15,0.04,0,0.01,0.2
7667,Ridge Racer,PSV,2011,Namco Bandai Games,0.04,0.08,0.05,0.03,0.2
7677,Baja: Edge of Control,X360,2008,THQ,0.12,0.06,0,0.02,0.2
7694,Looney Tunes: Space Race,PS2,2002,Infogrames,0.1,0.08,0,0.03,0.2
7696,NASCAR Unleashed,Wii,2011,Activision,0.18,0,0,0.01,0.2
7722,Test Drive Unlimited 2,PC,N/A,Atari,0.05,0.11,0,0.03,0.2
7727,Big Mutha Truckers 2,PS2,2005,Xplosiv,0.1,0.07,0,0.03,0.2
7737,DiRT Showdown,PS3,2012,Codemasters,0.02,0.13,0,0.04,0.19
7741,Big Mutha Truckers,XB,2002,Empire Interactive,0.15,0.04,0,0.01,0.19
7797,Re-Volt,PS,1998,Acclaim Entertainment,0.11,0.07,0,0.01,0.19
7805,Jeep Thrills,Wii,2008,Zoo Digital Publishing,0.18,0,0,0.01,0.19
7811,IHRA Professional Drag Racing 2005,PS2,2004,Bethesda Softworks,0.09,0.07,0,0.02,0.19
7846,Cars: Race-O-Rama,PS3,2009,THQ,0.14,0.03,0,0.02,0.19
7853,Need for Speed: Shift 2 Unleashed,PC,2011,Electronic Arts,0.05,0.11,0,0.03,0.19
7854,Monster 4x4: Stunt Racer,Wii,2009,Ubisoft,0.18,0,0,0.01,0.19
7915,NASCAR Unleashed,3DS,2011,Activision,0.18,0,0,0.01,0.19
7932,F1 2011,PC,2011,Codemasters,0,0.15,0,0.04,0.19
7967,MotoGP,Wii,2009,Capcom,0.05,0.11,0,0.02,0.19
7968,Sega GT 2002,XB,2002,Sega,0.12,0.03,0.03,0.01,0.19
7981,Hot Wheels: Battle Force 5,Wii,2009,Activision,0.17,0,0,0.01,0.19
7985,SBK X: Superbike World Championship,X360,2010,Black Bean Games,0.1,0.07,0,0.02,0.19
8011,MotoGP 14,PS4,2014,Milestone S.r.l.,0.04,0.11,0,0.04,0.18
8022,Driving Emotion Type-S,PS2,2000,Electronic Arts,0.04,0.03,0.11,0.01,0.18
8058,Driver: San Francisco,PC,2011,Ubisoft,0.05,0.1,0,0.03,0.18
8082,Test Drive Off-Road Wide Open,XB,2001,Infogrames,0.15,0.03,0,0.01,0.18
8094,Tokyo Xtreme Racer DRIFT,PS2,2003,Genki,0.09,0.07,0,0.02,0.18
8101,Re-Volt,N64,1999,Acclaim Entertainment,0.14,0.04,0,0,0.18
8108,Ridge Racer Unbounded,PS3,2012,Namco Bandai Games,0.05,0.1,0,0.03,0.18
8109,Burnout Legends,DS,2005,Electronic Arts,0.15,0.02,0,0.01,0.18
8112,Full Auto 2: Battlelines,PS3,2006,Sega,0.14,0.02,0,0.02,0.18
8122,World of Outlaws: Sprint Cars,X360,2010,THQ,0.17,0,0,0.01,0.18
8126,F1 Challenge,SAT,1994,Sega,0,0,0.18,0,0.18
8134,American Chopper 2: Full Throttle,PS2,2005,Zoo Digital Publishing,0.09,0.07,0,0.02,0.18
8146,Race Pro,X360,2009,Atari,0.06,0.09,0,0.02,0.18
8171,Juiced,XB,2005,THQ,0.13,0.04,0,0.01,0.18
8177,Sonic Riders: Zero Gravity,PS2,2008,Sega,0.09,0.07,0,0.02,0.18
8178,Driver: San Francisco,Wii,2011,Ubisoft,0.06,0.09,0,0.02,0.18
