Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
15369,UnchainBlades EXXiV,PSP,2012,FuRyu,0,0,0.02,0,0.02
15372,The Legend of Heroes: Trails in the Sky Third Chapter,PSV,2016,Nihon Falcom Corporation,0,0,0.02,0,0.02
15383,Cross Treasures,DS,2009,Square Enix,0,0,0.02,0,0.02
15388,Elminage Original: Majo to Megami to Kamigami no Yubiwa,PSP,2011,Starfish,0,0,0.02,0,0.02
15393,Elminage Gothic: Ulm Zakir to Yami no Gishiki,PSP,2012,Starfish,0,0,0.02,0,0.02
15396,Invizimals: The Resistance,PSV,2014,Sony Computer Entertainment,0,0.02,0,0,0.02
15401,The Legend of Heroes: Trails in the Sky Second Chapter,PS3,2013,Falcom Corporation,0,0,0.02,0,0.02
15412,Deus Ex: Mankind Divided,PC,2016,Square Enix,0,0.02,0,0,0.02
15422,Zwei!!,PSP,2008,Falcom Corporation,0,0,0.02,0,0.02
15431,Sega Ages 2500 Series Vol. 32: Phantasy Star Complete Collection,PS2,2008,Sega,0,0,0.02,0,0.02
15436,Mount & Blade: Warband,PC,2010,Paradox Interactive,0.01,0.01,0,0,0.02
15448,Battle Princess of Arcadias,PS3,2013,Nippon Ichi Software,0,0,0.02,0,0.02
15455,Mount & Blade Collection,PC,2012,Paradox Interactive,0,0.02,0,0,0.02
15456,Car Battler Joe,GBA,2001,Victor Interactive,0.01,0.01,0,0,0.02
15462,Coded Soul: Uke Keigareshi Idea,PSP,2008,Sony Computer Entertainment,0,0,0.02,0,0.02
15478,Black Rose Valkyrie,PS4,2016,Idea Factory,0,0,0.02,0,0.02
15494,PC Engine Best Collection: Tengai Makyou Collection,PSP,2008,Hudson Soft,0,0,0.02,0,0.02
15516,Elvandia Story,PS2,2007,Spike,0,0,0.02,0,0.02
15519,Battle Spirits: Kiseki no Hasha,PSP,2009,Namco Bandai Games,0,0,0.02,0,0.02
15562,Earth Seeker,Wii,2011,Kadokawa Shoten,0,0,0.02,0,0.02
15568,Pirates of the Burning Sea,PC,2008,Koch Media,0,0.01,0,0,0.02
15572,Entaku no Seito: The Eternal Legend,PSP,2012,Kadokawa Games,0,0,0.02,0,0.02
15579,Sega Ages 2500 Series Vol. 29: Monster World Complete Collection,PS2,2007,Sega,0,0,0.02,0,0.02
15589,Summon Night Granthese: Horobi no Ken to Yakusoku no Kishi,PS2,2010,Namco Bandai Games,0,0,0.02,0,0.02
15633,Robopon 2: Cross Version,GBA,2001,Hudson Entertainment,0.01,0,0,0,0.02
15641,Elminage II: Sousei no Megami to Unmei no Daichi,PSP,2009,Starfish,0,0,0.02,0,0.02
15645,Blazing Souls,PS2,2006,Idea Factory,0,0,0.02,0,0.02
15651,Tail of the Sun,PS,1996,ArtDink,0.01,0.01,0,0,0.02
15655,Virtua Quest,PS2,N/A,Unknown,0.01,0.01,0,0,0.02
15666,Wizardry Twin Pack,PS3,2011,Acquire,0,0,0.02,0,0.02
15672,Tegami Bachi: Kokoro Tsumugu Mono e,PSP,2010,Konami Digital Entertainment,0,0,0.02,0,0.02
15676,Antiphona no Seikahime: Tenshi no Gakufu Op.A,PSP,2009,Nippon Ichi Software,0,0,0.02,0,0.02
15683,Eyeshield 21: Portable Edition,PSP,2006,Konami Digital Entertainment,0,0,0.02,0,0.02
15716,Aedis Eclipse: Generation of Chaos,PSP,2006,Idea Factory,0.02,0,0,0,0.02
15725,Zoids Dash,DS,2006,Tomy Corporation,0,0,0.02,0,0.02
15766,Divinity: Original Sin,PC,2014,Focus Home Interactive,0,0.02,0,0,0.02
15789,Mana Khemia 2: Ochita Gakuen to Renkinjutsushi Tachi Portable+,PSP,2009,Gust,0,0,0.02,0,0.02
15810,Brave Story: Boku no Kioku to Negai,DS,2006,Namco Bandai Games,0,0,0.02,0,0.02
15843,Battle Spirits: Hero's Soul,PSP,2010,Namco Bandai Games,0,0,0.02,0,0.02
15850,Final Fantasy XI: All-In-One Pack 2006,X360,2006,Square Enix,0,0,0.02,0,0.02
15858,Drakensang: The Dark Eye,PC,2009,Eidos Interactive,0.01,0,0,0,0.02
15914,Robopon 2: Ring Version,GBA,2001,Hudson Entertainment,0.01,0,0,0,0.02
15920,Violet no Atelier: Gramnad no Renkinjutsushi 2 - Gunjou no Omoide,PSP,2011,Gust,0,0,0.02,0,0.02
15923,Elminage II DS Remix: Sousei no Megami to Unmai no Daichi,DS,2010,Starfish,0,0,0.02,0,0.02
15925,Gaku ? Ou: The Royal Seven Stars,PSP,2012,Alchemist,0,0,0.02,0,0.02
15926,Pillars of Eternity,PC,2014,Paradox Interactive,0,0.01,0,0,0.02
15959,Guild Wars: Factions,PC,2006,NCSoft,0,0.01,0,0,0.02
15992,DokuSui: DokiDoki Suikoden,PSP,2011,Irem Software Engineering,0,0,0.01,0,0.01
16005,Red Stone DS: Akaki Ishi ni Michibikareshi Monotachi,DS,2011,Unknown,0,0,0.01,0,0.01
16010,Demon Gaze 2,PSV,2014,Experience Inc.,0,0,0.01,0,0.01
