Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
9162,The Operative: No One Lives Forever,PS2,2002,Electronic Arts,0.07,0.05,0,0.02,0.14
9164,Epidemic,PS,1995,Sony Computer Entertainment,0.02,0.01,0.1,0.01,0.14
9201,The Darkness II,PC,2012,Take-Two Interactive,0.1,0.03,0,0.01,0.14
9241,The History Channel: Civil War - A Nation Divided,X360,2006,Activision,0.13,0,0,0.01,0.14
9258,In the Hunt,PS,1995,THQ,0.03,0.02,0.07,0.01,0.14
9265,Rogue Warrior,PS3,2009,Bethesda Softworks,0.11,0.02,0,0.01,0.14
9302,Vampire Night,PS2,2001,Sony Computer Entertainment,0.07,0.05,0,0.02,0.14
9306,Battlefield: Hardline,PC,2015,Electronic Arts,0,0.13,0,0.01,0.14
9313,Top Shot Arcade,Wii,2011,Activision,0.13,0,0,0.01,0.14
9316,Red Orchestra 2: Heroes of Stalingrad,PC,2011,Tripwire Interactive,0.04,0.07,0,0.02,0.14
9319,Tom Clancy's Ghost Recon,Wii,2010,Ubisoft,0.11,0.01,0,0.01,0.14
9332,Legendary,PS3,2008,Atari,0.08,0.03,0,0.02,0.13
9337,James Bond 007: Nightfire,GBA,2003,Electronic Arts,0.1,0.04,0,0,0.13
9391,James Bond 007: Legends,WiiU,2012,Activision,0.07,0.05,0,0.01,0.13
9398,History Civil War: Secret Missions,X360,2008,Activision,0.12,0,0,0.01,0.13
9406,Greg Hastings Paintball 2,Wii,2010,505 Games,0.12,0,0,0.01,0.13
9439,Eat Lead: The Return of Matt Hazard,PS3,2009,D3Publisher,0.09,0.02,0,0.01,0.13
9444,Contra III: The Alien Wars,SNES,1992,Konami Digital Entertainment,0,0,0.13,0,0.13
9445,Dead to Rights: Reckoning,PSP,2005,Electronic Arts,0.12,0,0,0.01,0.13
9453,NeverDead,PS3,2012,Konami Digital Entertainment,0.06,0.04,0.01,0.02,0.13
9470,Disruptor,PS,1995,Interplay,0.07,0.05,0,0.01,0.13
9481,Sin and Punishment,N64,2000,Nintendo,0,0,0.13,0,0.13
9495,The House of the Dead,SAT,1997,Sega,0,0,0.13,0,0.13
9511,Iridion II,GBA,2003,Vivendi Games,0.09,0.03,0,0,0.13
9525,Borderlands: Double Game Add-On Pack,X360,2010,Take-Two Interactive,0.1,0.02,0,0.01,0.13
9528,Army Men: Soldiers of Misfortune,Wii,2008,Zoo Games,0.12,0,0,0.01,0.13
9529,Alter Echo,PS2,2003,THQ,0.06,0.05,0,0.02,0.13
9537,Hour of Victory,X360,2007,Midway Games,0.1,0.01,0,0.01,0.13
9558,Fuse (Insomniac),X360,2013,Electronic Arts,0.08,0.04,0,0.01,0.13
9563,Gunstar Heroes,GEN,1992,Sega,0,0,0.13,0,0.13
9567,Brothers in Arms: Double Time,Wii,2008,Ubisoft,0.11,0,0,0.01,0.13
9582,Star Wars: Clone Wars,XB,2003,LucasArts,0.1,0.03,0,0,0.13
9637,Freedom Fighters,GC,2003,Electronic Arts,0.1,0.03,0,0,0.13
9642,Detana TwinBee Yahho! Deluxe Pack,SAT,1995,Konami Digital Entertainment,0,0,0.13,0,0.13
9647,Eat Lead: The Return of Matt Hazard,X360,2009,D3Publisher,0.1,0.01,0,0.01,0.13
9648,Battleborn,XOne,2016,Take-Two Interactive,0.08,0.04,0,0.01,0.13
9651,Armed and Dangerous,XB,2003,LucasArts,0.09,0.03,0,0,0.13
9652,Jurassic: The Hunted,X360,2009,Activision,0.12,0,0,0.01,0.13
9654,Conduit 2,Wii,2011,Sega,0.07,0.04,0,0.01,0.13
9657,Geometry Wars: Galaxies,Wii,2007,Vivendi Games,0.11,0,0,0.01,0.13
9689,Strikers 1945,PS,1998,Midas Interactive Entertainment,0.07,0.05,0,0.01,0.12
9696,Blackwater,X360,2011,505 Games,0.09,0.02,0,0.01,0.12
9702,Homefront: The Revolution,XOne,2016,Deep Silver,0.05,0.07,0,0.01,0.12
9743,Fuse (Insomniac),PS3,2013,Electronic Arts,0.06,0.04,0,0.02,0.12
9752,Mobile Suit Gundam Seed: Rengou vs. Z.A.F.T. Portable,PSP,2007,Namco Bandai Games,0,0,0.12,0,0.12
9757,Red Faction II,XB,2003,THQ,0.09,0.03,0,0,0.12
9761,Bodycount,PS3,2011,Codemasters,0.05,0.06,0,0.02,0.12
9779,NPPL: Championship Paintball 2009,X360,2008,Activision Value,0.1,0.01,0,0.01,0.12
9780,Lost Planet 3,X360,2013,Capcom,0.07,0.04,0.01,0.01,0.12
9851,Famicom Mini: TwinBee,GBA,2004,Konami Digital Entertainment,0,0,0.12,0,0.12
