Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3317,Petz: Dogz Pack,DS,2008,Ubisoft,0.56,0,0,0.05,0.61
3331,Littlest Pet Shop: Jungle,DS,2008,Electronic Arts,0.34,0.2,0,0.06,0.61
3368,BeatMania Append 3rdMix,PS,1998,Konami Digital Entertainment,0,0,0.56,0.04,0.6
3434,Harvest Moon: Friends of Mineral Town,GBA,2003,Ubisoft,0.34,0.13,0.11,0.01,0.59
3441,Petz Dogz 2,Wii,2007,Ubisoft,0.53,0.01,0,0.04,0.58
3445,Tokimeki Memorial: Forever with You,PS,1995,Konami Digital Entertainment,0,0,0.55,0.04,0.58
3452,Harvest Moon: Sunshine Islands,DS,2008,Rising Star Games,0.35,0.03,0.17,0.03,0.58
3455,The Sims 3: World Adventures,PC,2009,Electronic Arts,0.02,0.18,0,0.39,0.58
3466,Harvest Moon: The Tale of Two Towns,DS,2010,Natsume,0.27,0.06,0.22,0.03,0.58
3480,Petz Nursery,DS,2009,Ubisoft,0.53,0,0,0.04,0.58
3507,Theme Park,PS,1994,Electronic Arts,0.24,0.16,0.13,0.04,0.57
3529,Petz Wild Animals: Tigerz,DS,2008,Ubisoft,0.52,0.01,0,0.04,0.57
3532,Dogz,DS,2006,Ubisoft,0.51,0.02,0,0.04,0.57
3571,The Sims: Bustin' Out,XB,2003,Electronic Arts,0.4,0.14,0,0.02,0.56
3582,Petz Dogz 2,PS2,2007,Ubisoft,0.28,0.21,0,0.07,0.56
3603,Viva Pinata: Pocket Paradise,DS,2008,THQ,0.27,0.23,0,0.06,0.56
3612,Catz,DS,2006,Ubisoft,0.49,0.02,0,0.04,0.56
3616,Petz Catz Clan,DS,2008,Ubisoft,0.48,0.04,0,0.04,0.56
3625,Purr Pals,DS,2007,THQ,0.18,0.36,0,0.02,0.56
3632,ZhuZhu Pets 2: Featuring The Wild Bunch,DS,2010,Activision,0.41,0.11,0,0.04,0.55
3701,Dance Dance Revolution Ultramix,XB,2003,Konami Digital Entertainment,0.42,0.11,0,0.02,0.54
3774,SimAnimals,DS,2009,Electronic Arts,0.26,0.21,0,0.06,0.53
3797,We Cheer,Wii,2008,505 Games,0.48,0,0,0.04,0.53
3801,Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,DS,2010,Electronic Arts,0.5,0,0,0.03,0.53
3825,Seaman,DC,1999,Sega,0,0,0.52,0,0.52
3851,IL-2 Sturmovik: Birds of Prey,X360,2009,505 Games,0.23,0.24,0,0.05,0.52
3873,The Sims 2: Open for Business,PC,2006,Electronic Arts,0.46,0.05,0,0,0.52
3920,Ace Combat Zero: The Belkan War,PS2,2006,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51
3936,Euro Truck Simulator,PC,2008,Rondomedia,0,0.42,0,0.09,0.51
3939,Paws & Claws: Dogs & Cats Best Friends,DS,2007,THQ,0.46,0.01,0,0.04,0.51
3973,Babysitting Mama,Wii,2010,505 Games,0.34,0.12,0,0.04,0.5
3979,Dance Dance Revolution Universe 2,X360,2007,Konami Digital Entertainment,0.46,0.01,0,0.04,0.5
3980,Star Wars: Jedi Starfighter,PS2,2002,Activision,0.24,0.19,0,0.06,0.5
4039,The Sims,GC,2003,Electronic Arts,0.35,0.13,0,0.01,0.49
4076,SimCity 2000,SNES,1995,THQ,0,0,0.49,0,0.49
4092,The Sims 2: Pets,Wii,2007,Electronic Arts,0.42,0.03,0,0.04,0.48
4114,Secret Weapons Over Normandy,PS2,2003,LucasArts,0.24,0.18,0,0.06,0.48
4117,Harvest Moon 64,N64,1999,Pack In Soft,0.25,0.06,0.11,0.06,0.48
4119,Bratz: The Movie,PS2,2007,THQ,0.24,0.18,0,0.06,0.48
4121,Harvest Moon DS (US sales),DS,2005,Rising Star Games,0.41,0.07,0,0,0.48
4124,Football Manager 2015,PC,2014,Sega,0,0.43,0,0.05,0.48
4128,Viva Pinata: Trouble in Paradise,X360,2008,Microsoft Game Studios,0.16,0.25,0.01,0.05,0.48
4143,SimCity Creator,Wii,2008,Electronic Arts,0.37,0.03,0.04,0.04,0.48
4174,Petz Sports,Wii,2008,Ubisoft,0.42,0.01,0,0.04,0.47
4194,The Sims 3: Ambitions,PC,2010,Electronic Arts,0,0.29,0,0.18,0.47
4209,The Sims 3: Outdoor Living Stuff,PC,2011,Electronic Arts,0,0.38,0,0.09,0.47
4275,Farming Simulator 2015,PS3,2015,Koch Media,0.11,0.28,0,0.07,0.46
4305,Warhawk,PS,1995,Sony Computer Entertainment,0.25,0.17,0,0.03,0.46
4348,Phoenix,2600,1981,Atari,0.42,0.02,0,0,0.45
4369,Dance Dance Revolution: Hottest Party 3,Wii,2009,Konami Digital Entertainment,0.26,0.14,0,0.04,0.45
