Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
11602,The Golf Club,PS4,2014,Unknown,0.05,0.02,0,0.01,0.08
11608,LEGO Soccer Mania,GBA,2002,Electronic Arts,0.06,0.02,0,0,0.08
11619,Backyard NFL Football '09,DS,2008,Atari,0.07,0,0,0.01,0.08
11623,MLB Front Office Manager,PS3,2009,Take-Two Interactive,0.07,0,0,0.01,0.08
11632,Ultimate Duck Hunting,Wii,2009,Zoo Digital Publishing,0.07,0,0,0.01,0.08
11634,Jikkyou Powerful Pro Yakyuu Next,Wii,2009,Konami Digital Entertainment,0,0,0.08,0,0.08
11643,NHL Hitz 20-03,GC,2002,Midway Games,0.06,0.02,0,0,0.08
11654,All-Star Baseball 2004,GC,2003,Acclaim Entertainment,0.06,0.02,0,0,0.08
11655,Madden NFL 08,GC,2007,Electronic Arts,0.06,0.02,0,0,0.08
11663,Pro Yakyuu Famista DS 2010,DS,2010,Namco Bandai Games,0,0,0.08,0,0.08
11664,Captain Tsubasa,PS2,2006,Namco Bandai Games,0,0,0.08,0,0.08
11693,World Tour Soccer 06,PSP,2006,Sony Computer Entertainment,0.07,0,0,0.01,0.08
11706,Madden NFL 17,PS3,2016,Electronic Arts,0.05,0.01,0,0.01,0.08
11709,The Hustle: Detroit Streets,PSP,2005,Deep Silver,0.07,0,0,0.01,0.08
11714,WRC 5: FIA World Rally Championship,PSV,2015,Bigben Interactive,0,0.06,0,0.02,0.08
11715,Winter Sports 2011,Wii,2011,DTP Entertainment,0,0.06,0,0.01,0.08
11718,Super Football,2600,1987,Atari,0.07,0,0,0,0.08
11730,Tennis no Oji-Sama Gyutto! DokiDoki Survival - Umi to Yama no Love Passion,DS,2011,Konami Digital Entertainment,0,0,0.08,0,0.08
11736,Backyard NBA Basketball,DS,2007,Atari,0.07,0,0,0.01,0.07
11749,Winter Sports 2: The Next Challenge,X360,2008,RTL,0.06,0.01,0,0.01,0.07
11751,Super Baseball,2600,1987,Atari,0.07,0,0,0,0.07
11752,Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PS3,2011,Konami Digital Entertainment,0,0,0.07,0,0.07
11771,NHL Open Ice,PS,1996,Midway Games,0.04,0.03,0,0,0.07
11787,Soccer Tsuku: Pro Soccer Club o Tsukurou!,PSV,2013,Sega,0,0,0.07,0,0.07
11796,Classic Road,PS,1995,Victor Interactive,0,0,0.07,0,0.07
11823,Harlem Globetrotters: World Tour,DS,2006,Zoo Digital Publishing,0.07,0,0,0.01,0.07
11837,Derby Jockey: Kishou e no Michi,SNES,1994,Asmik Corp,0,0,0.07,0,0.07
11841,Winning Post 7 2012,PS3,2012,Ackkstudios,0,0,0.07,0,0.07
11851,Rugby League 3,Wii,2010,Alternative Software,0,0.06,0,0.01,0.07
11854,Backyard Hockey,DS,2007,Atari,0.07,0,0,0.01,0.07
11855,River King: Mystic Valley (US sales),DS,2007,Rising Star Games,0.07,0,0,0,0.07
11871,Winning Eleven Playmaker 2010: Aoki Samurai no Chousen,Wii,2010,Konami Digital Entertainment,0,0,0.07,0,0.07
11873,Rugby World Cup 2015,PS3,2015,Ubisoft,0,0.06,0,0.01,0.07
11906,All-Star Baseball 2004,GBA,2003,Acclaim Entertainment,0.05,0.02,0,0,0.07
11914,Dave Mirra BMX Challenge,PSP,2006,Oxygen Interactive,0.06,0,0,0.01,0.07
11917,Alexi Lalas International Soccer,PS,1998,Take-Two Interactive,0.04,0.03,0,0,0.07
11920,NCAA College Football 2K3,GC,2002,Sega,0.05,0.01,0,0,0.07
11925,Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,N64,2000,Nintendo,0,0,0.07,0,0.07
11935,Disney Sports Skateboarding,GBA,2002,Konami Digital Entertainment,0.05,0.02,0,0,0.07
11957,Football Manager 2010,PC,2009,Sega,0,0.06,0,0.01,0.07
11958,Dave Mirra BMX Challenge,Wii,2007,505 Games,0.06,0,0,0.01,0.07
11969,ESPN National Hockey Night,PS2,2001,Konami Digital Entertainment,0.03,0.03,0,0.01,0.07
11970,Rec Room Games,DS,2011,Destineer,0.07,0,0,0,0.07
11973,Pro Yaky? Spirits 2011,3DS,2011,Konami Digital Entertainment,0,0,0.07,0,0.07
11977,Shounen Sunday x Shounen Magazine: Nettou! Dream Nine,DS,2009,Konami Digital Entertainment,0,0,0.07,0,0.07
11982,John Madden Football,SNES,1991,Imagineer,0,0,0.07,0,0.07
11989,Mia Hamm Soccer 64,N64,2000,THQ,0.06,0.01,0,0,0.07
11990,MLB Front Office Manager,X360,2009,Take-Two Interactive,0.06,0,0,0.01,0.07
11998,FIFA Soccer 2004,GC,2003,Electronic Arts,0.05,0.01,0,0,0.07
12003,NHL 2K9,Wii,2008,Take-Two Interactive,0.06,0,0,0.01,0.07
