Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
15312,War Leaders: Clash of Nations,PC,2009,CDV Software Entertainment,0,0.02,0,0,0.02
15352,Oil Rush,PC,2012,Iceberg Interactive,0,0.02,0,0,0.02
15378,Chuugen no Hasha: Sangoku Shouseiden,PSP,2006,Namco Bandai Games,0,0,0.02,0,0.02
15417,Worms,X360,2007,Microsoft Game Studios,0,0.02,0,0,0.02
15420,Trapped Dead,PC,2011,Iceberg Interactive,0,0.02,0,0,0.02
15429,Defendin' De Penguin,DS,2008,Zushi Games,0.02,0,0,0,0.02
15449,Nobunaga's Ambition: Tenshouki with Power-Up Kit HD Version,PSV,2015,Tecmo Koei,0,0,0.02,0,0.02
15454,UFO: Trilogy,PC,2007,Unknown,0,0.02,0,0,0.02
15471,Tycoon City: New York,PC,2006,Atari,0,0.02,0,0,0.02
15488,"Warhammer 40,000: Dawn of War: Soulstorm",PC,2008,THQ,0,0.02,0,0,0.02
15489,Virtual Kasparov,GBA,2002,Titus,0.01,0.01,0,0,0.02
15493,Devil Survivor: Over Clock,3DS,2015,Atlus,0,0,0.02,0,0.02
15495,Commandos 3: Destination Berlin,PC,2003,Eidos Interactive,0,0.02,0,0,0.02
15505,Hogs of War,PS,2000,Infogrames,0.01,0.01,0,0,0.02
15554,Yu-Gi-Oh! GX: The Beginning of Destiny (JP sales),PS2,2007,Konami Digital Entertainment,0,0,0.02,0,0.02
15574,WorldShift,PC,2009,Playlogic Game Factory,0.02,0,0,0,0.02
15604,Command & Conquer 3: Kane's Wrath,PC,2008,Electronic Arts,0,0.01,0,0,0.02
15663,Nobunaga no Yabou: Soutensoku with Power-Up Kit,PSP,2011,Tecmo Koei,0,0,0.02,0,0.02
15684,Stronghold Legends,PC,2006,Take-Two Interactive,0,0.01,0,0,0.02
15689,Machi-ing Maker 4,PS3,2011,D3Publisher,0,0,0.02,0,0.02
15698,Dungeons - The Dark Lord,PC,2011,Kalypso Media,0,0.01,0,0,0.02
15712,Ultraman Star Chronicles,PSP,2013,Namco Bandai Games,0,0,0.02,0,0.02
15728,Disciples III: Renaissance,PC,2010,Kalypso Media,0,0.01,0,0,0.02
15732,Goblin Commander: Unleash the Horde,GC,2003,Jaleco,0.01,0,0,0,0.02
15744,Elven Legacy Collection,PC,2010,Paradox Interactive,0,0.01,0,0,0.02
15768,Strike Witches: Shirogane no Tsubasa,X360,2010,CyberFront,0,0,0.02,0,0.02
15780,Worms World Party,PC,2001,Virgin Interactive,0,0.01,0,0,0.02
15804,XCOM 2,XOne,2016,Take-Two Interactive,0.01,0.01,0,0,0.02
15816,Achtung Panzer: Kharkov 1943,PC,2010,Mamba Games,0,0.01,0,0,0.02
15821,Command & Conquer 4: Tiberian Twilight,PC,2010,Electronic Arts,0,0.01,0,0,0.02
15824,Farm Frenzy,PC,2008,Mumbo Jumbo,0.01,0,0,0,0.02
15837,Majesty 2 Collection,PC,2011,Paradox Interactive,0,0.01,0,0,0.02
15869,San Goku Shi DS 2,DS,2007,Tecmo Koei,0,0,0.02,0,0.02
15872,Elven Legacy,PC,2009,Paradox Interactive,0.01,0,0,0,0.02
15883,Command & Conquer Collection,PC,2003,Electronic Arts,0.01,0,0,0,0.02
15890,Romance of the Three Kingdoms XII,WiiU,2012,Tecmo Koei,0,0,0.02,0,0.02
15905,Tennis no Oji-Sama: Card Hunter,PS2,2007,Konami Digital Entertainment,0,0,0.02,0,0.02
15915,Evil Genius,PC,2004,Vivendi Games,0,0.01,0,0,0.02
15927,RollerCoaster Tycoon: Gold Edition,PC,2002,Infogrames,0.01,0,0,0,0.02
15961,Drone Tactics,DS,2007,Success,0.01,0,0,0,0.02
15965,Imperium Romanum,PC,2008,Kalypso Media,0,0.01,0,0,0.02
15968,Sengoku,PC,2011,Paradox Interactive,0,0.01,0,0,0.02
15972,Sid Meier's Civilization Revolution 2+,PSV,2015,Take-Two Interactive,0,0,0.02,0,0.02
16016,Codename: Panzers Phase Two,PC,2005,CDV Software Entertainment,0,0.01,0,0,0.01
16017,Nobunaga no Yabou Online: Houou no Shou,PS3,2012,Ackkstudios,0,0,0.01,0,0.01
16021,Nobunaga no Yabou DS,DS,2006,Tecmo Koei,0,0,0.01,0,0.01
16043,Impossible Creatures,PC,2002,Microsoft Game Studios,0,0.01,0,0,0.01
16049,Blitzkrieg 2 Anthology,PC,2008,Ascaron Entertainment GmbH,0,0.01,0,0,0.01
16054,Battle Worlds: Kronos,PC,2016,Nordic Games,0,0.01,0,0,0.01
16066,Super Robot Taisen XO,X360,2006,Banpresto,0,0,0.01,0,0.01
