Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1546,Army Men 3D,PS,1999,1.1,0.14,0,0.04,1.28
2432,Army Men: Air Attack,PS,1999,0.47,0.32,0,0.06,0.85
2548,Army Men: Sarge's Heroes,N64,1999,0.68,0.12,0,0.01,0.81
3580,Army Men: Sarge's Heroes,PS,1999,0.31,0.21,0,0.04,0.56
4460,Army Men World War: Final Front,PS,2001,0.24,0.17,0,0.03,0.44
4935,BattleTanx: Global Assault,N64,1999,0.31,0.07,0,0,0.39
5511,BattleTanx,N64,1998,0.26,0.06,0,0,0.33
5836,"Army Men World War: Land, Sea, Air",PS,2000,0.17,0.12,0,0.02,0.3
5901,Army Men: Air Attack 2,PS,2000,0.17,0.11,0,0.02,0.3
6874,Army Men: Air Combat,N64,2000,0.19,0.05,0,0,0.24
8294,World Destruction League: Thunder Tanks,PS2,2000,0.08,0.07,0,0.02,0.17
8375,World Destruction League: Thunder Tanks,PS,2000,0.09,0.06,0,0.01,0.17
9399,Army Men: Green Rogue,PS2,2001,0.06,0.05,0,0.02,0.13
10651,Army Men World War: Team Assault,PS,2001,0.06,0.04,0,0.01,0.1
11810,Godai: Elemental Force,PS2,2002,0.04,0.03,0,0.01,0.07
11816,Uprising X,PS,1998,0.04,0.03,0,0,0.07
12191,Army Men: Green Rogue,PS,2001,0.04,0.02,0,0,0.07
