Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2843,Terraria,X360,2013,0.35,0.31,0,0.06,0.72
4053,Terraria,PS3,2013,0.07,0.26,0.09,0.07,0.49
4457,Naughty Bear,PS3,2010,0.18,0.18,0,0.07,0.44
4760,Naughty Bear,X360,2010,0.21,0.16,0,0.04,0.41
8026,Naruto Shippuden: Dragon Blade Chronicles,Wii,2009,0.11,0.02,0.05,0.01,0.18
10315,Cats & Dogs: The Revenge of Kitty Galore,DS,2010,0.1,0,0,0.01,0.11
10362,Naruto Shippuden 3D: The New Era,3DS,2011,0,0.04,0.06,0.01,0.11
10542,The Destiny of Zorro,Wii,2009,0.1,0,0,0.01,0.1
11486,Samurai Western,PS2,2004,0.04,0.03,0,0.01,0.08
11620,Terraria,3DS,2016,0,0.03,0.04,0,0.08
12132,Deep Labyrinth,DS,2006,0.06,0,0,0,0.07
12140,Shin Chan: Las Nuevas Aventuras Para Wii!,Wii,2006,0,0,0.07,0,0.07
12442,Terraria,PS4,2014,0,0.05,0.01,0.01,0.06
12558,Top Gun: Hard Lock,X360,2012,0.03,0.02,0,0,0.06
12619,Raw Danger! (JP sales),PS2,2006,0,0,0.06,0,0.06
13772,Terraria,XOne,2014,0,0.04,0,0,0.04
14114,Top Gun: Hard Lock,PS3,2012,0,0.03,0,0.01,0.03
14291,Raw Danger!,PS2,2006,0.02,0.01,0,0,0.03
14610,Turn It Around,DS,2006,0.03,0,0,0,0.03
14850,Terraria,WiiU,2016,0,0.02,0,0,0.03
15135,Rule of Rose,PS2,2006,0.01,0.01,0,0,0.02
