Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6347,Shadow Man,N64,1999,0.18,0.08,0,0.01,0.27
6721,Shadow Man,PS,1998,0.14,0.09,0,0.02,0.25
9090,Mary-Kate and Ashley: Winners Circle,PS,2001,0.08,0.05,0,0.01,0.14
9107,Fur Fighters: Viggo's Revenge,PS2,2001,0.07,0.05,0,0.02,0.14
9310,Mary-Kate and Ashley: Crush Course,PS,2001,0.08,0.05,0,0.01,0.14
9853,Gladiator: Sword of Vengeance,PS2,2003,0.06,0.05,0,0.02,0.12
10217,Batman & Robin,PS,1998,0.06,0.04,0,0.01,0.11
10246,Alias,PS2,2004,0.05,0.04,0,0.01,0.11
12053,Fantastic Four,PS,1997,0.04,0.03,0,0,0.07
12839,Gladiator: Sword of Vengeance,XB,2003,0.04,0.01,0,0,0.05
13106,Alias,XB,2004,0.04,0.01,0,0,0.05
14192,Batman Forever: The Arcade Game,PS,1996,0.02,0.01,0,0,0.03
14358,DragonHeart: Fire & Steel,PS,1996,0.02,0.01,0,0,0.03
15543,The Crow: City of Angels,PS,1997,0.01,0.01,0,0,0.02
