Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
242,Spider-Man: The Movie,PS2,2002,2.71,1.51,0.03,0.23,4.48
325,LEGO Indiana Jones: The Original Adventures,X360,2008,2.4,1.03,0,0.36,3.78
391,Spider-Man 2,PS2,2004,1.75,1.2,0.02,0.43,3.41
412,True Crime: Streets of LA,PS2,2003,1.89,1.05,0.02,0.31,3.27
442,Spider-Man,PS,2000,1.7,1.25,0.02,0.16,3.13
459,Kung Fu Panda,X360,2008,1.91,0.84,0,0.29,3.05
513,Skylanders: Spyro's Adventure,Wii,2011,1.4,1.14,0,0.31,2.85
572,Skylanders Giants,Wii,2012,1.56,0.88,0,0.22,2.65
725,LEGO Indiana Jones: The Original Adventures,DS,2008,1.42,0.61,0,0.21,2.23
853,Tenchu: Stealth Assassins,PS,1997,0.95,0.64,0.27,0.13,1.99
935,GoldenEye 007 (2010),Wii,2010,0.85,0.71,0.13,0.16,1.86
1073,Call of Duty Black Ops: Declassified,PSV,2012,0.8,0.52,0.07,0.3,1.69
1203,Spider-Man 2: Enter: Electro,PS,2001,0.57,0.87,0.02,0.09,1.55
1275,007: Quantum of Solace,X360,2008,0.82,0.52,0.01,0.14,1.49
1349,LEGO Indiana Jones 2: The Adventure Continues,Wii,2009,0.91,0.39,0,0.13,1.43
1382,Spider-Man: The Movie,XB,2002,1.07,0.28,0,0.05,1.4
1393,Bakugan: Battle Brawlers,DS,2009,1.27,0.02,0,0.09,1.39
1401,True Crime: Streets of LA,XB,2003,0.96,0.37,0,0.05,1.38
1473,Spider-Man: The Movie,GBA,2002,0.92,0.35,0.01,0.05,1.33
1499,Skylanders Giants,X360,2012,0.75,0.45,0,0.11,1.32
1505,[Prototype],X360,2009,0.84,0.35,0,0.12,1.31
1571,Kung Fu Panda,DS,2008,0.56,0.57,0,0.14,1.26
1601,Transformers: Autobots / Decepticons,DS,2007,1.12,0.03,0,0.09,1.24
1604,[Prototype],PS3,2009,0.65,0.41,0,0.19,1.24
1611,Star Wars Episode III: Revenge of the Sith,XB,2005,0.82,0.38,0,0.04,1.24
1658,LEGO Indiana Jones 2: The Adventure Continues,DS,2009,0.66,0.43,0,0.12,1.21
1701,Spider-Man: The Movie,GC,2002,0.86,0.27,0.01,0.04,1.19
1741,007: Quantum of Solace,PS3,2008,0.43,0.52,0.02,0.2,1.16
1785,Tenchu: Wrath of Heaven,PS2,2003,0.44,0.34,0.25,0.11,1.14
1832,Spider-Man 2,XB,2004,0.82,0.26,0,0.04,1.12
1835,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS2,2007,0.63,0.37,0,0.11,1.11
1891,Skylanders Giants,PS3,2012,0.35,0.52,0,0.22,1.09
1954,LEGO Indiana Jones: The Original Adventures,PS3,2008,0.44,0.44,0,0.18,1.06
1961,Spider-Man 2,GBA,2004,0.76,0.28,0,0.02,1.06
1969,Skylanders: Trap Team,Wii,2014,0.42,0.54,0,0.08,1.05
2005,LEGO Indiana Jones 2: The Adventure Continues,X360,2009,0.62,0.33,0,0.09,1.04
2137,Skylanders: Spyro's Adventure,X360,2011,0.53,0.35,0,0.1,0.97
2188,Skylanders: Spyro's Adventure,PS3,2011,0.39,0.4,0,0.16,0.95
2240,Skylanders: Trap Team,X360,2014,0.54,0.31,0,0.08,0.93
2259,Kung Fu Panda,Wii,2008,0.5,0.32,0,0.09,0.92
2283,LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,0.47,0.3,0,0.13,0.91
2455,Spider-Man 2,GC,2004,0.65,0.17,0,0.02,0.84
2501,The Amazing Spider-Man (Console Version),PS3,2012,0.31,0.37,0,0.14,0.83
2576,[Prototype 2],X360,2012,0.48,0.25,0,0.07,0.8
2723,True Crime: New York City,PS2,2005,0.57,0.02,0.07,0.09,0.76
2742,[Prototype 2],PS3,2012,0.36,0.28,0,0.11,0.75
2743,Shark Tale,PS2,2004,0.37,0.29,0,0.1,0.75
2745,The Amazing Spider-Man (Console Version),X360,2012,0.43,0.26,0,0.06,0.75
2753,X-Men Origins: Wolverine - Uncaged Edition,PS3,2009,0.31,0.32,0,0.13,0.75
2754,Madagascar: Escape 2 Africa,DS,2008,0.42,0.26,0,0.07,0.75
2784,Indiana Jones and the Staff of Kings,Wii,2009,0.36,0.3,0,0.08,0.74
2829,Ultimate Spider-Man,PS2,2005,0.6,0.02,0,0.1,0.72
2902,Spider-Man 2,PSP,2005,0.35,0.21,0,0.14,0.71
2911,Star Wars: Obi-Wan,XB,2001,0.52,0.16,0,0.02,0.7
2922,Skylanders: Trap Team,WiiU,2014,0.39,0.25,0,0.06,0.7
2945,X-Men Origins: Wolverine - Uncaged Edition,X360,2009,0.42,0.21,0,0.06,0.69
2948,Shrek the Third,X360,2007,0.54,0.1,0,0.06,0.69
2955,Skylanders: Trap Team,PS3,2014,0.24,0.33,0,0.12,0.69
2973,Shark Tale,GBA,2004,0.49,0.18,0,0.01,0.68
2976,Bakugan: Battle Brawlers,Wii,2009,0.6,0.03,0,0.05,0.68
3040,007: Quantum of Solace,Wii,2008,0.3,0.29,0.01,0.07,0.67
3081,Keystone Kapers,2600,1982,0.62,0.04,0,0.01,0.66
3091,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PSP,2007,0.23,0.27,0,0.16,0.66
3098,Kung Fu Panda,PS2,2008,0.24,0,0,0.41,0.65
3120,Kung-Fu Master,2600,1987,0.6,0.04,0,0.01,0.65
3208,Angry Birds Trilogy,3DS,2012,0.38,0.2,0,0.05,0.63
3327,Spider-Man: Mysterio's Menace,GBA,2001,0.43,0.16,0,0.01,0.61
3329,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",X360,2007,0.51,0.05,0,0.05,0.61
3404,LEGO Indiana Jones 2: The Adventure Continues,PSP,2009,0.21,0.24,0,0.14,0.59
3413,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007,0.52,0.03,0,0.04,0.59
3491,Tenchu 2: Birth of the Stealth Assassins,PS,2000,0.32,0.22,0,0.04,0.58
3541,Skylanders: Spyro's Adventure,3DS,2011,0.32,0.2,0,0.05,0.57
3562,True Crime: Streets of LA,GC,2003,0.44,0.11,0,0.02,0.56
3608,Madagascar: Escape 2 Africa,Wii,2008,0.32,0.18,0,0.05,0.56
3666,The Amazing Spider-Man 2 (2014),PS4,2014,0.2,0.25,0.02,0.09,0.55
3737,How to Train Your Dragon,DS,2010,0.32,0.17,0,0.05,0.54
3796,Spider-Man,N64,2000,0.43,0.09,0,0.01,0.53
3855,Kung Fu Panda,PS3,2008,0.21,0.21,0,0.09,0.52
3912,Monsters vs. Aliens,DS,2009,0.33,0.13,0,0.05,0.51
3986,Spider-Man 2,DS,2004,0.41,0.02,0.03,0.04,0.5
