Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
224,Driver 2,PS,2000,2.36,2.1,0.02,0.25,4.73
429,Enter the Matrix,PS2,2003,1.78,1.12,0.09,0.19,3.18
866,E.T.: The Extra Terrestrial,2600,1981,1.84,0.11,0,0.02,1.97
1587,Combat,2600,N/A,1.17,0.07,0,0.01,1.25
1681,Enter the Matrix,XB,2003,0.72,0.43,0.01,0.04,1.2
2362,Ghostbusters: The Video Game,Wii,2009,0.6,0.21,0,0.08,0.88
2674,Crystal Castles,2600,1983,0.72,0.04,0,0.01,0.77
2817,Beyblade VForce: Ultimate Blader Jam,GBA,2003,0.52,0.19,0,0.01,0.73
3195,Ghostbusters: The Video Game,X360,2009,0.43,0.14,0,0.06,0.63
3323,Dragon Ball Z: Buu's Fury,GBA,2004,0.44,0.16,0,0.01,0.61
3464,Terminator 3: Rise of the Machines,PS2,2003,0.28,0.22,0,0.07,0.58
3955,Midnight Magic,2600,1983,0.47,0.03,0,0.01,0.5
4017,Raiders of the Lost Ark,2600,1981,0.46,0.03,0,0.01,0.5
4030,The Matrix: Path of Neo,PS2,2005,0.41,0.01,0,0.07,0.49
4234,Circus Atari,2600,N/A,0.43,0.03,0,0,0.46
4269,Gremlins,2600,1983,0.43,0.03,0,0,0.46
4321,Enter the Matrix,GC,2003,0.34,0.09,0.02,0.01,0.45
4380,Maze Craze: A Game of Cops 'n Robbers,2600,N/A,0.42,0.02,0,0,0.45
4529,Ghostbusters: The Video Game,PS2,2009,0.15,0.04,0,0.24,0.43
4607,Superman: Shadow of Apokolips,PS2,2002,0.21,0.16,0,0.05,0.42
4678,Ghostbusters: The Video Game,DS,2009,0.26,0.12,0,0.04,0.41
4733,The Terminator: Dawn of Fate,PS2,2002,0.2,0.16,0,0.05,0.41
5066,Gravitar,2600,1982,0.35,0.02,0,0,0.38
5369,Driver 2 Advance,GBA,2002,0.25,0.09,0,0.01,0.34
5735,The Matrix: Path of Neo,XB,2005,0.23,0.07,0,0.01,0.31
5800,Slot Machine,2600,N/A,0.29,0.02,0,0,0.31
5897,Yu Yu Hakusho Ghost Files: Spirit Detective,GBA,2003,0.21,0.08,0,0.01,0.3
6115,Dragon Ball GT: Transformation,GBA,2005,0.2,0.08,0,0.01,0.28
6318,Flag Capture,2600,N/A,0.25,0.02,0,0,0.27
6944,Afro Samurai,X360,2009,0.16,0.05,0,0.02,0.24
7186,Crazy Climber,2600,1981,0.21,0.01,0,0,0.22
7481,BeyBlade VForce: Super Tournament Battle,GC,2002,0.16,0.04,0,0.01,0.21
7505,Beyblade G-Revolution,GBA,2004,0.15,0.05,0,0,0.2
7601,Afro Samurai,PS3,2009,0.12,0.05,0,0.03,0.2
7689,Forgotten Realms: Demon Stone,PS2,2004,0.1,0.08,0,0.03,0.2
8038,Ghostbusters: The Video Game,PSP,2009,0.16,0.01,0,0.02,0.18
8771,The Terminator: Dawn of Fate,XB,2002,0.11,0.03,0,0.01,0.15
9026,Haunted House,Wii,2010,0.13,0,0,0.01,0.14
9077,Terminator 3: Rise of the Machines,XB,2003,0.11,0.03,0,0.01,0.14
9108,Krull,2600,1982,0.13,0.01,0,0,0.14
9404,Superman: The Man of Steel,XB,2002,0.1,0.03,0,0,0.13
9643,Dragon Ball: Origins,DS,2008,0.09,0.03,0,0.01,0.13
9686,Godzilla Unleashed: Double Smash,DS,2007,0.11,0,0,0.01,0.12
11196,Forgotten Realms: Demon Stone,XB,2004,0.06,0.02,0,0,0.09
11535,Superman: Shadow of Apokolips,GC,2003,0.06,0.02,0,0,0.08
11947,Loons: The Fight For Fame,XB,2002,0.05,0.02,0,0,0.07
12585,Mercury Meltdown,PSP,2006,0.05,0.01,0,0.01,0.06
12707,Terminator 3: Rise of the Machines,GBA,2003,0.04,0.02,0,0,0.06
12865,Marc Ecko's Getting Up: Contents Under Pressure,PS2,2006,0.03,0.02,0,0.01,0.05
13824,The Chase: Felix Meets Felicity,DS,2009,0.04,0,0,0,0.04
14121,Asterix & Obelix: Kick Buttix,PS2,2004,0.02,0.01,0,0,0.03
14507,Downstream Panic!,PSP,2008,0.03,0,0,0,0.03
15052,Totally Spies! 2: Undercover,DS,2006,0.01,0.01,0,0,0.02
15411,Dragon Ball Z: Buu's Fury / Dragon Ball GT: Transformation,GBA,2006,0.01,0.01,0,0,0.02
