Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
959,The Evil Within,PS4,2014,0.55,0.84,0.11,0.31,1.81
1033,Dishonored,X360,2012,1.06,0.52,0.01,0.14,1.73
1197,Dishonored,PS3,2012,0.72,0.54,0.04,0.25,1.55
2267,The Evil Within,PS3,2014,0.26,0.39,0.12,0.14,0.92
3100,The Evil Within,XOne,2014,0.35,0.25,0,0.05,0.65
3938,Dishonored,PC,2012,0.26,0.19,0,0.06,0.51
4014,The Evil Within,X360,2014,0.25,0.2,0.01,0.04,0.5
4630,Wolfenstein: The Old Blood,PS4,2015,0.09,0.25,0.02,0.06,0.42
5141,Dishonored,PS4,2015,0.11,0.18,0.02,0.06,0.37
6300,The Evil Within,PC,2014,0.09,0.16,0,0.02,0.27
6579,Hunted: The Demon's Forge,PS3,2011,0.12,0.08,0.02,0.04,0.26
7246,Hunted: The Demon's Forge,X360,2011,0.13,0.07,0,0.02,0.22
8770,Wolfenstein: The Old Blood,XOne,2015,0.07,0.07,0,0.01,0.15
9034,Dishonored,XOne,2015,0.08,0.05,0,0.01,0.14
11466,Wolfenstein: The Old Blood,PC,2015,0,0.08,0,0,0.08
12948,Hunted: The Demon's Forge,PC,2011,0.03,0.01,0,0.01,0.05
16366,Fallout Anthology,PC,2015,0,0.01,0,0,0.01
