Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
197,Resident Evil 5,PS3,2009,1.96,1.43,1.08,0.65,5.11
351,Resident Evil 4,PS2,2005,2.08,0.83,0.46,0.25,3.62
372,Resident Evil 5,X360,2009,2.11,0.94,0.12,0.34,3.51
415,Monster Hunter X,3DS,2015,0.25,0.19,2.78,0.04,3.26
476,Devil May Cry,PS2,2001,1.36,0.86,0.64,0.13,2.99
643,Dino Crisis,PS,1998,0.81,0.76,0.7,0.14,2.41
680,Resident Evil - Code: Veronica X,PS2,2001,1.08,0.7,0.34,0.21,2.34
714,Resident Evil 4,Wii,2007,1.34,0.57,0.14,0.21,2.26
734,Devil May Cry 3: Dante's Awakening Special Edition,PS2,2006,1.06,0.82,0.05,0.28,2.21
792,Devil May Cry 3: Dante's Awakening,PS2,2005,0.99,0.63,0.29,0.19,2.09
794,Dead Rising,X360,2006,1.16,0.65,0.08,0.2,2.09
864,Devil May Cry 2,PS2,2003,0.71,0.58,0.51,0.17,1.97
1072,Resident Evil 4,GC,2005,0.98,0.42,0.22,0.06,1.69
1119,Ghosts 'n Goblins,NES,1986,0.74,0.26,0.61,0.03,1.64
1164,Devil May Cry 4,PS3,2008,0.58,0.46,0.34,0.21,1.59
1192,Final Fight,SNES,1990,0.67,0.17,0.69,0.03,1.56
1211,Resident Evil: The Umbrella Chronicles,Wii,2007,0.68,0.43,0.29,0.14,1.54
1248,Mega Man 2,NES,1988,0.93,0.15,0.42,0.01,1.51
1265,Dead Rising 2,X360,2010,0.75,0.53,0.09,0.12,1.5
1317,Onimusha 3: Demon Siege,PS2,2004,0.37,0.47,0.54,0.07,1.45
1323,Resident Evil: Outbreak,PS2,2003,0.54,0.35,0.46,0.1,1.45
1365,Resident Evil (Remake),GC,2002,0.63,0.38,0.35,0.05,1.42
1408,Dead Rising 2,PS3,2010,0.43,0.57,0.15,0.22,1.38
1449,Devil May Cry 4,X360,2008,0.79,0.34,0.08,0.13,1.35
1531,Resident Evil Zero,GC,2002,0.54,0.27,0.45,0.04,1.29
1708,Resident Evil: Operation Raccoon City,PS3,2012,0.48,0.25,0.36,0.1,1.18
1793,Commando,NES,1986,0.71,0.16,0.25,0.03,1.14
1902,Resident Evil: The Darkside Chronicles,Wii,2009,0.48,0.32,0.2,0.09,1.08
2035,Final Fight 2,SNES,1993,0.39,0.12,0.49,0.02,1.02
