Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
8128,Shadow Madness,PS,1999,0.1,0.07,0,0.01,0.18
8613,Rudolph the Red-Nosed Reindeer,Wii,2010,0.15,0,0,0.01,0.16
8682,Rudolph the Red-Nosed Reindeer,DS,2010,0.15,0,0,0.01,0.16
8992,Elf: The Movie,GBA,2004,0.1,0.04,0,0,0.15
10225,Fighting Force 64,N64,1999,0.09,0.02,0,0,0.11
10787,Man vs. Wild,X360,2011,0.09,0,0,0.01,0.1
11348,America's Next Top Model,Wii,2010,0.08,0,0,0.01,0.08
11658,Man vs. Wild,Wii,2011,0.07,0,0,0,0.08
14138,Sky Dancers,GBA,2005,0.02,0.01,0,0,0.03
15115,Big Idea's VeggieTales: LarryBoy and the Bad Apple,PS2,2006,0.01,0.01,0,0,0.02
15769,Big Idea's VeggieTales: LarryBoy and the Bad Apple,GBA,2006,0.01,0,0,0,0.02
