Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1057,Ben 10: Protector of Earth,DS,2007,0.69,0.83,0,0.19,1.7
1612,Ben 10: Protector of Earth,Wii,2007,0.55,0.55,0,0.13,1.23
2479,Ben 10: Protector of Earth,PS2,2007,0.09,0,0,0.74,0.84
2847,Ben 10: Protector of Earth,PSP,2007,0.23,0.31,0,0.18,0.72
4437,Ben 10 Alien Force: Vilgax Attacks,Wii,2009,0.25,0.15,0,0.04,0.44
4568,Naruto: Ninja Council 3,DS,2006,0.39,0,0,0.03,0.42
4572,Ben 10 Alien Force: Vilgax Attacks,DS,2009,0.22,0.16,0,0.04,0.42
4573,Ben 10 Alien Force: Vilgax Attacks,PSP,2009,0.13,0.19,0,0.11,0.42
5986,Ben 10 Alien Force: Vilgax Attacks,PS2,2009,0.11,0.03,0,0.15,0.29
7242,Ben 10 Alien Force: Vilgax Attacks,X360,2009,0.11,0.09,0,0.02,0.22
7982,Dragon Blade: Wrath of Fire,Wii,2007,0.17,0,0,0.01,0.19
8796,The Secret Saturdays: Beasts of the 5th Sun,PS2,2009,0.05,0.02,0,0.08,0.15
9010,Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013,0.1,0.03,0,0.01,0.14
9082,Yogi Bear: The Video Game,DS,2010,0.1,0.03,0,0.01,0.14
9111,Top Spin 3,DS,2008,0.11,0.02,0,0.01,0.14
9172,Earth Defense Force 2: Invaders from Planet Space,PSP,2011,0,0,0.14,0,0.14
9533,Onechanbara: Bikini Samurai Squad,X360,2006,0.11,0.01,0,0.01,0.13
9632,Victorious: Time to Shine,X360,2011,0.12,0,0,0.01,0.13
9724,Onechanbara: Bikini Zombie Slayers,Wii,2008,0.11,0,0,0.01,0.12
9945,Yogi Bear: The Video Game,Wii,2010,0.06,0.05,0,0.01,0.12
10093,Coraline,PS2,2009,0.06,0.04,0,0.01,0.11
10188,Astro Boy: The Video Game,PS2,2009,0.05,0.04,0,0.01,0.11
10254,Astro Boy: The Video Game,Wii,2009,0.1,0,0,0.01,0.11
10508,Astro Boy: The Video Game,DS,2009,0.09,0,0,0.01,0.1
10675,Earth Defense Force 2025.1: The Shadow of New Despair,PS4,2015,0,0,0.1,0,0.1
10723,The Secret Saturdays: Beasts of the 5th Sun,Wii,2009,0.09,0,0,0.01,0.1
10975,The Secret Saturdays: Beasts of the 5th Sun,PSP,2009,0.08,0,0,0.01,0.09
11301,The Secret Saturdays: Beasts of the 5th Sun,DS,2009,0.08,0,0,0.01,0.08
11425,Adventure Time: Explore the Dungeon Because I Don't Know!,X360,2013,0.03,0.04,0,0.01,0.08
11489,Earth Defense Force 2017,X360,2006,0.04,0.01,0.03,0,0.08
12289,Bullet Girls,PSV,2014,0,0,0.06,0,0.06
12391,Earth Defense Force 2017 Portable,PSV,2012,0,0,0.06,0,0.06
12588,Hi Hi Puffy AmiYumi: Kaznapped,GBA,2005,0.04,0.02,0,0,0.06
12793,Coraline,Wii,2009,0.05,0,0,0,0.06
13211,Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,2013,0.02,0.02,0,0.01,0.05
13517,Coraline,DS,2009,0.04,0,0,0,0.04
13520,Dead Head Fred,PSP,2007,0.04,0,0,0,0.04
13799,Astro Boy: The Video Game,PSP,2009,0.04,0,0,0,0.04
13888,Bullet Girls 2,PSV,2016,0,0,0.04,0,0.04
14105,Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,2013,0.02,0.01,0,0,0.03
14108,Onechanbara Z Kagura,PS3,2013,0,0,0.03,0,0.03
14668,Onechanbara Z Kagura,X360,2012,0,0,0.03,0,0.03
15183,"Simple 2500 Series Portable!! Vol. 12: The Hohei 2: Senyuu yo, Sakini Ike",PSP,2009,0,0,0.02,0,0.02
15358,Onechanbara Special,PSP,2011,0,0,0.02,0,0.02
15477,Natsuiro High School: Seishun Hakusho,PS4,2015,0,0,0.02,0,0.02
15496,Otoko Yukaku,PSV,2015,0,0,0.02,0,0.02
15534,Natsuiro High School: Seishun Hakusho,PS3,2015,0,0,0.02,0,0.02
15801,Simple 2000 Series Vol. 105: The Maid Fuku to Kikanjuu,PS2,2006,0,0,0.02,0,0.02
15813,Custom Drive,PSP,2012,0,0,0.02,0,0.02
15929,Storm Lover Kai!!,PSP,2012,0,0,0.02,0,0.02
15946,Tiger & Bunny: Hero's Day,PSP,2013,0,0,0.02,0,0.02
16233,Hi Hi Puffy AmiYumi: The Genie & the Amp,DS,2006,0.01,0,0,0,0.01
16262,Simple DS Series Vol. 41: The Bakudan Shori-Han,DS,2008,0,0,0.01,0,0.01
