Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
657,Dead Island,X360,2011,1.48,0.71,0,0.2,2.39
695,Dead Island,PS3,2011,1.08,0.75,0.15,0.31,2.29
1062,Saints Row IV,X360,2013,1.01,0.53,0.01,0.14,1.69
1519,Saints Row IV,PS3,2013,0.56,0.44,0.09,0.21,1.3
2618,Dead Island: Riptide,X360,2013,0.44,0.27,0.01,0.07,0.79
2989,Metro: Last Light,PS4,2014,0.22,0.3,0.04,0.12,0.68
3256,Dead Island: Riptide,PS3,2013,0.26,0.2,0.07,0.09,0.62
4427,Metro: Last Light,PS3,2013,0.14,0.2,0.03,0.08,0.44
4977,Saints Row IV,PS4,2015,0.13,0.17,0.03,0.06,0.38
5184,Metro: Last Light,X360,2013,0.17,0.16,0,0.03,0.36
5741,Metro: Last Light,XOne,2014,0.15,0.13,0,0.03,0.31
6477,Prison Break: The Conspiracy,PS3,2010,0.05,0.16,0,0.05,0.26
7145,Killer is Dead,PS3,2013,0.12,0.04,0.05,0.02,0.22
7267,Dead Island,PC,2011,0.12,0.07,0,0.03,0.22
7367,Prison Break: The Conspiracy,X360,2010,0.07,0.12,0,0.02,0.21
7609,Saints Row IV,XOne,2015,0.1,0.09,0,0.02,0.2
7746,Metro: Last Light,PC,2013,0.06,0.11,0,0.02,0.19
7874,Saints Row IV,PC,2013,0.11,0.06,0,0.02,0.19
9803,Killer is Dead,X360,2013,0.08,0.02,0.01,0.01,0.12
9995,Dead Island Definitive Collection,PS4,2016,0.02,0.07,0.01,0.02,0.12
11180,Escape Dead Island,X360,2014,0.03,0.05,0,0.01,0.09
11275,Escape Dead Island,PS3,2014,0.03,0.04,0,0.01,0.08
11575,Dead Island: Riptide,PC,N/A,0,0.07,0,0.01,0.08
13287,Saints Row: Gat out of Hell,PS4,2015,0,0.04,0,0.01,0.05
13492,Dead Island Definitive Collection,XOne,2016,0.02,0.02,0,0,0.04
15101,ScrapLand,XB,2005,0.02,0,0,0,0.02
15717,This War of Mine,PS4,2016,0,0.01,0,0,0.02
