Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
570,Hannah Montana,DS,2006,1.59,0.8,0,0.26,2.65
773,Toy Story 3: The Video Game,DS,2010,0.93,0.97,0.02,0.21,2.12
933,Phineas and Ferb,DS,2009,1.34,0.37,0,0.15,1.86
1031,Disney Infinity,Wii,2013,1.15,0.44,0,0.14,1.73
1116,LEGO Pirates of the Caribbean: The Video Game,Wii,2011,0.76,0.72,0,0.16,1.64
1179,Hannah Montana: Music Jam,DS,2007,1.06,0.37,0,0.15,1.58
1348,Disney Infinity,X360,2013,0.96,0.37,0,0.11,1.43
1369,Toy Story 3: The Video Game,Wii,2010,0.64,0.63,0,0.14,1.41
1398,Hannah Montana: Spotlight World Tour,Wii,2007,0.87,0.38,0,0.13,1.39
1826,Disney Infinity 2.0: Marvel Super Heroes,X360,2014,0.62,0.4,0,0.1,1.12
1848,Toy Story 3: The Video Game,PS3,2010,0.51,0.42,0,0.17,1.11
1935,Disney Universe,Wii,2011,0.67,0.3,0,0.1,1.07
1937,LEGO Pirates of the Caribbean: The Video Game,X360,2011,0.54,0.42,0,0.1,1.07
1994,Disney Tangled,DS,2010,0.58,0.37,0,0.09,1.04
2019,Epic Mickey 2: The Power of Two,Wii,2012,0.72,0.23,0,0.08,1.03
2040,Disney Infinity 2.0: Marvel Super Heroes,PS3,2014,0.44,0.4,0,0.17,1.02
2079,Disney Infinity,PS3,2013,0.48,0.35,0,0.16,1
2092,LEGO Pirates of the Caribbean: The Video Game,PS3,2011,0.36,0.46,0,0.17,0.99
2157,LEGO Pirates of the Caribbean: The Video Game,DS,2011,0.37,0.49,0,0.1,0.96
2487,Lizzie McGuire 2: Lizzie Diaries,GBA,2004,0.6,0.22,0,0.01,0.83
2534,Disney's The Little Mermaid: Ariel's Undersea Adventure,DS,2006,0.73,0.03,0,0.06,0.81
2652,Toy Story 3: The Video Game,X360,2010,0.41,0.29,0,0.07,0.78
2789,Pirates of the Caribbean: At World's End,PS3,2007,0.17,0.41,0,0.15,0.74
2947,Disney Tangled,Wii,2010,0.47,0.17,0,0.05,0.69
2981,Disney Infinity 3.0,PS4,2015,0.21,0.36,0,0.11,0.68
3051,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,N/A,0.48,0.18,0,0.01,0.67
3078,Toy Story 3: The Video Game,PSP,2010,0.27,0.25,0,0.14,0.66
3096,Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014,0.38,0.22,0,0.06,0.65
3200,Disney Universe,PS3,2011,0.3,0.23,0,0.09,0.63
3252,LEGO Pirates of the Caribbean: The Video Game,3DS,2011,0.29,0.28,0,0.06,0.62
3346,Phineas and Ferb: Across the 2nd Dimension,Wii,2011,0.36,0.19,0,0.05,0.6
3347,Disney Infinity,WiiU,2013,0.33,0.22,0,0.05,0.6
3378,Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,0.26,0.24,0,0.1,0.6
3516,Disney Universe,X360,2011,0.37,0.15,0,0.05,0.57
3581,Phineas and Ferb: Across the 2nd Dimension,DS,2011,0.32,0.19,0,0.05,0.56
3618,G-Force,DS,2009,0.27,0.23,0,0.06,0.56
3749,Epic Mickey 2: The Power of Two,X360,2012,0.32,0.17,0,0.04,0.54
4012,Epic Mickey 2: The Power of Two,PS3,2012,0.21,0.2,0,0.08,0.5
4057,Epic Mickey: Power of Illusion,3DS,2012,0.36,0.04,0.04,0.04,0.49
4186,Disney Infinity 3.0,PS3,2015,0.14,0.25,0,0.08,0.47
4306,Pirates of the Caribbean: At World's End,Wii,2007,0.39,0.02,0.01,0.04,0.46
4419,Disney Infinity 3.0,X360,2015,0.19,0.21,0,0.04,0.44
4422,Disney Infinity 3.0,WiiU,2015,0.2,0.21,0,0.04,0.44
4436,G-Force,Wii,2009,0.19,0.2,0,0.05,0.44
4506,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PS2,2005,0.36,0.01,0,0.06,0.43
4557,TRON: Evolution,PS3,2010,0.27,0.1,0,0.05,0.43
4566,Pirates of the Caribbean: At World's End,PSP,2007,0.15,0.17,0,0.1,0.43
4632,Disney Infinity 2.0: Marvel Super Heroes,XOne,2014,0.24,0.15,0,0.03,0.42
4666,Pirates of the Caribbean: At World's End,PS2,2007,0.2,0.16,0,0.05,0.42
4810,The Chronicles of Narnia: Prince Caspian,PS2,2008,0.2,0.15,0,0.05,0.4
5027,Lilo & Stitch 2: Hämsterviel Havoc,GBA,2004,0.27,0.1,0,0.01,0.38
5163,The Chronicles of Narnia: Prince Caspian,Wii,2008,0.31,0.02,0,0.03,0.36
5349,Pirates of the Caribbean: At World's End,DS,2007,0.3,0.01,0.01,0.03,0.35
5355,LEGO Pirates of the Caribbean: The Video Game,PSP,2011,0.11,0.15,0,0.08,0.34
5430,Pirates of the Caribbean: At World's End,X360,2007,0.29,0.02,0,0.03,0.34
5521,Phineas and Ferb: Across the 2nd Dimension,PS3,2011,0.15,0.12,0,0.05,0.33
5711,Phineas and Ferb Ride Again,DS,2010,0.25,0.04,0,0.02,0.31
5763,TRON: Evolution,X360,2010,0.24,0.05,0,0.02,0.31
5764,Disney Infinity 3.0,XOne,2015,0.18,0.1,0,0.03,0.31
5932,The Suite Life of Zack & Cody: Circle of Spies,DS,2007,0.17,0.09,0,0.03,0.3
6042,Disney Infinity,3DS,2013,0.16,0.1,0,0.02,0.29
6168,Hannah Montana: Spotlight World Tour,PS2,2008,0.12,0.02,0,0.14,0.28
6197,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,N/A,0.22,0.06,0,0.01,0.28
6320,G-Force,PS2,2009,0.12,0.01,0,0.14,0.27
6630,The Suite Life of Zack & Cody: Tipton Trouble,DS,2006,0.23,0,0,0.02,0.25
6951,Epic Mickey 2: The Power of Two,WiiU,2012,0.14,0.07,0.01,0.02,0.24
7156,G-Force,PS3,2009,0.13,0.06,0,0.03,0.22
7391,The Chronicles of Narnia: Prince Caspian,DS,2008,0.19,0.01,0,0.02,0.21
7615,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",XB,2005,0.15,0.04,0,0.01,0.2
7950,Disney's Meet the Robinsons,Wii,2007,0.17,0,0,0.01,0.19
8024,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",DS,2005,0.15,0.02,0,0.01,0.18
8070,The Chronicles of Narnia: Prince Caspian,X360,2008,0.16,0.01,0,0.01,0.18
8183,TRON: Evolution,DS,2010,0.12,0.04,0,0.01,0.18
8233,The Chronicles of Narnia: Prince Caspian,PS3,2008,0.14,0.02,0,0.02,0.17
8351,Disney's Home on the Range,GBA,2004,0.12,0.04,0,0,0.17
8382,G-Force,X360,2009,0.11,0.05,0,0.01,0.17
8510,Disney's American Dragon Jake Long: Attack of the Dark Dragon,DS,2006,0.15,0,0,0.01,0.16
8766,Sonny with a Chance,DS,2010,0.12,0.02,0,0.01,0.15
9014,Power Rangers: Super Legends,PS2,2007,0.07,0.06,0,0.02,0.14
9039,Disney Infinity 2.0: Marvel Super Heroes,PSV,2015,0,0.11,0,0.03,0.14
9491,TRON: Evolution,PSP,2010,0.09,0.02,0,0.02,0.13
9805,Cory in the House,DS,2007,0.11,0,0,0.01,0.12
10136,Power Rangers: Super Legends,DS,2007,0.08,0.03,0,0.01,0.11
10807,Disney Planes Fire & Rescue,3DS,2014,0.01,0.08,0,0.01,0.1
11508,Disney's Meet the Robinsons,X360,2007,0.07,0,0,0.01,0.08
12205,TRON: Evolution,PC,2010,0.06,0,0,0,0.07
12230,Disney Infinity,PSV,2013,0.05,0,0,0.02,0.07
12371,Tron 2.0: Killer App,GBA,2004,0.04,0.02,0,0,0.06
12564,Disney Planes Fire & Rescue,Wii,2014,0,0.05,0,0,0.06
12626,Tron 2.0: Killer App,XB,2004,0.04,0.01,0,0,0.06
13523,Disney's Meet the Robinsons,GC,2007,0.03,0.01,0,0,0.04
14830,Disney Planes Fire & Rescue,WiiU,2014,0.01,0.01,0,0,0.03
14887,LEGO Pirates of the Caribbean: The Video Game,PC,2011,0.02,0,0,0,0.03
15107,Brave: The Video Game,Wii,2012,0,0.02,0,0,0.02
15215,Disney's Meet the Robinsons,DS,2007,0.02,0,0,0,0.02
15251,Brave: The Video Game,DS,2012,0,0.02,0,0,0.02
