Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
179,Tomb Raider II,PS,1997,2.3,2.46,0.2,0.28,5.24
230,Tomb Raider,PS,1996,2.29,1.97,0.13,0.24,4.63
263,Batman: Arkham Asylum,PS3,2009,2.23,1.34,0.07,0.61,4.25
333,Resident Evil 3: Nemesis,PS,1999,1.3,0.77,1.54,0.11,3.72
363,Tomb Raider III: Adventures of Lara Croft,PS,1997,1.66,1.58,0.12,0.18,3.54
365,LEGO Star Wars: The Video Game,PS2,2005,1.98,1.14,0.01,0.41,3.53
376,Batman: Arkham Asylum,X360,2009,2.2,0.97,0.02,0.31,3.5
483,Hitman 2: Silent Assassin,PS2,2002,1.36,1.15,0.04,0.41,2.96
623,Tomb Raider: The Last Revelation,PS,1998,1.15,1.14,0.06,0.13,2.48
696,Tomb Raider II,PC,1997,0.91,1.25,0,0.13,2.29
1371,LEGO Star Wars: The Video Game,GC,2005,1.09,0.28,0,0.04,1.41
1552,Tomb Raider: Underworld,PS3,2008,0.45,0.56,0.05,0.22,1.27
1596,Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,0.61,0.48,0,0.16,1.25
1699,Hitman 2: Silent Assassin,XB,N/A,0.76,0.38,0,0.05,1.19
1760,LEGO Star Wars: The Video Game,XB,2005,0.83,0.28,0,0.05,1.16
1766,Ninja Gaiden Sigma,PS3,2007,0.57,0.33,0.09,0.16,1.15
1795,Resident Evil - Code: Veronica,DC,2000,0.41,0.23,0.47,0.03,1.14
1798,LEGO Star Wars: The Video Game,GBA,2005,0.82,0.3,0,0.02,1.14
1908,Tomb Raider: Underworld,X360,2008,0.53,0.43,0.01,0.11,1.08
1992,Legacy of Kain: Soul Reaver,PS,N/A,0.58,0.4,0,0.07,1.04
2024,Tomb Raider,PC,1996,0.96,0.07,0,0,1.03
2412,Tomb Raider: Anniversary,Wii,2007,0.12,0.63,0,0.11,0.86
2855,Fear Effect,PS,1998,0.4,0.27,0,0.05,0.72
2867,Resident Evil: Survivor,PS,2000,0.23,0.15,0.29,0.05,0.71
3279,Tomb Raider III: Adventures of Lara Croft,PC,1998,0.59,0.03,0,0,0.62
3321,Tomb Raider Chronicles,PS,1999,0.34,0.23,0,0.04,0.61
3524,Tomb Raider: Anniversary,PSP,2007,0.21,0.23,0,0.13,0.57
3634,Soul Reaver 2,PS2,2001,0.27,0.21,0,0.07,0.55
3648,Fighting Force 2,PS,1999,0.31,0.21,0,0.04,0.55
3767,Legacy of Kain: Defiance,PS2,2003,0.26,0.2,0,0.07,0.53
3858,Tomb Raider: Legend,PS2,2006,0.25,0.19,0.02,0.06,0.52
3879,Way of the Samurai,PS2,2002,0.13,0.1,0.25,0.03,0.51
3966,Hitman: Blood Money,PS2,2006,0.25,0.19,0,0.06,0.5
4010,Tomb Raider: Anniversary,PS2,2007,0.41,0.02,0,0.07,0.5
4135,Tomb Raider: Underworld,Wii,2008,0.14,0.28,0,0.06,0.48
4284,Tomb Raider: Legend,PSP,2006,0.09,0.24,0,0.12,0.46
4686,Tomb Raider: The Last Revelation,PC,1998,0.41,0,0,0,0.41
4855,Tomb Raider: Anniversary,X360,2007,0.12,0.23,0,0.05,0.4
4875,Hitman: Blood Money,X360,2006,0.29,0.06,0.01,0.03,0.4
4942,Blood Omen 2,PS2,2002,0.19,0.15,0,0.05,0.39
4972,Tomb Raider: Legend,X360,2006,0.27,0.08,0.01,0.03,0.39
5019,Ninja: Shadow of Darkness,PS,1998,0.21,0.14,0,0.02,0.38
5105,Mini Ninjas,Wii,2009,0.17,0.17,0,0.04,0.37
5282,Mini Ninjas,PS3,2009,0.14,0.16,0,0.06,0.35
5292,Mini Ninjas,DS,2009,0.17,0.15,0,0.04,0.35
5459,Deathtrap Dungeon,PS,1998,0.19,0.13,0,0.02,0.33
5608,Batman: Arkham Asylum,PC,2009,0,0.27,0,0.05,0.32
5964,Mini Ninjas,X360,2009,0.12,0.14,0,0.03,0.29
7432,Deus Ex: The Conspiracy,PS2,2002,0.1,0.08,0,0.03,0.21
7450,Project: Snowblind,PS2,2005,0.1,0.08,0,0.03,0.21
7632,Tomb Raider: Underworld,DS,2008,0.16,0.03,0,0.02,0.2
7813,Legacy of Kain: Defiance,XB,2003,0.14,0.04,0,0.01,0.19
7973,Blood Omen 2,XB,2002,0.14,0.04,0,0.01,0.19
8048,Fear Effect 2: Retro Helix,PS,2001,0.1,0.07,0,0.01,0.18
8163,Tomb Raider: Underworld,PS2,2009,0.09,0.04,0,0.05,0.18
8325,Thief: Deadly Shadows,XB,2004,0.13,0.04,0,0.01,0.17
8699,The Incredible Hulk: The Pantheon Saga,PS,1996,0.09,0.06,0,0.01,0.16
9047,Just Cause,X360,2006,0.1,0.03,0.01,0.01,0.14
9096,Hitman: Blood Money,XB,2006,0.11,0.03,0,0.01,0.14
9421,Tomb Raider: Legend,XB,2006,0.1,0.03,0,0,0.13
9503,Hitman 2: Silent Assassin,GC,2003,0.1,0.03,0,0,0.13
10187,Project: Snowblind,XB,2005,0.08,0.02,0,0,0.11
10321,Hitman Trilogy,PS2,2007,0.05,0.04,0,0.01,0.11
10520,America's Next Top Model,DS,2008,0.1,0,0,0.01,0.1
10549,Urban Chaos,PS,1999,0.06,0.04,0,0.01,0.1
11011,Project Eden,PS2,2001,0.04,0.03,0,0.01,0.09
11158,Jumper: Griffin's Story,Wii,2008,0.08,0,0,0.01,0.09
11485,Tomb Raider: Underworld,PC,2008,0,0.06,0,0.02,0.08
11555,Tomb Raider: Legend,GC,2006,0.06,0.02,0,0,0.08
11809,Tomb Raider: Legend,DS,2006,0.04,0.02,0,0.01,0.07
11926,Jumper: Griffin's Story,PS2,2008,0.03,0.03,0,0.01,0.07
12267,Escape from Bug Island,Wii,2006,0.04,0.01,0.01,0,0.06
12605,Jumper: Griffin's Story,X360,2008,0.05,0,0,0,0.06
12870,Blood Omen 2,GC,2002,0.04,0.01,0,0,0.05
14041,Tomb Raider: Anniversary,PC,2007,0,0.03,0,0.01,0.04
14084,Hitman: Blood Money,PC,2006,0,0.03,0,0.01,0.04
14835,Justice League Heroes: The Flash,GBA,2006,0.02,0.01,0,0,0.03
15444,Mini Ninjas,PC,2009,0,0.02,0,0,0.02
15629,Tomb Raider: Legend,PC,2006,0,0.01,0,0,0.02
15751,Just Cause,PC,2006,0,0.01,0,0,0.02
15790,LEGO Star Wars: The Video Game,PC,2005,0,0.01,0,0,0.02
15953,Just Cause,PS2,2006,0.01,0.01,0,0,0.02
16359,The Amazing Spider-Man (DS & Mobile Versions),PSP,2009,0,0.01,0,0,0.01
16450,Legacy of Kain: Defiance,PC,2003,0,0.01,0,0,0.01
