Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
83,FIFA Soccer 13,PS3,2012,1.06,5.05,0.13,2.01,8.24
186,FIFA Soccer 13,X360,2012,1.08,3.48,0.03,0.58,5.18
228,The Lord of the Rings: The Two Towers,PS2,2002,1.94,1.95,0.08,0.7,4.67
331,Harry Potter and the Sorcerer's Stone,PS,2001,1.37,2,0.14,0.22,3.73
409,The Lord of the Rings: The Return of the King,PS2,2003,1.5,1.28,0.05,0.46,3.28
587,Harry Potter and the Chamber of Secrets,PS2,2002,0.9,1.22,0.04,0.44,2.61
837,Need for Speed: The Run,PS3,2011,0.58,1.06,0.03,0.37,2.04
842,Dead Space,PS3,2008,1.05,0.67,0,0.3,2.02
855,Harry Potter and the Chamber of Secrets,GBA,2002,1.21,0.64,0.05,0.09,1.99
856,Harry Potter and the Chamber of Secrets,PS,2002,0.75,1.09,0.02,0.12,1.98
1030,Harry Potter and the Sorcerer's Stone,GB,2001,0.94,0.62,0.1,0.07,1.73
1068,Harry Potter and the Sorcerer's Stone,GBA,2001,0.87,0.66,0.08,0.08,1.69
1202,007: The World is not Enough,N64,2000,1.13,0.38,0.02,0.03,1.55
1222,The Simpsons Game,DS,2007,0.57,0.79,0,0.17,1.53
1251,The Simpsons Game,PS2,2007,0.35,0.03,0,1.13,1.51
1313,Medal of Honor: Warfighter,PS3,2012,0.47,0.65,0.06,0.28,1.46
1364,Dead Space,X360,2008,0.89,0.4,0,0.13,1.42
1413,Need for Speed: The Run,X360,2011,0.63,0.58,0,0.15,1.38
1447,Samurai Warriors,PS2,2004,0.22,0.05,1.06,0.02,1.35
1452,Crysis 2,X360,2011,0.7,0.5,0.02,0.12,1.35
1517,Crysis 2,PS3,2011,0.45,0.57,0.06,0.21,1.3
1727,Medal of Honor: Warfighter,X360,2012,0.58,0.47,0.01,0.1,1.17
1797,The Lord of the Rings: The Return of the King,XB,2003,0.71,0.38,0,0.05,1.14
1818,Dragon Age II,X360,2011,0.72,0.3,0.01,0.09,1.12
1874,The Simpsons Game,PSP,2007,0.24,0.55,0,0.31,1.09
1885,The Godfather,PS2,2006,0.89,0.03,0.01,0.15,1.09
1889,Dante's Inferno,PS3,2010,0.64,0.28,0.04,0.13,1.09
1903,NCAA Football 13,X360,2012,1.02,0,0,0.06,1.08
1989,The Simpsons Game,X360,2007,0.54,0.4,0,0.11,1.05
2023,The Simpsons Game,Wii,2007,0.45,0.47,0,0.11,1.03
2037,The Lost World: Jurassic Park,PS,1997,0.57,0.39,0,0.07,1.02
2041,Harry Potter and the Prisoner of Azkaban,PS2,2004,0.5,0.39,0,0.13,1.02
2077,Dead Space 3,PS3,2013,0.44,0.38,0,0.17,1
2083,Dead Space 3,X360,2013,0.64,0.28,0,0.08,0.99
2127,Brutal Legend,X360,2009,0.62,0.27,0,0.09,0.98
2187,Brutal Legend,PS3,2009,0.54,0.28,0,0.13,0.95
2249,007: The World is not Enough,PS,2000,0.51,0.35,0,0.06,0.92
2256,Dante's Inferno,X360,2010,0.63,0.2,0.02,0.07,0.92
2295,The Simpsons Game,PS3,2007,0.38,0.37,0,0.15,0.91
2389,NCAA Football 13,PS3,2012,0.82,0,0,0.06,0.87
2442,Harry Potter and the Order of the Phoenix,DS,2007,0.28,0.47,0,0.1,0.85
2465,Dragon Age II,PS3,2011,0.4,0.27,0.05,0.12,0.84
2596,The Godfather II,X360,2009,0.47,0.24,0.01,0.08,0.79
2659,Harry Potter and the Half-Blood Prince,Wii,2009,0.28,0.4,0,0.09,0.77
2705,The Lord of the Rings: Conquest,PS3,2009,0.38,0.26,0,0.12,0.76
2739,The Godfather II,PS3,2009,0.41,0.22,0.01,0.11,0.75
2781,Crysis 2,PC,2011,0.16,0.45,0,0.13,0.74
2782,The Lord of the Rings: The Two Towers,GBA,2002,0.53,0.2,0,0.01,0.74
2830,FIFA Soccer 13,Wii,2012,0.19,0.46,0,0.08,0.72
2859,The Lord of the Rings: The Two Towers,XB,2002,0.45,0.24,0,0.03,0.71
2964,Harry Potter and the Chamber of Secrets,GC,2002,0.53,0.14,0,0.02,0.69
2966,The Lord of the Rings: The Return of the King,GC,2003,0.53,0.14,0,0.02,0.69
3122,Harry Potter and the Goblet of Fire,PS2,2005,0.54,0.02,0,0.09,0.65
3136,Harry Potter and the Half-Blood Prince,PS2,2009,0.13,0.07,0,0.44,0.64
3156,Dragon Age II,PC,2011,0.23,0.33,0,0.09,0.64
3162,The Lord of the Rings: Conquest,X360,2009,0.37,0.21,0,0.06,0.64
3204,Harry Potter and the Half-Blood Prince,DS,2009,0.21,0.35,0,0.07,0.63
3322,Harry Potter and the Goblet of Fire,GBA,2005,0.44,0.16,0,0.01,0.61
3384,Dead Space,PC,2008,0,0.53,0,0.06,0.59
3568,The Lord of the Rings: The Return of the King,GBA,2003,0.4,0.15,0,0.01,0.56
3602,Batman Begins,PS2,2005,0.27,0.21,0,0.07,0.56
3637,The Godfather (old US sales),XB,2006,0.42,0.11,0,0.02,0.55
3639,Harry Potter and the Deathly Hallows - Part 1,Wii,2010,0.22,0.28,0,0.05,0.55
3810,The Lord of the Rings: The Two Towers,GC,2002,0.41,0.11,0,0.01,0.53
3870,Harry Potter and the Prisoner of Azkaban,GBA,2004,0.37,0.14,0,0.01,0.52
3893,The Saboteur,X360,2009,0.26,0.21,0,0.05,0.51
3928,Harry Potter and the Half-Blood Prince,PSP,2009,0.18,0.21,0,0.12,0.51
3935,Rory McIlroy PGA Tour,PS4,2015,0.18,0.24,0,0.08,0.51
3992,The Saboteur,PS3,2009,0.2,0.22,0,0.08,0.5
4080,Harry Potter and the Order of the Phoenix,Wii,2007,0.38,0.06,0,0.04,0.49
4120,FIFA Soccer 13,WiiU,2012,0.18,0.26,0,0.04,0.48
4158,The Godfather (JP sales),PS2,2006,0.39,0.02,0,0.06,0.47
4180,FIFA Soccer 13,PSV,2012,0,0.3,0.05,0.12,0.47
4302,Harry Potter and the Deathly Hallows - Part 1,X360,2010,0.21,0.2,0,0.04,0.46
4429,Spawn: Armageddon,PS2,2003,0.22,0.17,0,0.06,0.44
4430,The Godfather (US sales),XB,2006,0.33,0.1,0,0.02,0.44
4514,Bionicle,PS2,2003,0.21,0.17,0,0.06,0.43
4546,Def Jam Icon,PS3,2007,0.16,0.19,0,0.08,0.43
4598,Harry Potter and the Deathly Hallows - Part 1,DS,2010,0.2,0.19,0,0.04,0.42
4640,Harry Potter and the Goblet of Fire,GC,2005,0.32,0.08,0,0.01,0.42
4661,Harry Potter and the Deathly Hallows - Part 1,PS3,2010,0.13,0.21,0,0.08,0.42
4702,Mass Effect Trilogy,X360,2012,0.28,0.1,0,0.03,0.41
4717,Mass Effect Trilogy,PS3,2012,0.37,0,0,0.04,0.41
4774,From Russia With Love,PS2,2005,0.34,0.01,0,0.06,0.41
4775,FIFA Soccer 13,PC,2012,0.02,0.31,0,0.07,0.41
5081,Harry Potter and the Prisoner of Azkaban,GC,2004,0.29,0.08,0,0.01,0.38
5131,FIFA Soccer 13,PSP,2012,0.05,0.19,0.02,0.1,0.37
5133,Harry Potter and the Order of the Phoenix,PSP,2007,0.1,0.17,0,0.1,0.37
5153,Need for Speed: The Run,PC,2011,0.09,0.21,0,0.07,0.37
5250,Harry Potter and the Chamber of Secrets,XB,2002,0.27,0.08,0,0.01,0.36
5258,G-Force,PSP,2009,0.24,0.07,0,0.05,0.36
5309,Harry Potter and the Deathly Hallows - Part 2,Wii,2011,0.18,0.14,0,0.03,0.35
5338,Def Jam Icon,X360,2007,0.3,0.01,0,0.03,0.35
5375,Harry Potter and the Deathly Hallows - Part 2,X360,2011,0.19,0.12,0,0.03,0.34
5398,Harry Potter and the Half-Blood Prince,PS3,2009,0.15,0.13,0,0.06,0.34
5405,Harry Potter and the Deathly Hallows - Part 2,PS3,2011,0.14,0.15,0,0.05,0.34
5434,Fade to Black,PS,1996,0.19,0.13,0,0.02,0.34
5487,Medal of Honor: Warfighter,PC,2012,0.14,0.15,0,0.04,0.33
5546,MySims SkyHeroes,DS,2010,0.22,0.08,0,0.03,0.33
5613,OverBlood,PS,1996,0.05,0.04,0.21,0.02,0.32
5654,Harry Potter and the Half-Blood Prince,X360,2009,0.17,0.12,0,0.03,0.32
5767,MySims SkyHeroes,Wii,2010,0.18,0.1,0,0.03,0.31
5892,Harry Potter and the Order of the Phoenix,X360,2007,0.24,0.04,0,0.02,0.3
5972,The Godfather: Dons Edition,PS3,2007,0.25,0.02,0,0.03,0.29
6006,Need for Speed: The Run,Wii,2011,0.13,0.13,0.01,0.03,0.29
6022,FIFA Soccer 13,3DS,2012,0.06,0.2,0,0.03,0.29
6154,Harry Potter and the Sorcerer's Stone,PS2,2003,0.14,0.11,0,0.04,0.28
6196,Shadows of the Damned,PS3,2011,0.11,0.09,0.04,0.04,0.28
6237,Mass Effect Trilogy,PC,2012,0.09,0.16,0,0.03,0.28
6353,Harry Potter and the Order of the Phoenix,PS2,2007,0.13,0.1,0,0.03,0.27
6421,Superman Returns,X360,2006,0.23,0.02,0,0.02,0.27
6428,Rory McIlroy PGA Tour,XOne,2015,0.15,0.09,0,0.02,0.27
6453,Create,Wii,2010,0.22,0.03,0,0.02,0.26
6612,NHL 08,PS3,2007,0.16,0.06,0,0.03,0.25
6660,NHL 08,X360,2007,0.22,0.01,0,0.02,0.25
6744,Harry Potter and the Order of the Phoenix,PS3,2007,0.18,0.04,0,0.03,0.25
6825,Harry Potter and the Goblet of Fire,DS,2005,0.21,0.02,0,0.02,0.24
