Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
11523,Doraemon: Nobita and the Island of Miracles,3DS,2012,0,0,0.08,0,0.08
12024,Doraemon: Nobita to Himitsu Dougu Hakubutsukan,3DS,2013,0,0,0.07,0,0.07
12166,Future Card Buddy Fight: Yuujou no Bakunetsu Fight,3DS,2015,0,0,0.07,0,0.07
12599,Doraemon: Nobita no Uchuu Eiyuuki,3DS,2015,0,0,0.06,0,0.06
12918,New Prince of Tennis: Go to the Top,3DS,2015,0,0,0.05,0,0.05
13393,To Love-Ru Trouble Darkness: Battle Ecstasy,PSV,2014,0,0,0.05,0,0.05
13600,Doraemon: Shin Nobita no Daimakyou Peko to 5-nin no Tankenta,3DS,2014,0,0,0.04,0,0.04
13840,Yuki Yuna is a Hero: Memory of the Forest,PSV,2015,0,0,0.04,0,0.04
14979,Bunmei Haruka: Aoiza Ibunroku,PSP,2011,0,0,0.02,0,0.02
15127,To Love-Ru Trouble: Darkness - True Princess,PSV,2015,0,0,0.02,0,0.02
16217,Bunmei Kaika: Aoiza Ibunroku Saien,PSP,2012,0,0,0.01,0,0.01
