Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
139,Driver,PS,1999,3.11,2.8,0.02,0.33,6.27
2443,Rampage World Tour,PS,1997,0.47,0.32,0,0.06,0.85
4366,Rampage World Tour,N64,1998,0.36,0.08,0,0.01,0.45
6692,Gex 64: Enter the Gecko,N64,1998,0.2,0.05,0,0,0.25
7077,Critical Depth,PS,1997,0.13,0.09,0,0.01,0.23
7097,Rampage 2: Universal Tour,PS,1998,0.13,0.09,0,0.01,0.23
7228,Rampage 2: Universal Tour,N64,1999,0.18,0.04,0,0,0.22
9157,Bio FREAKS,N64,1998,0.11,0.03,0,0,0.14
9340,Bio FREAKS,PS,1998,0.07,0.05,0,0.01,0.13
10223,Chopper Attack,N64,1997,0.09,0.02,0,0,0.11
