Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
12744,Hakuouki: Yuugi Roku Ni - Matsuri Hayashi to Taishitachi,PSP,2012,0,0,0.06,0,0.06
13398,Hakuouki: Bakumatsu Musou Roku,PSP,2012,0,0,0.05,0,0.05
13727,Hanaoni: Yume no Tsudzuki,PSP,2012,0,0,0.04,0,0.04
13976,Toki no Kizuna: Sekigahara Kitan,PSP,2012,0,0,0.04,0,0.04
14177,Diabolik Lovers: Dark Fate,PSV,2015,0,0,0.03,0,0.03
14385,Hakuoki Zuisouroku Omokage Hana,PSV,2015,0,0,0.03,0,0.03
14441,Bad Apple Wars,PSV,2015,0,0,0.03,0,0.03
14444,Jyuzaengi: Engetsu Sangokuden,PSP,2012,0,0,0.03,0,0.03
14773,Brothers Conflict: Passion Pink,PSP,2012,0,0,0.03,0,0.03
14951,Juusanshi Engi Engetsu Sangokuden 2,PSP,2014,0,0,0.02,0,0.02
14988,Diabolik Lovers: Vandead Carnival,PSV,2014,0,0,0.02,0,0.02
15219,Genroh,PSP,2012,0,0,0.02,0,0.02
15355,Hakuoki: Shinkai - Furi no Shou,PSV,2015,0,0,0.02,0,0.02
15515,Soukoku no Kusabi: Hiiro no Kakera 3 - Ashita e no Tobira,PSP,2012,0,0,0.02,0,0.02
15637,Kimikare: New Semester,PSP,2012,0,0,0.02,0,0.02
15735,Elkrone no Atelier: Dear for Otomate,PSP,2012,0,0,0.02,0,0.02
15757,L.G.S: Shinsetsu Houshinengi,PSP,2012,0,0,0.02,0,0.02
15772,Clock Zero: Shuuen no Ichibyou - ExTime,PSV,2015,0,0,0.02,0,0.02
15783,Reine des Fleurs,PSV,2015,0,0,0.02,0,0.02
15849,Psychedelica of the Black Butterfly,PSV,2015,0,0,0.02,0,0.02
16099,Miyako: Awayuki no Utage,PSP,2012,0,0,0.01,0,0.01
16136,Collar x Malice,PSV,2016,0,0,0.01,0,0.01
16142,Norn + Nonette: Last Era,PSV,2015,0,0,0.01,0,0.01
16205,Hakuoki: Reimeiroku DS,DS,2012,0,0,0.01,0,0.01
16322,Period Cube: Torikago no Amadeus,PSV,2016,0,0,0.01,0,0.01
16441,Brothers Conflict: Precious Baby,PSV,2017,0,0,0.01,0,0.01
16480,"Shinobi, Koi Utsutsu: Setsugetsuka Koi Emaki",PSV,2015,0,0,0.01,0,0.01
16551,Hakuoki: Reimeiroku - Omouhase Kara,PSV,2015,0,0,0.01,0,0.01
