Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
10435,Adventure Time: Finn & Jake Investigations,PS3,2015,0.02,0.07,0,0.02,0.1
10884,Adventure Time: Finn & Jake Investigations,X360,2015,0.02,0.06,0,0.01,0.09
11185,Adventure Time: Finn & Jake Investigations,PS4,2015,0.03,0.04,0,0.01,0.09
11205,Adventure Time: The Secret of the Nameless Kingdom,X360,2014,0,0.08,0,0.01,0.09
11432,Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,0,0.07,0,0,0.08
11780,Adventure Time: Finn & Jake Investigations,3DS,2015,0.02,0.05,0,0.01,0.07
12107,Monster High: New Ghoul in School,PS3,2015,0,0.06,0,0.01,0.07
12885,Adventure Time: Finn & Jake Investigations,WiiU,2015,0.03,0.02,0,0,0.05
13126,Adventure Time: Finn & Jake Investigations,XOne,2015,0.02,0.02,0,0,0.05
13881,Monster High: New Ghoul in School,X360,2015,0,0.04,0,0,0.04
13956,Monster High: New Ghoul in School,3DS,2015,0,0.03,0,0,0.04
14322,Monster High: New Ghoul in School,Wii,2015,0,0.03,0,0,0.03
14548,Kung Fu Panda: Showdown of Legendary Legends,X360,2015,0,0.03,0,0,0.03
14821,Monster High 13 Wishes,WiiU,2013,0.02,0,0,0,0.03
15174,Kung Fu Panda: Showdown of Legendary Legends,PS3,2015,0,0.02,0,0,0.02
15339,Kung Fu Panda: Showdown of Legendary Legends,3DS,2015,0,0.02,0,0,0.02
15703,Monster High 13 Wishes,3DS,2013,0,0.02,0,0,0.02
