Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
151,LEGO Star Wars: The Complete Saga,Wii,2007,3.66,1.63,0,0.53,5.83
213,LEGO Star Wars: The Complete Saga,DS,2007,2.89,1.54,0,0.46,4.9
407,Star Wars Episode III: Revenge of the Sith,PS2,2005,1.47,1.39,0.03,0.43,3.32
526,Star Wars: The Force Unleashed,X360,2008,1.74,0.8,0,0.26,2.8
557,LEGO Star Wars II: The Original Trilogy,PS2,2006,1.85,0.64,0.01,0.19,2.69
576,LEGO Star Wars: The Complete Saga,X360,2007,1.53,0.87,0,0.24,2.64
653,LEGO Indiana Jones: The Original Adventures,Wii,N/A,1.54,0.63,0,0.22,2.39
659,LEGO Star Wars: The Complete Saga,PS3,2007,1.02,0.97,0,0.39,2.38
704,Star Wars: The Force Unleashed,PS3,2008,1.01,0.9,0,0.37,2.28
905,Star Wars: The Force Unleashed,Wii,2008,1.14,0.57,0,0.19,1.91
908,LEGO Star Wars III: The Clone Wars,Wii,2011,1.08,0.66,0,0.17,1.91
1081,Star Wars The Clone Wars: Lightsaber Duels,Wii,2008,1.23,0.3,0,0.14,1.68
1205,Star Wars: The Force Unleashed II,PS3,2010,0.8,0.53,0,0.22,1.55
1245,LEGO Star Wars III: The Clone Wars,X360,2011,0.84,0.54,0,0.13,1.51
1295,Star Wars: The Force Unleashed II,X360,2010,0.95,0.4,0,0.12,1.47
1368,LEGO Star Wars II: The Original Trilogy,PSP,2006,0.58,0.51,0,0.32,1.41
1414,LEGO Indiana Jones: The Original Adventures,PS2,2008,0.6,0.01,0,0.76,1.37
1586,Star Wars: The Force Unleashed,PS2,2008,0.49,0,0.01,0.75,1.25
1661,Star Wars Episode 1: Jedi Power Battles,PS,1999,0.66,0.48,0.01,0.06,1.21
1669,LEGO Star Wars III: The Clone Wars,PS3,2011,0.52,0.49,0,0.2,1.2
1709,LEGO Indiana Jones: The Original Adventures,PSP,2008,0.4,0.49,0,0.29,1.18
1750,LEGO Star Wars III: The Clone Wars,DS,2011,0.66,0.39,0,0.11,1.16
1805,LEGO Star Wars III: The Clone Wars,3DS,2011,0.61,0.43,0,0.09,1.13
1872,Star Wars: The Force Unleashed,PSP,2008,0.43,0.41,0,0.25,1.09
1882,LEGO Star Wars II: The Original Trilogy,DS,2006,0.96,0.04,0,0.08,1.09
2146,LEGO Star Wars II: The Original Trilogy,GC,2006,0.75,0.19,0,0.03,0.97
2312,Star Wars: The Force Unleashed,DS,2008,0.51,0.29,0,0.09,0.9
2511,Star Wars The Clone Wars: Republic Heroes,Wii,2009,0.44,0.3,0,0.08,0.82
2590,Star Wars: The Force Unleashed II,Wii,2010,0.54,0.19,0,0.06,0.8
2610,Star Wars The Clone Wars: Jedi Alliance,DS,2008,0.62,0.11,0,0.07,0.79
2694,Mercenaries: Playground of Destruction,PS2,2005,0.64,0.02,0,0.1,0.76
2977,Star Wars: Masters of Teras Kasi,PS,1997,0.38,0.26,0,0.04,0.68
2991,Mercenaries: Playground of Destruction,XB,2005,0.54,0.11,0,0.03,0.68
3157,LEGO Star Wars II: The Original Trilogy,X360,2006,0.55,0.04,0,0.05,0.64
4274,Star Wars The Clone Wars: Republic Heroes,PS3,2009,0.19,0.19,0,0.07,0.46
4445,LEGO Star Wars II: The Original Trilogy,XB,2006,0.33,0.1,0,0.02,0.44
4657,Star Wars The Clone Wars: Republic Heroes,PSP,2009,0.21,0.13,0,0.08,0.42
4728,Star Wars The Clone Wars: Republic Heroes,DS,2009,0.23,0.14,0,0.04,0.41
4839,Star Wars The Clone Wars: Republic Heroes,X360,2009,0.18,0.17,0,0.04,0.4
4901,LEGO Star Wars III: The Clone Wars,PSP,2011,0.14,0.17,0,0.09,0.39
6598,LEGO Star Wars III: The Clone Wars,PC,2011,0.1,0.13,0,0.03,0.26
6621,Star Wars The Clone Wars: Republic Heroes,PS2,2009,0.17,0.01,0,0.08,0.25
6975,Star Wars: The Force Unleashed II,DS,2010,0.18,0.04,0,0.02,0.23
8012,Indiana Jones and the Emperor's Tomb,XB,2003,0.14,0.04,0,0.01,0.18
11201,LEGO Star Wars II: The Original Trilogy,GBA,2006,0.06,0.02,0,0,0.09
13597,LEGO Indiana Jones: The Original Adventures,PC,2008,0.02,0.02,0,0.01,0.04
14532,Star Wars: The Force Unleashed II,PC,2010,0.03,0,0,0,0.03
14755,Star Wars The Clone Wars: Republic Heroes,PC,2009,0,0.02,0,0,0.03
