Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7126,Senran Kagura: Estival Versus,PSV,2015,0.06,0.05,0.09,0.03,0.23
8450,Senran Kagura: Estival Versus,PS4,2015,0.07,0,0.08,0.02,0.17
8706,Senran Kagura: Sh?jo-tachi no Shinei,3DS,2011,0,0,0.16,0,0.16
11106,No More Heroes: Red Zone,PS3,2011,0,0,0.09,0,0.09
12288,Ikki Tousen: Xross Impact,PSP,2010,0,0,0.06,0,0.06
14952,No More Heroes: Heroes' Paradise,X360,2010,0,0,0.02,0,0.02
15539,Katekyoo Hitman Reborn!! Let's Ansatsu!? Nerawareta 10 Daime!,PS2,2007,0,0,0.02,0,0.02
15638,Katekyoo Hitman Reborn! Kindan no Yami no Delta,PS2,2008,0,0,0.02,0,0.02
15826,Busou Renkin: Youkoso Papillon Park e,PS2,2007,0,0,0.02,0,0.02
16461,Katekyoo Hitman Reborn! Kindan no Yami no Delta,Wii,2008,0,0,0.01,0,0.01
