Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
789,Project Gotham Racing (JP weekly sales),XB,2002,1.54,0.44,0.04,0.07,2.1
972,Kinect Star Wars,X360,2012,1.05,0.57,0.03,0.14,1.78
1210,Dead Rising 3,XOne,2013,1.06,0.35,0.01,0.12,1.54
1433,Ryse: Son of Rome,XOne,2013,0.82,0.42,0,0.11,1.36
1444,Alan Wake,X360,2010,0.66,0.51,0.05,0.13,1.35
1615,Ninja Gaiden,XB,2004,0.92,0.2,0.07,0.04,1.23
3929,Quantum Break,XOne,2016,0.27,0.19,0.01,0.04,0.51
5367,Tenchu Z,X360,2006,0.27,0.02,0.02,0.03,0.34
5386,Kameo: Elements of Power,X360,2005,0.28,0.03,0,0.03,0.34
5443,Ninja Blade,X360,2009,0.14,0.14,0.02,0.03,0.33
5899,N3: Ninety-Nine Nights,X360,2006,0.2,0.03,0.05,0.02,0.3
6849,Azurik: Rise of Perathia,XB,2001,0.18,0.05,0,0.01,0.24
7430,Vampire Rain,X360,2007,0.18,0,0.01,0.01,0.21
8302,N3 II: Ninety-Nine Nights,X360,2010,0.06,0.07,0.04,0.01,0.17
8996,Grabbed by the Ghoulies,XB,2003,0.11,0.03,0,0.01,0.14
9500,NightCaster,XB,2002,0.1,0.03,0,0,0.13
10052,Phantom Dust,XB,2004,0.08,0.02,0,0,0.11
10816,ReCore,XOne,2016,0.06,0.03,0,0.01,0.1
10917,Ninja Gaiden Black,XB,2005,0.07,0.02,0,0,0.09
13265,Fatal Frame II: Crimson Butterfly Director's Cut,XB,2004,0.04,0.01,0,0,0.05
14250,Project Gotham Racing 2 (JP weekly sales),XB,2003,0,0,0.03,0,0.03
