Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1765,Gauntlet: Dark Legacy,PS2,2001,0.56,0.44,0,0.15,1.15
2953,Mortal Kombat: Shaolin Monks,PS2,2005,0.58,0.02,0,0.09,0.69
3719,Gauntlet Legends,N64,1999,0.43,0.1,0,0.01,0.54
4163,Gauntlet Legends,PS,2000,0.26,0.18,0,0.03,0.47
4671,The Suffering,PS2,2004,0.2,0.16,0,0.05,0.42
4845,Rampage: Total Destruction,GC,2006,0.31,0.08,0,0.01,0.4
5114,Rampage: Total Destruction,PS2,2006,0.18,0.14,0,0.05,0.37
5736,Mortal Kombat: Shaolin Monks,XB,2005,0.23,0.07,0,0.01,0.31
5737,Happy Feet,DS,2006,0.27,0.01,0,0.02,0.31
6636,Happy Feet,GC,2006,0.2,0.05,0,0.01,0.25
6869,Paperboy,N64,1999,0.19,0.05,0,0,0.24
7136,Legion: The Legend of Excalibur,PS2,2002,0.11,0.09,0,0.03,0.22
7191,Rampage: Total Destruction,Wii,2006,0.19,0.01,0,0.02,0.22
7221,The Suffering,XB,2004,0.16,0.05,0,0.01,0.22
8104,Gauntlet: Dark Legacy,GC,2002,0.14,0.04,0,0,0.18
8149,Fireblade,PS2,2002,0.09,0.07,0,0.02,0.18
8209,The Suffering: Ties That Bind,PS2,2005,0.09,0.07,0,0.02,0.17
8248,The Grim Adventures of Billy & Mandy,GC,2006,0.13,0.03,0,0,0.17
8304,RoadKill,PS2,2003,0.08,0.07,0,0.02,0.17
8415,Gauntlet: Dark Legacy,XB,2002,0.13,0.04,0,0.01,0.17
9257,Happy Feet,Wii,2006,0.12,0,0,0.01,0.14
11136,The Suffering: Ties That Bind,XB,2005,0.07,0.02,0,0,0.09
11550,Fireblade,XB,2002,0.06,0.02,0,0,0.08
11557,RoadKill,XB,2003,0.06,0.02,0,0,0.08
13196,The Grim Adventures of Billy & Mandy,Wii,2006,0.04,0,0,0,0.05
14363,RoadKill,GC,2003,0.02,0.01,0,0,0.03
14662,Fireblade,GC,2002,0.02,0.01,0,0,0.03
