Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1242,Pac-Man World 2,PS2,2002,1.26,0.05,0,0.21,1.51
1267,Pac-Man World,PS,1998,1.21,0.14,0.1,0.04,1.5
1608,Ridge Racer V,PS2,2000,0.24,0.19,0.75,0.06,1.24
1685,One Piece: Pirate Warriors,PS3,2012,0.01,0.24,0.86,0.09,1.2
2170,The Witcher 2: Assassins of Kings,PC,2011,0.25,0.56,0,0.15,0.96
2207,The Witcher 2: Assassins of Kings,X360,2012,0.48,0.36,0.02,0.08,0.94
2764,Ace Combat: Assault Horizon,PS3,2011,0.3,0.16,0.22,0.07,0.74
2962,One Piece: Pirate Warriors 2,PS3,2013,0,0.2,0.42,0.07,0.69
3086,Gods Eater Burst,PSP,2010,0.03,0,0.62,0,0.66
3494,Naruto: Uzumaki Chronicles 2,PS2,2006,0.28,0.22,0,0.07,0.58
3520,Enslaved: Odyssey to the West,PS3,2010,0.24,0.24,0.01,0.09,0.57
3675,Enslaved: Odyssey to the West,X360,2010,0.3,0.19,0,0.05,0.55
4005,Dynasty Warriors: Gundam 2,PS3,2008,0.09,0.07,0.32,0.03,0.5
4021,Ace Combat: Assault Horizon,X360,2011,0.3,0.12,0.03,0.04,0.49
4068,Pac-Man World 2,XB,2002,0.36,0.11,0,0.02,0.49
4363,One Piece: Pirate Warriors 3,PS4,2015,0.08,0.22,0.1,0.05,0.45
4381,Mobile Suit Gundam,PS,1995,0,0,0.42,0.03,0.45
4485,Mobile Suit Gundam: One Year War,PS2,2005,0,0,0.44,0,0.44
4585,Super Wagyan Land,SNES,1991,0,0,0.42,0,0.42
4701,Mobile Suit Gundam,SAT,1995,0,0,0.41,0,0.41
4979,One Piece: Unlimited World Red,3DS,2013,0.05,0.04,0.28,0.01,0.38
5032,Mobile Suit Gundam version 2.0,PS,1996,0,0,0.36,0.02,0.38
5196,Mobile Suit Z-Gundam,PS,1997,0,0,0.34,0.02,0.36
5279,Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,2013,0,0,0.35,0,0.35
5387,Power Rangers Samurai,Wii,2011,0.29,0.03,0,0.02,0.34
5432,Dynasty Warriors: Gundam 2,PS2,2008,0.04,0.03,0.25,0.01,0.34
5433,Power Rangers Samurai,DS,2011,0.27,0.04,0,0.02,0.34
5554,Clash of the Titans,PS3,2010,0.09,0.16,0.01,0.06,0.33
5765,Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,3DS,2014,0,0,0.31,0,0.31
5828,One Piece: Unlimited World Red,PS3,2014,0.09,0.12,0.06,0.05,0.3
5895,One Piece Unlimited Cruise SP,3DS,2011,0,0,0.3,0,0.3
5985,One Piece Unlimited Cruise 2: Awakening of a Hero,Wii,2009,0,0.1,0.17,0.02,0.29
6051,One Piece: Pirate Warriors 3,PS3,2015,0,0.09,0.19,0.01,0.29
6224,Dynasty Warriors: Gundam,PS2,2008,0,0,0.28,0,0.28
6451,Gundam Breaker,PS3,2013,0,0,0.26,0,0.26
6462,Aikatsu! 2-nin no My Princess,3DS,2013,0,0,0.26,0,0.26
6572,Star Trek: The Game,PS3,2013,0.1,0.11,0,0.05,0.26
6877,Mobile Suit Gundam Battlefield Record U.C.0081,PS3,2009,0,0,0.24,0,0.24
6964,Mobile Suit Gundam: Climax U.C.,PS2,2006,0,0,0.23,0,0.23
6978,Saint Seiya: Sanctuary Battle,PS3,2011,0,0.09,0.11,0.03,0.23
7139,Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack,PS3,2011,0,0,0.22,0,0.22
7147,Star Trek: The Game,X360,2013,0.12,0.09,0,0.02,0.22
7155,Gundam Battle Chronicle,PSP,2007,0,0,0.22,0,0.22
7196,Mobile Suit Gundam Seed,PS2,2003,0,0,0.22,0,0.22
7303,Sailor Moon,SNES,1993,0,0,0.22,0,0.22
7305,One Piece: Pirate Warriors 3,PSV,2015,0,0.07,0.13,0.02,0.22
7309,Digimon World Re:Digitize,PSP,2012,0,0,0.22,0,0.22
7355,Gekijouban Macross F: Itsuwarino Utahime - Hybrid Pack,PS3,2010,0,0,0.21,0,0.21
7557,Dragon Ball: Revenge of King Piccolo,Wii,2009,0.13,0.03,0.03,0.02,0.2
7702,Shaman King: Spirit of Shamans,PS,2002,0,0,0.18,0.01,0.2
7757,Dynasty Warriors: Gundam 2,X360,2008,0.07,0.03,0.08,0.01,0.19
7831,Kamen Rider: Battride War,PS3,2013,0,0,0.19,0,0.19
7901,God Eater Resurrection,PSV,2015,0,0,0.19,0,0.19
7918,Dynasty Warriors Gundam,X360,2007,0.15,0.01,0.02,0.01,0.19
7928,SoulCalibur Legends,Wii,2007,0.16,0.01,0,0.01,0.19
7936,The Munchables,Wii,2009,0.17,0,0,0.01,0.19
7942,3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015,0,0,0.19,0,0.19
7995,Treasures of the Deep,PS,1997,0.1,0.07,0,0.01,0.19
8117,Splatterhouse,X360,2010,0.14,0.03,0,0.01,0.18
8145,Godzilla (2015),PS4,2014,0.1,0.03,0.02,0.03,0.18
8157,Mobile Suit Gundam Seed Destiny: Generation of C.E.,PS2,2005,0,0,0.18,0,0.18
8256,Kekkaishi: Karasumori Ayakashi Kidan,DS,2007,0,0,0.17,0,0.17
8269,The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,PSP,2012,0,0,0.17,0,0.17
8280,Tamagotchi no Narikiri Challenge,DS,2010,0,0,0.17,0,0.17
8282,One Piece: Unlimited World Red,PSV,2014,0.06,0.04,0.04,0.03,0.17
8311,Macross Ultimate Frontier,PSP,2009,0,0,0.17,0,0.17
8348,Gundam Assault Survive,PSP,2010,0,0,0.17,0,0.17
8441,Splatterhouse,PS3,N/A,0.13,0.02,0,0.02,0.17
8466,Mobile Suit Gundam: Extreme VS Force,PSV,2015,0,0,0.16,0,0.16
8493,Clash of the Titans,X360,2010,0.08,0.06,0,0.02,0.16
8502,Curious George,GBA,2006,0.12,0.04,0,0,0.16
8597,Dragon Ball: Origins 2,DS,2010,0.05,0.02,0.08,0.01,0.16
8813,Gundam Breaker 2,PSV,2014,0,0,0.15,0,0.15
8848,3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015,0,0,0.15,0,0.15
8897,Curious George,GC,2006,0.11,0.03,0,0,0.15
9059,Kamen Rider Ryuki,PS,2002,0,0,0.13,0.01,0.14
9088,Gundam Breaker 2,PS3,2014,0,0,0.14,0,0.14
9419,Super Robot Wars BX,3DS,2015,0,0,0.13,0,0.13
9458,Naruto Shippuden: Kizuna Drive,PSP,2010,0.04,0.02,0.05,0.02,0.13
9565,Tamagotchi no Pichi Pichi Omisecchi,DS,2010,0,0,0.13,0,0.13
9583,Assassination Classroom: Grand Siege on Kuro-sensei,3DS,2015,0,0,0.13,0,0.13
9629,Dynasty Warriors: Gundam Reborn,PSV,2013,0,0,0.13,0,0.13
9685,Kidou Senshi Gundam Seed Battle Destiny,PSV,2012,0,0,0.12,0,0.12
9698,Gundam Battle Royale,PSP,2006,0,0,0.12,0,0.12
9706,One Piece: Pirate Warriors 2,PSV,2013,0,0,0.12,0,0.12
9722,All Kamen Rider: Rider Generation,DS,2011,0,0,0.12,0,0.12
9762,Gundam Memories: Tatakai no Kioku,PSP,2011,0,0,0.12,0,0.12
9764,Kaijuu Busters,DS,2009,0,0,0.12,0,0.12
9770,Mobile Suit Gundam Side Story: Missing Link,PS3,2014,0,0,0.12,0,0.12
