Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,4.4,2.77,3.96,0.77,11.9
95,The Legend of Zelda: Ocarina of Time,N64,1998,4.1,1.89,1.45,0.16,7.6
101,The Legend of Zelda: Twilight Princess,Wii,2006,3.83,2.19,0.6,0.7,7.31
128,The Legend of Zelda,NES,1986,3.74,0.93,1.69,0.14,6.51
187,The Legend of Zelda: Phantom Hourglass,DS,2007,1.9,1.83,0.95,0.49,5.17
232,The Legend of Zelda: A Link to the Past,SNES,1991,2.42,0.91,1.15,0.13,4.61
233,The Legend of Zelda: The Wind Waker,GC,2002,2.6,0.99,0.89,0.13,4.6
235,Luigi's Mansion: Dark Moon,3DS,2013,1.78,1.39,1.1,0.3,4.58
269,The Legend of Zelda: Ocarina of Time,3DS,2011,2.03,1.27,0.62,0.3,4.21
285,The Legend of Zelda: Skyward Sword,Wii,2011,2.14,1.2,0.37,0.4,4.1
319,The Legend of Zelda: Link's Awakening,GB,1992,2.21,0.96,0.54,0.13,3.83
357,Luigi's Mansion,GC,2001,2.38,0.67,0.46,0.1,3.6
375,Kung Fu,NES,1985,1.64,0.38,1.42,0.06,3.5
397,The Legend of Zelda: Spirit Tracks,DS,2009,1.43,0.94,0.74,0.27,3.38
399,The Legend of Zelda: Majora's Mask,N64,2000,1.9,0.67,0.73,0.06,3.36
455,The Legend of Zelda: A Link Between Worlds,3DS,2013,1.4,0.99,0.46,0.22,3.07
549,Metroid,NES,1986,1.33,0.31,1.04,0.05,2.73
552,The Legend of Zelda: A Link to the Past,GBA,2002,1.75,0.52,0.33,0.1,2.7
575,Star Wars: Shadows of the Empire,N64,1996,2,0.5,0.12,0.03,2.65
610,Perfect Dark,N64,2000,1.55,0.75,0.16,0.06,2.52
682,The Legend of Zelda: Majora's Mask 3D,3DS,2015,1.14,0.54,0.47,0.17,2.32
