Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6212,Danganronpa Another Episode: Ultra Despair Girls,PSV,2014,0.1,0.03,0.12,0.04,0.28
6925,Onechanbara Z2: Chaos,PS4,2014,0.13,0.02,0.04,0.04,0.24
7338,Akiba's Trip: Undead & Undressed,PSV,2013,0.09,0.02,0.08,0.03,0.21
7571,Way of the Samurai 4,PS3,2011,0,0.03,0.16,0.01,0.2
9907,Rodea the Sky Soldier,WiiU,2015,0.08,0.02,0.01,0.01,0.12
10292,Akiba's Trip: Undead & Undressed,PS3,2013,0.05,0.01,0.04,0.01,0.11
13604,Refrain no Chika Meikyuu to Majo no Ryodan,PSV,2016,0,0,0.04,0,0.04
13920,Rodea the Sky Soldier,3DS,2015,0.03,0,0,0,0.04
14156,Mame Goma: Shiro to Kuro no Meikyuu,3DS,2012,0,0,0.03,0,0.03
15499,Rose to Tasogare no Kojou,PSV,2016,0,0,0.02,0,0.02
15984,Coven and Labyrinth of Refrain,PSV,2016,0,0,0.01,0,0.01
16178,Republique,PS4,2016,0,0.01,0.01,0,0.01
16453,Hyperdimension Neptunia mk2,PS3,2011,0,0.01,0,0,0.01
