Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
9263,BlazBlue: Chrono Phantasma Extend,PS4,2015,0.07,0.03,0.02,0.02,0.14
9716,Gladiator Begins,PSP,2010,0.05,0.01,0.05,0.01,0.12
11559,Valkyrie Drive: Bhikkhuni,PSV,2015,0,0.01,0.07,0,0.08
11995,BlazBlue: Chrono Phantasma Extend,PSV,2015,0,0.05,0,0.01,0.07
12521,BlazBlue: Chrono Phantasma Extend,XOne,2015,0.05,0.01,0,0.01,0.06
13832,BlazBlue: Chrono Phantasma Extend,PS3,2015,0,0,0.04,0,0.04
14075,Aegis of Earth: Protonovus Assault,PSV,2016,0.02,0.01,0,0.01,0.04
14361,Gal Gun: Double Peace,PSV,2015,0,0.02,0.01,0,0.03
14721,Aegis of Earth: Protonovus Assault,PS3,2016,0.01,0.01,0,0,0.03
15169,Aegis of Earth: Protonovus Assault,PS4,2016,0.02,0,0,0,0.02
