Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
116,Uncharted 3: Drake's Deception,PS3,2011,2.77,2.8,0.19,1.06,6.83
120,Uncharted 2: Among Thieves,PS3,2009,3.27,2.25,0.21,1,6.73
211,Uncharted: Drake's Fortune,PS3,2007,2.31,1.73,0.12,0.78,4.94
217,God of War III,PS3,2010,2.74,1.36,0.12,0.63,4.84
237,The Last of Us,PS4,2014,1.78,1.87,0.07,0.82,4.55
244,Uncharted: The Nathan Drake Collection,PS4,2015,1.96,1.69,0.08,0.74,4.47
246,God of War,PS2,2005,2.71,1.29,0.02,0.43,4.45
291,God of War II,PS2,2007,2.32,0.04,0.04,1.67,4.07
362,The Getaway,PS2,2002,1.23,1.77,0.05,0.49,3.54
426,God of War: Chains of Olympus,PSP,2008,1.48,1.01,0.04,0.66,3.19
488,inFAMOUS,PS3,2009,1.76,0.69,0.12,0.37,2.94
539,inFAMOUS: Second Son,PS4,2014,1.27,0.97,0.07,0.47,2.78
580,God of War Collection,PS3,2009,1.7,0.46,0.06,0.41,2.63
662,Bloodborne,PS4,2015,1,0.76,0.26,0.36,2.38
697,God of War: Ascension,PS3,2013,1.23,0.68,0.04,0.34,2.29
941,inFAMOUS 2,PS3,2011,1.05,0.49,0.08,0.23,1.85
976,The Getaway: Black Monday,PS2,2004,0.39,1.01,0.02,0.36,1.78
1100,Heavenly Sword,PS3,2007,0.57,0.73,0.06,0.3,1.66
1190,Twisted Metal,PS,1995,1.32,0.19,0,0.05,1.56
1568,Jet Li: Rise to Honor,PS2,2004,0.62,0.48,0,0.16,1.27
1786,Shadow of the Colossus,PS2,2005,0.78,0.03,0.2,0.13,1.14
2045,God of War: Ghost of Sparta,PSP,2010,0.41,0.36,0.03,0.21,1.01
2099,The Bouncer,PS2,2000,0.3,0.23,0.38,0.08,0.99
2153,PlayStation All-Stars Battle Royale,PS3,2012,0.5,0.28,0.04,0.14,0.96
2321,LittleBigPlanet Karting,PS3,2012,0.42,0.32,0.01,0.15,0.9
2415,Ghostbusters: The Video Game,PS3,2009,0.34,0.37,0,0.15,0.86
2459,MLB 16: The Show,PS4,2016,0.68,0,0,0.16,0.84
2532,Twisted Metal (2012),PS3,2012,0.67,0.07,0,0.07,0.82
2642,God of War Saga,PS3,2012,0.72,0,0,0.06,0.78
2680,Twisted Metal: Head On,PSP,2005,0.71,0,0,0.06,0.77
2727,Genji: Days of the Blade,PS3,2006,0.18,0.38,0.06,0.14,0.76
2818,Ratchet & Clank Collection,PS3,2012,0.47,0.14,0.02,0.09,0.73
2931,Book of Spells,PS3,2012,0.13,0.4,0,0.16,0.7
3023,Spice World,PS,1998,0.37,0.25,0,0.04,0.67
3169,Gravity Rush,PSV,2012,0.26,0.2,0.09,0.1,0.64
3187,Nightmare Creatures,PS,1997,0.35,0.24,0,0.04,0.63
3214,God of War III,PS4,2015,0.23,0.29,0.01,0.1,0.63
3426,Barbie: Race & Ride,PS,1999,0.33,0.22,0,0.04,0.59
3627,God of War: Origins Collection,PS3,2011,0.39,0.08,0.02,0.06,0.56
3651,Extermination,PS2,2001,0.21,0.16,0.12,0.05,0.55
3852,PlayStation All-Stars Battle Royale,PSV,2012,0.26,0.15,0.01,0.1,0.52
3863,Lair,PS3,2007,0.36,0.04,0.08,0.04,0.52
4168,ICO,PS2,2001,0.23,0.18,0,0.06,0.47
4270,The Mark of Kri,PS2,2002,0.22,0.18,0,0.06,0.46
4498,Primal,PS2,2003,0.21,0.17,0,0.06,0.43
5045,MediEvil II,PS,1999,0.21,0.14,0,0.02,0.38
5267,Blasto,PS,1998,0.2,0.13,0,0.02,0.35
5415,Tiny Tank,PS,1998,0.19,0.13,0,0.02,0.34
5479,Disney's Treasure Planet,PS2,2002,0.16,0.13,0,0.04,0.33
5574,God of War Collection,PSV,2014,0.14,0.1,0.01,0.07,0.33
5791,Sorcery,PS3,2012,0.14,0.12,0,0.05,0.31
5817,Disney's Stitch: Experiment 626,PS2,2002,0.15,0.12,0,0.04,0.31
5973,Soul Sacrifice Delta,PSV,2014,0.01,0.12,0.12,0.04,0.29
6008,Starhawk,PS3,2012,0.18,0.05,0.03,0.03,0.29
6016,Medieval Moves: Deadmund's Quest,PS3,2011,0.13,0.12,0,0.05,0.29
6137,Siren: Blood Curse,PS3,2008,0,0.17,0.09,0.02,0.28
6578,Tokyo Jungle,PS3,2012,0,0,0.26,0,0.26
6789,Spawn the Eternal,PS,1997,0.14,0.09,0,0.02,0.24
6890,Ratchet & Clank: Going Commando (JP weekly sales),PS2,2003,0,0,0.24,0,0.24
6927,Covert Ops: Nuclear Dawn,PS,2000,0.13,0.09,0,0.02,0.24
7073,Genji: Dawn of the Samurai,PS2,2005,0.11,0.09,0,0.03,0.23
7288,Jackie Chan: Stuntmaster,PS,1999,0.12,0.08,0,0.01,0.22
7492,Kung Fu Rider,PS3,2010,0.06,0.1,0.01,0.04,0.21
7894,The Heavy Rain and Beyond: Two Souls Collection,PS4,2016,0,0.16,0,0.03,0.19
7930,Rise of the Kasai,PS2,2005,0.09,0.07,0,0.02,0.19
8314,Pursuit Force: Extreme Justice,PSP,2007,0.07,0.07,0,0.03,0.17
8468,MLB 16: The Show,PS3,2016,0.13,0,0,0.03,0.16
8614,Shinobido 2: Tales of the Ninja,PSV,2011,0.06,0.05,0.02,0.03,0.16
9019,The Fifth Element,PS,1998,0.08,0.05,0,0.01,0.14
9243,Cyber Sled,PS,1995,0,0,0.13,0.01,0.14
9578,Gravity Rush Remastered,PS4,2015,0.02,0.05,0.04,0.01,0.13
9783,The God of War Trilogy,PS3,2010,0,0.07,0.03,0.02,0.12
9815,Fat Princess: Fistful of Cake,PSP,2010,0.08,0.02,0,0.02,0.12
10109,Invizimals: The Lost Tribes,PSP,2011,0,0.08,0,0.04,0.11
10512,Death By Degrees,PS2,2005,0.05,0.04,0,0.01,0.1
10742,EyeToy: Operation Spy,PS2,2005,0.05,0.04,0,0.01,0.1
10826,Disney's Aladdin in Nasira's Revenge,PS,2000,0.05,0.04,0,0.01,0.09
10863,Rosco McQueen: Firefighter Extreme,PS,1997,0.05,0.04,0,0.01,0.09
11018,Ghosthunter,PS2,2003,0.04,0.03,0,0.01,0.09
11368,Forbidden Siren 2,PS2,2006,0,0,0.08,0,0.08
11542,Looney Tunes: Galactic Sports,PSV,2015,0,0.06,0,0.02,0.08
11776,Sky Gunner,PS2,2001,0.04,0.03,0,0.01,0.07
11848,Invizimals: The Alliance,PSV,2013,0,0.05,0,0.02,0.07
12341,Ratchet & Clank Collection,PSV,2014,0,0.05,0,0.01,0.06
12499,ICO,PS3,2011,0,0,0.06,0,0.06
13390,Rimo-Cocoron,PS2,2001,0,0,0.05,0,0.05
13761,Infamous: First Light,PS4,2014,0,0.03,0,0.01,0.04
13810,Shadow of the Colossus,PS3,2011,0,0,0.04,0,0.04
14707,The Last Guy,PS3,2009,0,0,0.03,0,0.03
15144,Invizimals: The Lost Kingdom,PS3,2013,0,0.02,0,0.01,0.02
