Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6263,Kenka Bancho: Badass Rumble,PSP,2008,0.06,0,0.2,0.01,0.27
7878,Kenka Banchou 4: Ichinen Sensou,PSP,2010,0,0,0.19,0,0.19
9050,Kenka Banchou 5: Otoko no Housoku,PSP,2011,0,0,0.14,0,0.14
10433,Kenka Bancho Bros: Tokyo Battle Royale,PSP,2012,0,0,0.1,0,0.1
11096,Kenka Banchou 2: Full Throttle,PS2,2007,0,0,0.09,0,0.09
12848,Samurai Dou Portable,PSP,2008,0,0,0.05,0,0.05
12877,GachiTora! Abarenbou Kyoushi in High School,PSP,2011,0,0,0.05,0,0.05
13659,Way of the Samurai 2 Portable,PSP,2009,0,0,0.04,0,0.04
14856,Hokuto no Ken: Hokuto Shinken Denshousha no Michi,DS,2008,0,0,0.03,0,0.03
16353,Kenka Banchou Portable,PSP,2009,0,0,0.01,0,0.01
