Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
613,Tomb Raider (2013),PS3,2013,0.6,1.31,0.08,0.52,2.51
747,Hitman: Absolution,PS3,2012,0.59,1.07,0.07,0.45,2.19
895,Tomb Raider (2013),X360,2013,0.86,0.87,0.01,0.17,1.92
949,Just Cause 3,PS4,2015,0.46,1.02,0.07,0.28,1.83
978,Just Cause 2,PS3,2010,0.45,0.94,0.06,0.33,1.78
999,Hitman: Absolution,X360,2012,0.68,0.9,0.01,0.17,1.76
1134,Just Cause 2,X360,2010,0.59,0.85,0.02,0.17,1.62
1178,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,0.88,0.26,0.34,0.09,1.58
1367,Tomb Raider (2013),PS4,2014,0.47,0.64,0.06,0.25,1.41
1950,Sleeping Dogs,PS3,2012,0.31,0.5,0.05,0.19,1.06
2197,The Tomb Raider Trilogy,PS3,2011,0.27,0.5,0,0.17,0.94
2358,Sleeping Dogs,X360,2012,0.38,0.41,0.01,0.08,0.88
2369,Just Cause 3,XOne,2015,0.42,0.38,0,0.07,0.88
2454,Thief (2014),PS4,2014,0.28,0.37,0.03,0.16,0.84
2864,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,2015,0.16,0.13,0.37,0.06,0.71
3361,Tomb Raider (2013),XOne,2014,0.34,0.21,0,0.05,0.6
4028,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,2015,0,0,0.49,0,0.49
4311,Thief (2014),XOne,2014,0.26,0.15,0,0.04,0.45
4397,Dragon Quest Heroes: Rocket Slime,DS,2005,0.13,0,0.31,0.01,0.45
4517,Sleeping Dogs,PS4,2014,0.16,0.2,0,0.07,0.43
4802,Thief (2014),PS3,2014,0.1,0.2,0.02,0.08,0.4
4820,Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,2009,0.22,0.08,0.08,0.03,0.4
5242,Tomb Raider (2013),PC,N/A,0.06,0.25,0,0.05,0.36
5615,Murdered: Soul Suspect,PS4,2014,0.09,0.16,0.02,0.05,0.32
5955,Thief (2014),X360,2014,0.14,0.13,0,0.03,0.3
6205,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016,0,0,0.28,0,0.28
6709,Hitman: Absolution,PC,2012,0.03,0.17,0,0.04,0.25
7062,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PSV,2016,0,0,0.23,0,0.23
7202,Hitman: HD Trilogy,PS3,2013,0.07,0.1,0,0.04,0.22
7688,Sleeping Dogs,XOne,2014,0.1,0.09,0,0.02,0.2
8055,Hitman: HD Trilogy,X360,2013,0.07,0.09,0,0.02,0.18
8574,Murdered: Soul Suspect,XOne,2014,0.08,0.07,0,0.01,0.16
8767,Murdered: Soul Suspect,PS3,2014,0.05,0.06,0.02,0.02,0.15
9138,Just Cause 3,PC,2015,0.03,0.11,0,0.01,0.14
9540,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS3,2016,0,0,0.13,0,0.13
9549,Just Cause 2,PC,2010,0,0.1,0,0.03,0.13
9678,Sleeping Dogs,PC,2012,0.06,0.05,0,0.02,0.12
9729,Final Fantasy XIV: Heavensward,PS4,2015,0,0.05,0.06,0.01,0.12
10226,Thief (2014),PC,2014,0,0.09,0,0.02,0.11
10308,Murdered: Soul Suspect,X360,2014,0.06,0.04,0,0.01,0.11
10456,Army Corps of Hell,PSV,2011,0.05,0.04,0,0.02,0.1
11267,Lara Croft and the Temple of Osiris,PS4,2014,0,0.07,0,0.01,0.08
11681,The Legend of Kage 2,DS,2008,0.07,0,0,0,0.08
12690,Murdered: Soul Suspect,PC,2014,0,0.05,0,0.01,0.06
13649,Hitman (2016),PS4,2016,0,0.04,0,0.01,0.04
14061,Kuroshitsuji: Phantom & Ghost,DS,2009,0,0,0.04,0,0.04
14578,Nanashi no Game Me,DS,2009,0,0,0.03,0,0.03
15271,Final Fantasy XIV: Heavensward,PS3,2015,0.01,0,0.01,0,0.02
15642,Lara Croft and the Temple of Osiris,PC,2014,0,0.02,0,0,0.02
15643,Final Fantasy XIV: Heavensward,PC,2015,0.01,0.01,0,0,0.02
15767,Soul Eater: Monotone Princess,Wii,2008,0,0,0.02,0,0.02
16534,Hitman (2016),XOne,2016,0,0.01,0,0,0.01
