Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
368,Rugrats in Paris: The Movie,PS,2000,1.96,1.33,0,0.23,3.52
462,Saints Row 2,X360,2008,1.94,0.8,0.02,0.27,3.03
521,Finding Nemo,GBA,2003,1.59,1.05,0.04,0.14,2.82
544,Saints Row: The Third,X360,2011,1.25,1.15,0.07,0.3,2.77
617,Saints Row: The Third,PS3,2011,0.86,1.06,0.18,0.39,2.49
668,The Incredibles,PS2,2004,0.96,1.08,0.04,0.3,2.37
743,Saints Row,X360,2006,1.17,0.78,0.02,0.22,2.19
795,Finding Nemo,PS2,2003,1.26,0.6,0.05,0.18,2.09
819,The Incredibles,GBA,2004,1.15,0.77,0.04,0.1,2.06
923,Dynasty Warriors 3,PS2,2001,0.53,0.16,1.07,0.1,1.87
975,SpongeBob SquarePants: SuperSponge,PS,2001,1.12,0.58,0,0.08,1.78
1000,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,1.26,0.47,0,0.03,1.76
1061,Saints Row 2,PS3,2008,0.88,0.54,0.02,0.25,1.69
1148,SpongeBob's Atlantis SquarePantis,DS,2007,1.5,0,0,0.11,1.61
1399,WWE '13,PS3,2012,0.51,0.62,0,0.26,1.39
1547,WWE '13,X360,2012,0.72,0.45,0,0.11,1.28
1580,Ratatouille,DS,2007,0.5,0.62,0,0.14,1.26
1944,Darksiders,X360,2010,0.67,0.29,0.01,0.1,1.06
1977,UFC Undisputed 3,PS3,2012,0.55,0.34,0.03,0.13,1.05
2068,UFC Undisputed 3,X360,2012,0.72,0.21,0,0.07,1
2254,SpongeBob SquarePants: The Yellow Avenger,PSP,2006,0.55,0.21,0,0.16,0.92
2339,Finding Nemo,GC,2003,0.69,0.18,0,0.02,0.89
2414,Darksiders II,PS3,2012,0.35,0.37,0.01,0.14,0.86
2447,Ratatouille,PS2,2007,0.31,0,0,0.53,0.85
2463,The Incredibles,GC,2004,0.65,0.17,0,0.02,0.84
2484,Dynasty Warriors 2,PS2,2000,0.24,0.19,0.34,0.06,0.83
