Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
9975,Yattaman DS: BikkuriDokkiri Daisakusen da Koron,DS,2008,0,0,0.12,0,0.12
10185,Naruto Shippuden: Naruto vs. Sasuke,DS,2008,0.08,0,0.03,0.01,0.11
12698,Katekyoo Hitman Reborn! DS Flame Rumble XX - Kessen! Shin 6 Chouka,DS,2010,0,0,0.06,0,0.06
12933,Katekyoo Hitman Reborn! DS: Shinuki Max! Vongola Carnival!!,DS,2007,0,0,0.05,0,0.05
13566,Naruto Shippuden: Dairansen! Kage Bunshin Emaki,DS,2008,0,0,0.04,0,0.04
13585,Naruto Shippuuden: Shinobi Retsuden III,DS,2009,0,0,0.04,0,0.04
14524,Katekyoo Hitman Reborn! DS: Ore ga Boss! Saikyou Family Taisen,DS,2009,0,0,0.03,0,0.03
14868,Moyashimon DS,DS,2009,0,0,0.03,0,0.03
15581,Metal Fight Beyblade Portable: Chouzetsu Tensei Vulcan Horses,PSP,2010,0,0,0.02,0,0.02
15734,Nano Diver,PSP,2011,0,0,0.02,0,0.02
15895,Yuu Yuu Hakusho DS: Ankoku Bujutsukai Hen,DS,2006,0,0,0.02,0,0.02
15937,Katekyoo Hitman Reborn! DS: Mafia Daishuugou Bongole Festival,DS,2008,0,0,0.02,0,0.02
