Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
17,Grand Theft Auto V,PS3,2013,7.01,9.27,0.97,4.14,21.4
18,Grand Theft Auto: San Andreas,PS2,2004,9.43,0.4,0.41,10.57,20.81
24,Grand Theft Auto V,X360,2013,9.63,5.31,0.06,1.38,16.38
25,Grand Theft Auto: Vice City,PS2,2002,8.41,5.49,0.47,1.78,16.15
39,Grand Theft Auto III,PS2,2001,6.99,4.51,0.3,1.3,13.1
45,Grand Theft Auto V,PS4,2014,3.8,5.81,0.36,2.02,11.98
52,Grand Theft Auto IV,X360,2008,6.76,3.1,0.14,1.03,11.02
57,Grand Theft Auto IV,PS3,2008,4.76,3.76,0.44,1.62,10.57
91,Grand Theft Auto: Liberty City Stories,PSP,2005,2.9,2.83,0.24,1.75,7.72
124,Red Dead Redemption,PS3,2010,2.79,2.61,0.17,1.03,6.6
135,Red Dead Redemption,X360,2010,3.7,1.97,0.09,0.57,6.34
198,Grand Theft Auto V,XOne,2014,2.66,2.01,0,0.41,5.08
199,Grand Theft Auto: Vice City Stories,PSP,2006,1.7,2.02,0.16,1.21,5.08
361,Grand Theft Auto: Liberty City Stories,PS2,2006,1.56,1.4,0.07,0.5,3.54
389,Grand Theft Auto 2,PS,1998,1.13,2.07,0,0.22,3.42
595,Ghostbusters: The Video Game (DS Version),X360,2009,1.04,1.24,0.03,0.27,2.58
618,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003,1.84,0.56,0,0.09,2.49
686,Grand Theft Auto,PS,1997,0.79,1.35,0.04,0.14,2.32
796,NBA 2K11,X360,2010,1.84,0.12,0.01,0.13,2.09
806,Ghostbusters: The Video Game (DS Version),PS3,2010,0.59,0.99,0.13,0.36,2.08
875,Grand Theft Auto: San Andreas,XB,2005,1.26,0.61,0,0.09,1.95
967,NBA 2K11,PS3,2010,1.41,0.21,0.03,0.16,1.8
997,State of Emergency,PS2,2002,0.86,0.67,0,0.22,1.76
1034,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,2003,0.85,0.66,0,0.22,1.72
1152,Dollar Dash,PS2,2005,1.3,0.23,0,0.07,1.6
1196,Mafia II,X360,2010,0.84,0.56,0,0.15,1.55
1239,Mafia II,PS3,2010,0.5,0.72,0.04,0.26,1.52
1443,Grand Theft Auto: Chinatown Wars,DS,2009,0.59,0.57,0.05,0.14,1.35
1549,Manhunt,PS2,2003,0.63,0.49,0,0.16,1.28
1769,Red Dead Redemption: Undead Nightmare,PS3,2010,0.44,0.46,0.06,0.18,1.15
1784,Action Bass,PS,2000,0.64,0.43,0,0.07,1.14
1898,Grand Theft Auto V,PC,2015,0.36,0.64,0,0.08,1.08
1904,Grand Theft Auto: Chinatown Wars,PSP,2009,0.28,0.5,0.03,0.28,1.08
1923,Red Dead Redemption: Undead Nightmare,X360,2010,0.57,0.39,0.02,0.09,1.07
1924,Bully: Scholarship Edition,X360,2008,0.53,0.4,0.03,0.11,1.07
2122,Grand Theft Auto: San Andreas,PC,2005,0,0.92,0,0.05,0.98
2140,Grand Theft Auto: Vice City Stories,PS2,2007,0.78,0.03,0.03,0.13,0.97
2215,Bully,PS2,2006,0.75,0.03,0.04,0.12,0.94
2359,Grand Theft Auto IV,PC,2008,0.01,0.79,0,0.08,0.88
2365,NBA 2K6,PS2,2005,0.43,0.34,0,0.11,0.88
3412,Go Diego Go! Great Dinosaur Rescue,Wii,2008,0.53,0.02,0,0.04,0.59
3440,Top Spin 3,Wii,2008,0.15,0.37,0,0.07,0.58
3505,Top Spin 3,PS3,2008,0.08,0.37,0,0.12,0.57
3558,Top Spin 3,X360,2008,0.09,0.4,0,0.07,0.57
3594,Manhunt 2,PS2,2007,0.27,0.21,0,0.07,0.56
3714,Manhunt 2,Wii,2007,0.25,0.23,0,0.06,0.54
3809,Oni,PS2,2001,0.26,0.2,0,0.07,0.53
3812,The Warriors,PS2,2005,0.44,0.02,0,0.07,0.53
3815,Go Diego Go! Safari Rescue,Wii,2008,0.48,0.01,0,0.04,0.53
3850,Bully: Scholarship Edition,Wii,2008,0.17,0.29,0,0.06,0.52
3930,NBA 2K11,Wii,2010,0.47,0.01,0,0.03,0.51
4115,Go Diego Go! Great Dinosaur Rescue,DS,2008,0.44,0.01,0,0.03,0.48
4129,Nickelodeon Team Umizoomi,DS,2011,0.45,0,0,0.03,0.48
4658,NBA 2K11,PSP,2010,0.39,0,0,0.03,0.42
4698,Grudge Warriors,PS,1999,0.23,0.16,0,0.03,0.41
4753,NBA 2K11,PS2,2010,0.34,0.01,0,0.06,0.41
4841,Mafia II,PC,2010,0.17,0.17,0,0.06,0.4
4881,Fantastic Four: Rise of the Silver Surfer,PS2,2007,0.19,0.15,0,0.05,0.39
5205,NBA 2K6,XB,2005,0.27,0.08,0,0.01,0.36
5622,"Go, Diego, Go!: Great Dinosaur Rescue",PS2,2008,0.16,0.12,0,0.04,0.32
5664,Manhunt 2,PSP,2007,0.04,0.18,0,0.1,0.32
5748,KISS Pinball,PS,2001,0.17,0.12,0,0.02,0.31
6122,The Warriors,XB,2005,0.21,0.06,0,0.01,0.28
6217,The Warriors,PSP,2007,0.23,0.02,0,0.03,0.28
6456,Rune: Viking Warlord,PS2,2001,0.13,0.1,0,0.03,0.26
6883,Ghost Rider,PSP,2007,0.22,0,0,0.02,0.24
6907,Grand Theft Auto,GBA,2004,0.17,0.06,0,0,0.24
7029,NBA 2K6,X360,2005,0.21,0.01,0,0.02,0.23
7053,Mafia,XB,2004,0.17,0.05,0,0.01,0.23
7717,Family Guy,PSP,2006,0.18,0,0,0.02,0.2
7774,Manhunt,XB,2004,0.14,0.04,0,0.01,0.19
7881,NBA 2K11,PC,2010,0.18,0,0,0.01,0.19
8018,Ringling Bros. and Barnum & Bailey Circus,Wii,2009,0.17,0,0,0.01,0.18
8156,Ball Breakers,PS,2000,0.1,0.07,0,0.01,0.18
8292,Ringling Bros. and Barnum & Bailey: Circus Friends,DS,2009,0.16,0,0,0.01,0.17
8392,State of Emergency,XB,2003,0.13,0.04,0,0.01,0.17
