Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
785,Dynasty Warriors 4,PS2,2003,0.63,0.21,1.13,0.13,2.11
1397,Dynasty Warriors 5,PS2,2005,0.24,0.18,0.91,0.06,1.39
2047,Ninja Gaiden II,X360,2008,0.65,0.22,0.05,0.1,1.01
2074,Dynasty Warriors 3: Xtreme Legends,PS2,2002,0.13,0.1,0.74,0.03,1
2266,Dynasty Warriors 7,PS3,2011,0.25,0.14,0.46,0.06,0.92
2406,Warriors Orochi,PS2,2007,0.11,0.09,0.64,0.03,0.87
2427,Dynasty Warriors 4: Xtreme Legends,PS2,2003,0.17,0.13,0.51,0.04,0.86
2868,Dynasty Warriors 6,PS3,2007,0.18,0.08,0.41,0.04,0.71
3291,Samurai Warriors 2,PS2,2006,0.02,0.02,0.57,0.01,0.61
3292,Dynasty Warriors 8,PS3,2013,0.12,0.11,0.34,0.05,0.61
3540,Dynasty Warriors 5: Xtreme Legends,PS2,2005,0.11,0.08,0.35,0.03,0.57
3679,Dynasty Warriors: Gundam 3,PS3,2010,0.11,0.05,0.36,0.02,0.55
3905,Dynasty Warriors,PSP,2004,0.18,0.01,0.3,0.02,0.51
4134,Dynasty Warriors Gundam,PS3,2007,0.14,0.01,0.31,0.02,0.48
4388,Samurai Warriors: Xtreme Legends,PS2,2004,0.04,0.03,0.36,0.01,0.45
4443,Ninja Gaiden 3,PS3,2012,0.19,0.1,0.11,0.05,0.44
4808,Warriors Orochi 2 (JP sales),PS2,2008,0,0,0.4,0,0.4
4971,Samurai Warriors Chronicles,3DS,2011,0.12,0.05,0.2,0.01,0.39
5068,Toukiden: The Age of Demons,PSV,2013,0.05,0.05,0.25,0.03,0.38
5358,Dynasty Warriors 5 Empires,PS2,2006,0.11,0.09,0.12,0.03,0.34
5389,Dynasty Warriors 6 Empires,PS3,2009,0.14,0.03,0.15,0.02,0.34
5557,Samurai Warriors 2: Xtreme Legends (JP sales),PS2,2007,0,0,0.33,0,0.33
5695,Dynasty Warriors 4 Empires,PS2,2004,0,0,0.32,0,0.32
5876,Dynasty Warriors 6,X360,2007,0.15,0.06,0.06,0.02,0.3
5878,Dynasty Warriors 8: Xtreme Legends,PS4,2014,0.09,0.11,0.06,0.04,0.3
5879,Toukiden Kiwami,PSV,2014,0.05,0.05,0.17,0.03,0.3
5979,Dynasty Warriors: Strikeforce,PS3,2009,0.11,0.08,0.07,0.03,0.29
6033,Bladestorm: The Hundred Years' War,PS3,2007,0.1,0.03,0.14,0.02,0.29
6095,Warriors Orochi 2,PSP,2008,0.06,0,0.22,0.01,0.29
6167,Lord of Darkness,SNES,1991,0,0,0.28,0,0.28
6277,Dynasty Warriors,PS,1997,0.09,0.06,0.11,0.02,0.27
6419,Ninja Gaiden Sigma,PSV,2012,0.13,0.06,0.04,0.04,0.27
6424,Dynasty Warriors Next,PSV,2011,0.06,0.07,0.11,0.03,0.27
6429,Dynasty Warriors 7: Xtreme Legends,PS3,2011,0.04,0.05,0.16,0.02,0.27
6554,Samurai Warriors 4,PS3,2014,0,0,0.26,0,0.26
6661,Dynasty Warriors 6 (JP sales),PS2,2008,0,0,0.25,0,0.25
6724,Ninja Gaiden 3,X360,2012,0.16,0.05,0.03,0.02,0.25
6728,Dynasty Warriors 6,PS2,2008,0.12,0.09,0,0.03,0.25
6775,Dynasty Warriors 7,X360,2011,0.16,0.07,0,0.02,0.24
