Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2428,Ninja Gaiden Sigma 2,PS3,2009,0.52,0.16,0.08,0.1,0.86
3076,Fist of the North Star: Ken's Rage,PS3,2010,0.06,0.03,0.55,0.02,0.66
3257,Warriors Orochi 3,PS3,2011,0,0.04,0.57,0.01,0.62
4312,Dynasty Warriors: Strikeforce,PSP,2009,0.03,0.03,0.38,0.02,0.45
8515,Warriors Orochi 3,X360,2011,0.09,0.03,0.03,0.01,0.16
8708,Fist of the North Star: Ken's Rage,X360,2010,0.07,0.02,0.06,0.01,0.16
9213,Dynasty Warriors 7: Empires,PS3,2012,0,0,0.14,0,0.14
9728,Undead Knights,PSP,2009,0.05,0.01,0.06,0.01,0.12
10390,Warriors Orochi 3,PSP,2012,0,0,0.11,0,0.11
10515,Samurai Warriors Chronicles 2nd,3DS,2012,0,0,0.1,0,0.1
