Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
129,Assassin's Creed III,PS3,2012,2.64,2.56,0.16,1.14,6.5
157,Assassin's Creed II,PS3,2009,2.54,1.95,0.21,0.87,5.57
173,Assassin's Creed III,X360,2012,3.13,1.71,0.03,0.44,5.3
177,Assassin's Creed II,X360,2009,3.1,1.56,0.08,0.51,5.27
264,Assassin's Creed: Revelations,PS3,2011,1.41,2.02,0.1,0.72,4.24
274,Assassin's Creed: Revelations,X360,2011,2.25,1.47,0.04,0.43,4.19
281,Watch Dogs,PS4,2014,1.4,1.86,0.11,0.77,4.14
305,Assassin's Creed: Unity,PS4,2014,1.18,1.96,0.08,0.7,3.92
308,Assassin's Creed IV: Black Flag,PS3,2013,1.33,1.71,0.13,0.73,3.89
374,Assassin's Creed: Brotherhood,X360,2010,2.84,0.39,0.03,0.24,3.5
382,Assassin's Creed: Unity,XOne,2014,2.26,0.89,0,0.3,3.46
402,Assassin's Creed IV: Black Flag,X360,2013,1.9,1.14,0.01,0.29,3.34
410,Assassin's Creed Syndicate,PS4,2015,0.8,1.92,0.06,0.5,3.28
465,Tom Clancy's Splinter Cell,XB,2002,1.85,1.04,0,0.13,3.02
515,Assassin's Creed: Brotherhood,PS3,2010,1.87,0.57,0.11,0.3,2.84
547,Assassin's Creed IV: Black Flag,PS4,2013,1.07,1.31,0.06,0.31,2.74
571,Tom Clancy's Splinter Cell,PS2,2003,1.15,1.11,0,0.4,2.65
728,Prince of Persia: The Sands of Time,PS2,2003,0.88,1.03,0,0.31,2.22
733,Assassin's Creed IV: Black Flag,XOne,2013,1.47,0.55,0,0.19,2.21
772,Far Cry: Primal,PS4,2016,0.59,1.16,0.06,0.33,2.13
817,Tom Clancy's Splinter Cell: Conviction,X360,2010,1.2,0.63,0.04,0.19,2.06
835,Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,0.71,1.02,0,0.31,2.04
893,Watch Dogs,PS3,2014,0.56,0.89,0.1,0.37,1.93
1122,Prince of Persia: Warrior Within,PS2,2004,0.54,0.88,0,0.22,1.64
1153,Far Cry 2,X360,2008,0.71,0.69,0.02,0.18,1.6
1204,Watch Dogs,XOne,2014,0.9,0.53,0,0.13,1.55
1286,Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004,0.82,0.59,0,0.07,1.48
1288,Assassin's Creed III: Liberation,PSV,2012,0.58,0.55,0.06,0.28,1.47
1385,Far Cry 2,PS3,2008,0.43,0.7,0.01,0.27,1.4
1415,Assassin's Creed: Rogue,PS3,2014,0.46,0.62,0.06,0.23,1.37
1541,Watch Dogs,X360,2014,0.72,0.45,0.01,0.11,1.28
1545,Assassin's Creed Syndicate,XOne,2015,0.61,0.56,0,0.11,1.28
1597,Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,0.52,0.56,0,0.17,1.25
1605,Assassin's Creed: Bloodlines,PSP,2009,0.43,0.48,0.05,0.28,1.24
1840,Tom Clancy's Splinter Cell: Chaos Theory,XB,2005,0.68,0.38,0,0.05,1.11
1896,Prince of Persia,PS3,2008,0.47,0.41,0.03,0.18,1.08
1966,Assassin's Creed: Rogue,X360,2014,0.58,0.38,0,0.09,1.05
2031,ZombiU,WiiU,2012,0.53,0.36,0.05,0.08,1.02
2044,Prince of Persia,X360,2008,0.54,0.35,0.02,0.1,1.01
2089,Tom Clancy's Splinter Cell: Blacklist,X360,2013,0.57,0.34,0.01,0.08,0.99
2123,Tom Clancy's Splinter Cell: Blacklist,PS3,2013,0.34,0.41,0.06,0.18,0.98
2177,Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005,0.36,0.45,0,0.14,0.95
2204,Assassin's Creed III,PC,2012,0.28,0.53,0,0.13,0.94
2216,Prince of Persia: The Sands of Time,XB,2003,0.57,0.33,0,0.04,0.94
2278,Avatar: The Game,PS3,2009,0.32,0.43,0,0.16,0.91
2436,Far Cry: Primal,XOne,2016,0.46,0.32,0,0.07,0.85
2582,Prince of Persia: Warrior Within,XB,2004,0.48,0.28,0,0.04,0.8
2630,Tom Clancy's Splinter Cell: Double Agent,X360,2006,0.67,0.05,0.01,0.06,0.78
2658,Avatar: The Game,X360,2009,0.34,0.35,0,0.08,0.78
2714,Assassin's Creed: Revelations,PC,2011,0.14,0.48,0,0.14,0.76
2819,Avatar: The Game,Wii,2009,0.33,0.32,0,0.08,0.73
2828,Star Wars Episode III: Revenge of the Sith,GBA,2005,0.52,0.19,0,0.01,0.72
2923,Prince of Persia: The Forgotten Sands,PS3,2010,0.19,0.36,0.01,0.13,0.7
2963,Assassin's Creed IV: Black Flag,PC,2013,0.22,0.38,0,0.1,0.69
2987,Prince of Persia: The Two Thrones,PS2,2005,0.57,0.02,0,0.09,0.68
3243,Prince of Persia: The Forgotten Sands,X360,2010,0.3,0.26,0,0.06,0.62
3357,Avatar: The Game,PSP,2009,0.22,0.24,0,0.14,0.6
3392,Assassin's Creed: Brotherhood,PC,2011,0.15,0.34,0,0.1,0.59
3406,Naruto: The Broken Bond,X360,2008,0.24,0.28,0,0.07,0.59
3427,Lost: Via Domus,X360,2008,0.18,0.34,0,0.07,0.59
3461,Tom Clancy's HAWX,X360,2009,0.31,0.19,0.02,0.06,0.58
3474,Prince of Persia: The Two Thrones,XB,2005,0.33,0.22,0,0.03,0.58
3528,Assassin's Creed II,PC,2010,0.01,0.45,0,0.11,0.57
3559,Tom Clancy's HAWX,PS3,2009,0.21,0.22,0.05,0.09,0.57
3655,TMNT,X360,2007,0.47,0.04,0,0.04,0.55
3658,Assassin's Creed: Unity,PC,2014,0.17,0.33,0,0.05,0.55
3785,Peter Jackson's King Kong: The Official Game of the Movie,XB,2005,0.34,0.17,0,0.02,0.53
3886,Prince of Persia Trilogy,PS3,2010,0.17,0.25,0,0.09,0.51
3915,Lost: Via Domus,PS3,2008,0.19,0.23,0,0.09,0.51
4078,Far Cry 2,PC,2008,0.01,0.45,0,0.03,0.49
4160,Hamsterz Life,DS,2006,0.43,0.01,0,0.04,0.47
4218,Kong: The 8th Wonder of the World,GBA,2005,0.33,0.12,0,0.01,0.47
4335,Watch Dogs,PC,2014,0.14,0.26,0,0.05,0.45
4561,The Smurfs,DS,2011,0.24,0.14,0,0.04,0.43
4611,Star Wars Trilogy: Apprentice of the Force,GBA,2004,0.3,0.11,0,0.01,0.42
4650,Tom Clancy's HAWX 2,PS3,2010,0.21,0.12,0.03,0.05,0.42
4777,Avatar: The Game,DS,2009,0.19,0.18,0,0.04,0.41
4785,Beowulf: The Game,X360,2007,0.36,0.01,0,0.03,0.4
4819,TMNT,Wii,2007,0.34,0.03,0,0.03,0.4
5007,Ice Age,GBA,2002,0.27,0.1,0,0.01,0.38
5113,Prince of Persia: The Forgotten Sands,PSP,2010,0.09,0.18,0.01,0.1,0.37
5171,Tom Clancy's HAWX 2,X360,2010,0.24,0.09,0.01,0.03,0.36
5201,Assassin's Creed III,WiiU,2012,0.19,0.13,0,0.03,0.36
5284,Batman: Rise of Sin Tzu,PS2,2003,0.17,0.13,0,0.05,0.35
5392,The Adventures of Tintin: The Game,Wii,2011,0.13,0.17,0,0.04,0.34
5472,Naruto: Rise of a Ninja,X360,2007,0.29,0.02,0,0.03,0.33
5623,TrackMania Turbo,PS4,2016,0.03,0.24,0,0.05,0.32
5630,Prince of Persia: The Sands of Time,GC,2003,0.25,0.06,0,0.01,0.32
5726,Star Wars Episode III: Revenge of the Sith,DS,2005,0.25,0.03,0,0.03,0.31
5773,Mega Man Battle Network 2,GBA,2002,0.22,0.08,0,0.01,0.31
5873,Tom Clancy's Splinter Cell 3D,3DS,2011,0.14,0.07,0.07,0.02,0.3
