Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2238,Teenage Mutant Ninja Turtles,GBA,2003,0.67,0.25,0,0.02,0.93
2831,God Eater,PSP,2010,0,0,0.72,0,0.72
5197,Cubix Robots for Everyone: Clash 'n' Bash,GBA,N/A,0.26,0.1,0,0.01,0.36
6023,Fast Food,2600,1981,0.27,0.02,0,0,0.29
6044,Nicktoons: Battle for Volcano Island,GC,N/A,0.22,0.06,0,0.01,0.29
6409,Ultimate NES Remix,3DS,2014,0.15,0.09,0,0.02,0.27
8159,Twisted Metal: Small Brawl,PS,N/A,0.1,0.07,0,0.01,0.18
8225,Teen Titans,GBA,N/A,0.13,0.05,0,0,0.17
8507,Kid Adventures: Sky Captain,Wii,2010,0.11,0.04,0,0.01,0.16
8709,Jurassic Park: The Game,X360,N/A,0.15,0,0,0.01,0.16
8846,Terraria,PC,2011,0,0.13,0,0.02,0.15
9153,WCW Backstage Assault,N64,N/A,0.11,0.03,0,0,0.14
10244,AKB48+Me,3DS,2012,0,0,0.11,0,0.11
12029,Alpha and Omega,DS,2010,0.06,0,0,0,0.07
12061,Fairy Tail: Zelef Kakusei,PSP,2012,0,0,0.07,0,0.07
14158,Clash of Elementalists,3DS,2013,0,0.03,0,0,0.03
14252,The Binding of Isaac,PC,2012,0,0.03,0,0,0.03
14380,Fullmetal Alchemist: Brotherhood,PSP,N/A,0,0,0.03,0,0.03
14699,Super Duper Sumos,GBA,N/A,0.02,0.01,0,0,0.03
15160,Ukiyo no Roushi,PSV,2015,0,0,0.02,0,0.02
15187,Sengoku Otome: Legend Battle,PSV,2016,0,0,0.02,0,0.02
15326,Meikyuu Cross Blood: Reloaded,X360,2011,0,0,0.02,0,0.02
15879,Dinotopia: The Sunstone Odyssey,GC,N/A,0.01,0,0,0,0.02
16068,Aquaman: Battle for Atlantis,XB,N/A,0.01,0,0,0,0.01
16149,Fuuraiki 3,PSV,2015,0,0,0.01,0,0.01
16203,Hyakka Yakou,PSV,2015,0,0,0.01,0,0.01
16463,"Horse Life 4: My Horse, My Friend, My Champion",3DS,2015,0,0.01,0,0,0.01
16496,The Smurfs,3DS,N/A,0,0.01,0,0,0.01
