Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
152,Resident Evil 2,PS,1998,1.88,1.47,2.02,0.45,5.82
202,Resident Evil,PS,1996,2.05,1.16,1.11,0.73,5.05
326,Resident Evil Director's Cut,PS,1996,1.82,1.24,0.47,0.25,3.77
553,Onimusha: Warlords,PS2,2001,0.99,0.48,1.09,0.14,2.7
1662,Dino Crisis 2,PS,2000,0.34,0.49,0.28,0.1,1.21
1998,Mega Man X4,PS,1996,0.45,0.3,0.22,0.07,1.04
3592,Resident Evil 2,N64,1999,0.39,0.09,0.07,0.01,0.56
10547,Hunter: The Reckoning,GC,2002,0.08,0.02,0,0,0.1
13829,Herc's Adventures,PS,1997,0.02,0.01,0,0,0.04
14595,Grid Runner,PS,1996,0.02,0.01,0,0,0.03
15385,Silent Bomber,PS,1999,0.01,0.01,0,0,0.02
16586,Carmageddon 64,N64,1999,0.01,0,0,0,0.01
