Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
981,50 Cent: Bulletproof,PS2,2005,0.85,0.76,0,0.16,1.77
1695,Scarface: The World is Yours,PS2,2006,0.99,0.04,0,0.16,1.19
3140,Crash of the Titans,PSP,2007,0.25,0.25,0,0.15,0.64
3519,Spyro Orange: The Cortex Conspiracy,GBA,2004,0.41,0.15,0,0.01,0.57
3756,The Incredible Hulk: Ultimate Destruction,PS2,2005,0.26,0.2,0,0.07,0.54
4044,Scarface: The World is Yours,XB,2006,0.37,0.11,0,0.02,0.49
4077,Crash of the Titans,DS,2007,0.42,0.02,0,0.04,0.49
4237,Crash of the Titans,Wii,2007,0.4,0.03,0,0.04,0.46
4438,50 Cent: Bulletproof,XB,2005,0.33,0.1,0,0.02,0.44
4474,Robert Ludlum's The Bourne Conspiracy,X360,N/A,0.26,0.14,0,0.04,0.44
4690,Crash of the Titans,PS2,2007,0.34,0.01,0,0.06,0.41
4936,Robert Ludlum's The Bourne Conspiracy,PS3,N/A,0.18,0.14,0,0.06,0.39
5179,Robots,PS2,2005,0.18,0.14,0,0.05,0.36
5609,Crash of the Titans,X360,2007,0.27,0.02,0,0.03,0.32
6697,The Mummy: Tomb of the Dragon Emperor,PS2,2008,0.12,0.1,0,0.03,0.25
6759,Butt Ugly Martians: B.K.M. Battles,GBA,2002,0.18,0.07,0,0,0.25
7018,The Incredible Hulk: Ultimate Destruction,XB,2005,0.17,0.05,0,0.01,0.23
7203,Aliens vs Predator: Requiem,PSP,2007,0.03,0.12,0,0.07,0.22
7724,Predator: Concrete Jungle,PS2,2005,0.1,0.07,0,0.03,0.2
7761,The Spiderwick Chronicles,Wii,2008,0.17,0.01,0,0.01,0.19
7958,The Scorpion King: Sword of Osiris,GBA,2002,0.13,0.05,0,0,0.19
8014,Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003,0.09,0.07,0,0.02,0.18
8443,Spyro: Shadow Legacy,DS,2005,0.14,0.01,0,0.01,0.17
8558,Eragon,DS,2006,0.13,0.02,0,0.01,0.16
8570,Robots,GC,2005,0.12,0.03,0,0,0.16
8887,Scarface: The World is Yours,Wii,2007,0.12,0.01,0,0.01,0.15
8922,The Incredible Hulk: Ultimate Destruction,GC,2005,0.11,0.03,0,0,0.15
9175,Robots,DS,2005,0.12,0.01,0,0.01,0.14
9179,Eragon,X360,2006,0.12,0.01,0,0.01,0.14
9947,Buffy the Vampire Slayer: Chaos Bleeds,XB,2003,0.09,0.03,0,0,0.12
10166,The Spiderwick Chronicles,X360,2008,0.09,0.01,0,0.01,0.11
10169,Eragon,PSP,2006,0.1,0,0,0.01,0.11
10695,Predator: Concrete Jungle,XB,2005,0.07,0.02,0,0,0.1
10851,Robots,XB,2005,0.07,0.02,0,0,0.09
10882,Barbie and the Magic of Pegasus,GBA,2005,0.07,0.02,0,0,0.09
11100,The Mummy: Tomb of the Dragon Emperor,Wii,2008,0.08,0,0,0.01,0.09
11111,The Mummy: Tomb of the Dragon Emperor,DS,2008,0.08,0,0,0.01,0.09
11195,50 Cent: Bulletproof,PSP,2006,0.08,0,0,0.01,0.09
11288,Rescue Heroes: Billy Blazes,GBA,2003,0.06,0.02,0,0,0.08
11295,The Spiderwick Chronicles,DS,2008,0.08,0,0,0.01,0.08
11911,James Cameron's Dark Angel,XB,2002,0.05,0.02,0,0,0.07
12783,BattleBots: Beyond the BattleBox,GBA,2002,0.04,0.01,0,0,0.06
13577,Red Ninja: End of Honor,PS2,2005,0.02,0.02,0,0.01,0.04
13851,Scarface: The World is Yours,PC,2006,0.01,0.02,0,0.01,0.04
14771,Buffy the Vampire Slayer: Chaos Bleeds,GC,2003,0.02,0.01,0,0,0.03
15598,Red Ninja: End of Honor,XB,2005,0.01,0,0,0,0.02
