Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
160,Batman: Arkham City,PS3,2011,2.7,1.91,0.11,0.8,5.53
223,Batman: Arkham City,X360,2011,2.99,1.31,0.04,0.41,4.76
323,Batman: Arkham Knight,PS4,2015,1.49,1.58,0.1,0.61,3.79
395,LEGO Batman: The Videogame,X360,2008,2.03,1.03,0,0.32,3.38
432,LEGO Batman: The Videogame,Wii,N/A,1.86,1.02,0,0.29,3.17
437,LEGO Batman: The Videogame,DS,2008,1.79,1.06,0,0.29,3.15
472,Middle-Earth: Shadow of Mordor,PS4,2014,1.01,1.41,0.05,0.53,2.99
619,LEGO Harry Potter: Years 1-4,Wii,2010,1.29,0.97,0,0.23,2.49
656,Batman: Arkham Origins,PS3,2013,1.07,0.87,0.04,0.4,2.39
673,LEGO Harry Potter: Years 1-4,DS,2010,1.07,1.05,0,0.23,2.35
692,LEGO Marvel Super Heroes,X360,2013,1.24,0.85,0,0.21,2.3
848,LEGO Marvel Super Heroes,PS3,2013,0.77,0.85,0.01,0.37,2
887,Batman: Arkham Origins,X360,2013,1.15,0.61,0,0.17,1.93
1077,LEGO Batman 2: DC Super Heroes,X360,2012,0.9,0.64,0,0.15,1.68
1099,Dying Light,PS4,2015,0.63,0.66,0.11,0.26,1.66
1168,LEGO Harry Potter: Years 1-4,X360,2010,0.95,0.5,0,0.14,1.59
1195,LEGO Marvel Super Heroes,PS4,2013,0.59,0.75,0.01,0.21,1.56
1312,LEGO Batman 2: DC Super Heroes,Wii,2012,0.94,0.4,0,0.11,1.46
1319,Batman: Arkham Knight,XOne,2015,0.86,0.46,0,0.13,1.45
1422,LEGO Harry Potter: Years 1-4,PS3,2010,0.55,0.6,0,0.22,1.37
1435,LEGO Harry Potter: Years 5-7,Wii,N/A,0.76,0.47,0,0.13,1.36
1484,Middle-Earth: Shadow of Mordor,XOne,2014,0.72,0.5,0.01,0.1,1.32
1486,LEGO Batman: The Videogame,PS3,2008,0.72,0.42,0,0.19,1.32
