Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
10383,Robotics;Notes,PS3,2012,0,0,0.11,0,0.11
11439,Steins;Gate: Hiyoku Renri no Darling,X360,2011,0,0,0.08,0,0.08
12193,Lucian Bee's: Justice Yellow / Evil Violet,PS2,2010,0,0,0.07,0,0.07
12337,Steins;Gate: Senkei Kousoku no Phonogram,PS3,2013,0,0,0.06,0,0.06
12416,Steins;Gate,X360,2009,0,0,0.06,0,0.06
12935,Chaos;Child,PSV,2015,0,0,0.05,0,0.05
13144,Corpse Party: Blood Covered - Repeated Fear,PSP,2010,0,0,0.05,0,0.05
13560,Corpse Party: Book of Shadows,PSP,2011,0,0,0.04,0,0.04
13687,Chaos;Head - Love Chu*Chu!,PSP,2011,0,0,0.04,0,0.04
13884,Memories Off 6: T-Wave,PS2,2008,0,0,0.04,0,0.04
13933,Corpse Party: Blood Covered - Repeated Fear,3DS,2015,0,0,0.04,0,0.04
13988,Chaos;Head Noah,X360,2009,0,0,0.04,0,0.04
14360,Chaos;Head - Love Chu*Chu!,X360,2010,0,0,0.03,0,0.03
14395,Infinite Stratos 2: Ignition Hearts,PSV,2014,0,0,0.03,0,0.03
14766,Infinite Stratos 2: Ignition Hearts,PS3,2014,0,0,0.03,0,0.03
14823,Steins;Gate 0,PS3,2015,0,0,0.03,0,0.03
14927,Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru,PSV,2013,0,0,0.02,0,0.02
15008,11eyes: CrossOver,X360,2009,0,0,0.02,0,0.02
15041,Steins;Gate: Senkei Kousoku no Phonogram,X360,2013,0,0,0.02,0,0.02
15062,Dunamis 15,PS3,2011,0,0,0.02,0,0.02
15117,Chaos;Head Noah,PSP,2010,0,0,0.02,0,0.02
15295,Gochuumon wa Usagi Desu ka?? Wonderful Party!,PSV,2016,0,0,0.02,0,0.02
15306,Robotics;Notes,X360,2012,0,0,0.02,0,0.02
15419,Pastel Chime Continue,PSP,2010,0,0,0.02,0,0.02
15460,Steins;Gate: Hiyoku Renri no Darling,PS3,2012,0,0,0.02,0,0.02
15529,Prism Ark: Awake,PS2,2008,0,0,0.02,0,0.02
15555,11eyes: CrossOver,PSP,2010,0,0,0.02,0,0.02
15692,Robotics;Notes,PSV,2014,0,0,0.02,0,0.02
15739,Memories Off: Yubikiri no Kioku,X360,2010,0,0,0.02,0,0.02
15756,Memories Off: Yubikiri no Kikou,PSP,2011,0,0,0.02,0,0.02
15778,Dunamis 15,X360,2011,0,0,0.02,0,0.02
15848,W.L.O. Sekai Renai Kikousen,X360,2010,0,0,0.02,0,0.02
15860,Kadenz fermata//Akkord:fortissimo,PSV,2014,0,0,0.02,0,0.02
15888,MuvLuv Double Pack,PSV,2016,0,0,0.02,0,0.02
15907,Night Wizard the Video Game: Denial of the World,PS2,2008,0,0,0.02,0,0.02
15958,"Sharin no Kuni, Himawari no Shoujo",X360,2010,0,0,0.02,0,0.02
15974,Memories Off 6: Next Relation,PS2,2009,0,0,0.02,0,0.02
16117,Psycho-Pass,XOne,2014,0,0,0.01,0,0.01
16226,Nyaruko-San: Nafushigatai Game no You na Mono,PSV,2013,0,0,0.01,0,0.01
16275,Chaos;Head Noah,PSV,2014,0,0,0.01,0,0.01
16336,Chaos;Child,PS4,2015,0,0,0.01,0,0.01
16404,Memories Off,PSP,2008,0,0,0.01,0,0.01
16419,Chaos;Child,PS3,2015,0,0,0.01,0,0.01
16428,Akatsuki no Goei Trinity,PSP,2012,0,0,0.01,0,0.01
16470,Memories Off #5: Togireta Film,PSP,2009,0,0,0.01,0,0.01
16472,Lucian Bee's: Resurrection Supernova,PS2,2009,0,0,0.01,0,0.01
16524,Akatsuki no Goei Trinity,PS3,2012,0,0,0.01,0,0.01
16563,Hanasaku Manimani,PSV,2014,0,0,0.01,0,0.01
16564,Kanokon: Esuii,PS2,2008,0,0,0.01,0,0.01
