Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2811,iCarly,DS,2009,0.67,0.01,0,0.05,0.73
3477,Shrek 2: Beg for Mercy,GBA,2004,0.42,0.15,0,0.01,0.58
4300,iCarly,Wii,2009,0.42,0,0,0.03,0.46
4317,Barbie as The Island Princess,Wii,2007,0.42,0,0,0.03,0.45
5725,Barbie as The Island Princess,DS,2007,0.28,0.01,0,0.02,0.31
6216,iCarly 2: iJoin The Click!,DS,2010,0.26,0.01,0,0.02,0.28
6413,Teenage Mutant Ninja Turtles: Danger of the Ooze,PS3,2014,0.11,0.11,0,0.05,0.27
7012,Pitfall: The Big Adventure,Wii,2008,0.2,0.02,0,0.02,0.23
7078,Barbie as The Island Princess,GBA,2007,0.16,0.06,0,0,0.23
7085,Barbie and the Three Musketeers,Wii,2009,0.21,0,0,0.02,0.23
7224,Teenage Mutant Ninja Turtles: Danger of the Ooze,X360,2014,0.11,0.09,0,0.02,0.22
8143,Pirates: Hunt For Blackbeard's Booty,Wii,2008,0.08,0.08,0,0.02,0.18
8544,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,PS2,2005,0.08,0.06,0,0.02,0.16
9408,Teenage Mutant Ninja Turtles: Danger of the Ooze,3DS,2014,0.08,0.04,0,0.01,0.13
9493,Barbie and the Three Musketeers,DS,2009,0.12,0,0,0.01,0.13
9913,Barbie as The Island Princess,PS2,2007,0.06,0.04,0,0.02,0.12
10151,Monkey Island: Special Edition Collection,PS3,2011,0,0.08,0,0.03,0.11
10378,Barbie in The 12 Dancing Princesses,DS,2007,0.09,0.01,0,0.01,0.11
10540,Blue Stinger,DC,1999,0,0,0.1,0,0.1
10720,iCarly 2: iJoin The Click!,Wii,2010,0.08,0.01,0,0.01,0.1
10828,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,GC,2005,0.07,0.02,0,0,0.09
11297,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,GBA,2005,0.06,0.02,0,0,0.08
12405,Monkey Island: Special Edition Collection,X360,2011,0,0.05,0,0.01,0.06
13065,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,DS,2005,0.05,0,0,0,0.05
16072,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,XB,2005,0.01,0,0,0,0.01
